From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
33246	P53201	reviewed	SWC4_YEAST	SWR1-complex protein 4 (ESA1-associated factor 2)	SWC4 EAF2 GOD1 YGR002C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	476
33293	P53230	reviewed	TAM41_YEAST	Phosphatidate cytidylyltransferase, mitochondrial (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (Mitochondrial import protein MMP37) (Mitochondrial matrix protein of 37 kDa) (Mitochondrial translocator assembly and maintenance protein 41)	TAM41 MMP37 YGR046W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385
33451	P46951	reviewed	YPP1_YEAST	Cargo-transport protein YPP1 (Alpha-synuclein protective protein 1)	YPP1 YGR198W G7594	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	817
36498	P38789	reviewed	SSF1_YEAST	Ribosome biogenesis protein SSF1	SSF1 YHR066W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	453
36520	P38803	reviewed	IPI1_YEAST	Pre-rRNA-processing protein IPI1 (Involved in processing IST2 protein 1)	IPI1 YHR085W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	334
33747	P47077	reviewed	NOP9_YEAST	Nucleolar protein 9 (Pumilio domain-containing protein NOP9)	NOP9 YJL010C J1357	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	666
300661	P47087	reviewed	YJY2_YEAST	Uncharacterized protein YJR012C	YJR012C J1440 YJR83.25	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	132
33892	P47168	reviewed	TTI2_YEAST	TEL2-interacting protein 2	TTI2 YJR136C J2124	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	421
34045	P36076	reviewed	CAB3_YEAST	Coenzyme A biosynthesis protein 3	CAB3 YKL088W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	571
33926	P36046	reviewed	MIA40_YEAST	Mitochondrial intermembrane space import and assembly protein 40 (Mitochondrial import inner membrane translocase TIM40)	MIA40 TIM40 YKL195W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	403
34169	P36132	reviewed	KAE1_YEAST	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (Kinase-associated endopeptidase 1) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein KAE1) (tRNA threonylcarbamoyladenosine biosynthesis protein KAE1)	KAE1 YKR038C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	386
34210	P36159	reviewed	RNZ_YEAST	Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)	TRZ1 YKR079C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	838
31219	Q07844	reviewed	RIX7_YEAST	Ribosome biogenesis ATPase RIX7	RIX7 YLL034C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	837
31401	Q12208	reviewed	USB1_YEAST	U6 snRNA phosphodiesterase 1 (3'-5' RNA exonuclease USB1) (EC 4.6.1.-) (Cyclic phosphodiesterase USB1) (EC 3.1.4.-) (U six biogenesis protein 1)	USB1 YLR132C L3127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	290
31414	Q12530	reviewed	RMP1_YEAST	Ribonuclease MRP protein subunit RMP1 (RNA-processing protein RMP1) (RNase MRP 23.6 kDa subunit)	RMP1 YLR145W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	201
35146	Q03718	reviewed	NSE5_YEAST	Non-structural maintenance of chromosome element 5 (Non-SMC element 5)	NSE5 YML023C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	556
35579	P53846	reviewed	LTO1_YEAST	Protein LTO1 (LTO1 family protein YNL260C)	LTO1 YNL260C N0838	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	162
35526	P42842	reviewed	EMW1_YEAST	Essential for maintenance of the cell wall protein 1	EMW1 YNL313C N0364	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	904
36342	Q06214	reviewed	JIP5_YEAST	WD repeat-containing protein JIP5 (Jumonji domain-interacting protein 5)	JIP5 YPR169W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	492
33400	P13856	reviewed	RSR1_YEAST	Ras-related protein RSR1 (EC 3.6.5.2)	RSR1 BUD1 YGR152C G6658	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	272
31499	P19073	reviewed	CDC42_YEAST	Cell division control protein 42 (EC 3.6.5.2) (Suppressor of RHO3 protein 2)	CDC42 SRO2 YLR229C L8083.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	191
36736	P40010	reviewed	NUG1_YEAST	Nuclear GTP-binding protein NUG1 (Nuclear GTPase 1)	NUG1 YER006W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	520
33591	P46995	reviewed	SET2_YEAST	Histone-lysine N-methyltransferase, H3 lysine-36 specific (EC 2.1.1.359) (Lysine N-methyltransferase 3) (SET domain-containing protein 2)	SET2 EZL1 KMT3 YJL168C J0520	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	733
34366	Q08204	reviewed	SMC5_YEAST	Structural maintenance of chromosomes protein 5	SMC5 YOL034W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1093
35223	Q04660	reviewed	ERB1_YEAST	Ribosome biogenesis protein ERB1 (Eukaryotic ribosome biogenesis protein 1)	ERB1 YMR049C YM9796.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	807
33346	P53261	reviewed	PESC_YEAST	Pescadillo homolog (Nucleolar protein 7) (Ribosomal RNA-processing protein 13)	NOP7 RRP13 YPH1 YGR103W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	605
33376	P53276	reviewed	UTP8_YEAST	U3 small nucleolar RNA-associated protein 8 (U3 snoRNA-associated protein 8) (U three protein 8) (U3 protein 8 required for transcription) (t-UTP8)	UTP8 YGR128C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	713
33647	P42945	reviewed	UTP10_YEAST	U3 small nucleolar RNA-associated protein 10 (U3 snoRNA-associated protein 10) (U three protein 10) (U3 protein 10 required for transcription) (t-UTP10)	UTP10 YJL109C J0808	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1769
32382	Q06679	reviewed	UTP4_YEAST	U3 small nucleolar RNA-associated protein 4 (U3 snoRNA-associated protein 4) (U three protein 4) (U3 protein 4 required for transcription) (t-UTP4)	UTP4 YDR324C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	776
36630	P38882	reviewed	UTP9_YEAST	U3 small nucleolar RNA-associated protein 9 (U3 snoRNA-associated protein 9) (U three protein 9) (U3 protein 9 required for transcription) (t-UTP9)	UTP9 YHR196W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	575
31666	Q06078	reviewed	UTP21_YEAST	U3 small nucleolar RNA-associated protein 21 (U3 snoRNA-associated protein 21) (U three protein 21)	UTP21 YLR409C L8084.22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	939
31489	Q05946	reviewed	UTP13_YEAST	U3 small nucleolar RNA-associated protein 13 (U3 snoRNA-associated protein 13) (U three protein 13)	UTP13 YLR222C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	817
33686	P40362	reviewed	UTP18_YEAST	U3 small nucleolar RNA-associated protein 18 (U3 snoRNA-associated protein 18) (U three protein 18)	UTP18 YJL069C HRE594 J1098	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	594
33333	P53254	reviewed	UTP22_YEAST	U3 small nucleolar RNA-associated protein 22 (U3 snoRNA-associated protein 22) (U three protein 22)	UTP22 YGR090W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1237
34441	P38930	reviewed	CSK2C_YEAST	Casein kinase II subunit beta' (CK II beta')	CKB2 YOR039W OR26.32	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	258
36036	P41909	reviewed	PXA1_YEAST	Peroxisomal long-chain fatty acid import protein 2 (Peroxisomal ABC transporter 1)	PXA1 PAL1 PAT2 SSH2 YPL147W LPI1W P2607	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	870
33515	P00958	reviewed	SYMC_YEAST	Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	MES1 YGR264C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	751
33414	P39935	reviewed	IF4F1_YEAST	Eukaryotic initiation factor 4F subunit p150 (eIF-4F p150) (eIF4F p150) (Translation initiation factor 4(4)-F(6) subunit gamma(3) protein 1) (eIF4G1) (mRNA cap-binding protein complex subunit p150)	TIF4631 YGR162W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	952
36788	P40032	reviewed	TPA1_YEAST	Prolyl 3,4-dihydroxylase TPA1 (EC 1.14.11.-) (Termination and polyadenylation protein 1) (uS12 prolyl 3,4-dihydroxylase)	TPA1 YER049W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	644
35950	Q08979	reviewed	KEL3_YEAST	Kelch repeat-containing protein 3	KEL3 YPL263C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	651
33172	P20447	reviewed	DBP3_YEAST	ATP-dependent RNA helicase DBP3 (EC 3.6.4.13) (DEAD box protein 3) (Helicase CA3)	DBP3 YGL078C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	523
33407	P27476	reviewed	NSR1_YEAST	Nuclear localization sequence-binding protein (p67)	NSR1 YGR159C G7001	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	414
34698	Q12499	reviewed	NOP58_YEAST	Nucleolar protein 58 (Nucleolar protein 5)	NOP58 NOP5 YOR310C O6108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	511
31667	Q06685	reviewed	VIP1_YEAST	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.24) (InsP6 and PP-IP5 kinase)	VIP1 YLR410W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1146
36524	P28007	reviewed	GAR1_YEAST	H/ACA ribonucleoprotein complex subunit GAR1 (Glycine/arginine-rich protein 1) (snoRNP protein GAR1)	GAR1 YHR089C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	205
33533	P53336	reviewed	YG5X_YEAST	Putative methyltransferase YGR283C (EC 2.1.1.-)	YGR283C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	341
36484	P38779	reviewed	CIC1_YEAST	Proteasome-interacting protein CIC1 (Core interacting component 1)	CIC1 NSA3 YHR052W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	376
34156	P36120	reviewed	DBP7_YEAST	ATP-dependent RNA helicase DBP7 (EC 3.6.4.13) (DEAD box protein 7)	DBP7 YKR024C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	742
36759	P32481	reviewed	IF2G_YEAST	Eukaryotic translation initiation factor 2 subunit gamma (eIF2-gamma) (EC 3.6.5.3)	GCD11 SUI4 TIF213 YER025W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	527
32115	Q12176	reviewed	MAK21_YEAST	Ribosome biogenesis protein MAK21 (Maintenance of killer protein 21) (Nucleolar complex protein 1)	MAK21 NOC1 YDR060W D4237 YD9609.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1025
35407	Q05022	reviewed	RRP5_YEAST	rRNA biogenesis protein RRP5 (Ribosomal RNA-processing protein 5) (U3 small nucleolar RNA-associated protein RRP5) (U3 snoRNA-associated protein RRP5)	RRP5 FMI1 YMR229C YM9959.11C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1729
34601	P39744	reviewed	NOC2_YEAST	Nucleolar complex protein 2	NOC2 YOR206W YOX001	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	710
34746	P06103	reviewed	EIF3B_YEAST	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Cell cycle regulation and translation initiation protein) (Eukaryotic translation initiation factor 3 90 kDa subunit) (eIF3 p90) (Translation initiation factor eIF3 p90 subunit)	PRT1 CDC63 YOR361C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	763
33634	P47019	reviewed	ALB1_YEAST	Ribosome biogenesis protein ALB1	ALB1 YJL122W J0723	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	175
33727	P20448	reviewed	DBP4_YEAST	ATP-dependent RNA helicase HCA4 (EC 3.6.4.13) (DEAD box protein 4) (Helicase CA4) (Helicase UF1)	HCA4 DBP4 ECM24 YJL033W J1250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	770
33705	P47047	reviewed	MTR4_YEAST	ATP-dependent RNA helicase DOB1 (EC 3.6.4.13) (mRNA transport regulator MTR4)	MTR4 DOB1 YJL050W J1158	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1073
34404	Q12149	reviewed	RRP6_YEAST	Exosome complex exonuclease RRP6 (Rrp6p) (EC 3.1.13.-) (Ribosomal RNA-processing protein 6)	RRP6 UNC733 YOR001W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	733
34326	Q12387	reviewed	NAA25_YEAST	N-terminal acetyltransferase B complex subunit MDM20 (NatB complex subunit MDM20) (Dislikes extra CIN8 protein 1) (Mitochondrial distribution and morphology protein 20)	MDM20 DEC1 YOL076W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	796
36297	Q06504	reviewed	NAT3_YEAST	N-terminal acetyltransferase B complex catalytic subunit NAT3 (NatB complex subunit NAT3) (EC 2.3.1.254) (NatB Nalpha terminal acetyltransferase 3)	NAT3 YPR131C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	195
31275	Q07896	reviewed	NOC3_YEAST	Nucleolar complex-associated protein 3	NOC3 YLR002C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	663
34634	Q08647	reviewed	PUS7_YEAST	Multisubstrate pseudouridine synthase 7 (EC 5.4.99.-) (EC 5.4.99.27) (RNA pseudouridylate synthase 7) (RNA-uridine isomerase 7) (tRNA pseudouridine(13) synthase)	PUS7 YOR243C O5254	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	676
33659	P40856	reviewed	SA185_YEAST	SIT4-associating protein SAP185	SAP185 YJL098W J0840	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1058
32011	P20604	reviewed	PP11_YEAST	Serine/threonine-protein phosphatase PP1-1 (EC 3.1.3.16)	SIT4 PPH1 YDL047W D2693	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	311
32345	P24276	reviewed	SSD1_YEAST	Protein SSD1 (Protein SRK1)	SSD1 CLA1 RLD1 SRK1 YDR293C D9819.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1250
36925	P32639	reviewed	BRR2_YEAST	Pre-mRNA-splicing helicase BRR2 (EC 3.6.4.13) (Protein Snu246)	BRR2 RSS1 SNU246 YER172C SYGP-ORF66	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2163
36895	P40089	reviewed	LSM5_YEAST	U6 snRNA-associated Sm-like protein LSm5	LSM5 YER146W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	93
33080	P22147	reviewed	XRN1_YEAST	5'-3' exoribonuclease 1 (EC 3.1.13.-) (DNA strand transfer protein beta) (STP-beta) (KAR(-)-enhancing mutation protein) (Strand exchange protein 1) (p175)	XRN1 DST2 KEM1 RAR5 SEP1 SKI1 YGL173C G1645	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1528
31052	P25644	reviewed	PAT1_YEAST	Deadenylation-dependent mRNA-decapping factor PAT1 (DNA topoisomerase 2-associated protein PAT1) (Decapping activator and translational repressor PAT1) (Topoisomerase II-associated protein PAT1) (mRNA turnover protein 1)	PAT1 MRT1 YCR077C YCR77C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	796
31697	P57743	reviewed	LSM3_YEAST	U6 snRNA-associated Sm-like protein LSm3 (SmX4 protein)	LSM3 SMX4 USS2 YLR438C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	89
32437	Q06406	reviewed	LSM6_YEAST	U6 snRNA-associated Sm-like protein LSm6	LSM6 YDR378C D9481.18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	86
32526	Q03338	reviewed	PRP3_YEAST	U4/U6 small nuclear ribonucleoprotein PRP3 (Pre-mRNA-splicing factor 3)	PRP3 RNA3 YDR473C D8035.16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	469
32173	Q04600	reviewed	TMA64_YEAST	Translation machinery-associated protein 64	TMA64 YDR117C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	565
32487	Q04067	reviewed	EIF3G_YEAST	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Translation initiation factor eIF3 p33 subunit) (eIF3 p33)	TIF35 YDR429C D9461.16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	274
32853	P20434	reviewed	RPAB1_YEAST	DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (ABC27) (DNA-directed RNA polymerases I, II, and III 27 kDa polypeptide)	RPB5 RPA7 RPC9 YBR154C YBR1204	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	215
32489	Q01560	reviewed	NOP3_YEAST	Serine/arginine (SR)-type shuttling mRNA binding protein NPL3 (Mitochondrial targeting suppressor 1 protein) (Nuclear polyadenylated RNA-binding protein 1) (Nuclear protein localization protein 3) (Polyadenylate-binding protein NPL3)	NPL3 MTR13 MTS1 NAB1 NOP3 YDR432W D9461.19	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	414
36303	Q06506	reviewed	RRP9_YEAST	Ribosomal RNA-processing protein 9	RRP9 YPR137W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	573
34381	Q08162	reviewed	RRP44_YEAST	Exosome complex exonuclease DIS3 (EC 3.1.13.-) (EC 3.1.26.-) (Chromosome disjunction protein 3) (Ribosomal RNA-processing protein 44)	DIS3 RRP44 YOL021C O2197	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1001
32333	Q05636	reviewed	RRP45_YEAST	Exosome complex component RRP45 (Ribosomal RNA-processing protein 45)	RRP45 YDR280W D9954.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	305
33338	P53256	reviewed	RRP46_YEAST	Exosome complex component RRP46 (Ribosomal RNA-processing protein 46)	RRP46 YGR095C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	223
36516	P38801	reviewed	LRP1_YEAST	Exosome complex protein LRP1 (Like an rRNA processing protein 1) (Yeast C1D domain-containing protein) (rRNA processing protein 47)	LRP1 RRP47 YC1D YHR081W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	184
36277	P07703	reviewed	RPAC1_YEAST	DNA-directed RNA polymerases I and III subunit RPAC1 (RNA polymerases I and III subunit AC1) (C37) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (AC40) (C40)	RPC40 RPC5 YPR110C P8283.18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	335
