geneId	geneName	leftEndPos	rightEndPos	strand	geneSynonyms	otherDbsGeneIds	productId	productName	productSynonyms	otherDbsProductsIds 
RDBECOLIGNC00011	mepM	1940313	1941635	reverse	yebA,EG10013	[ASKA:ECK1857+b1856+JW5304+yebA][KEIO:ECK1857+b1856+JW5304+yebA][STRING:511145.b1856][ASAP:ABE-0006189][ECHOBASE:EB0013][OU-MICROARRAY:b1856][ECOCYC:EG10013][REFSEQ:b1856]	RDBECOLIPDC00378	peptidoglycan endopeptidase MepM	YebA	[INTERPRO:IPR011055][ALPHAFOLD:P0AFS9][PFAM:PF01551][PRIDE:P0AFS9][PROSITE:PS51782][SMR:P0AFS9][SMART:SM00257][ECOLIWIKI:b1856][MODBASE:P0AFS9][SWISSMODEL:P0AFS9][UNIPROT:P0AFS9][REFSEQ:NP_416370][ECOCYC:EG10013-MONOMER] 
RDBECOLIGNC00012	acrD	2587595	2590708	forward	yffA,EG10014	[ASKA:ECK2465+b2470+JW2454+acrD][KEIO:ECK2465+b2470+JW2454+acrD][STRING:511145.b2470][ASAP:ABE-0008136][ECHOBASE:EB0014][OU-MICROARRAY:b2470][CGSC:35697][ECOCYC:EG10014][REFSEQ:b2470]	RDBECOLIPDC00034	multidrug efflux pump RND permease AcrD	YffA	[ALPHAFOLD:P24177][PANTHER:PTHR32063][PFAM:PF00873][INTERPRO:IPR001036][SMR:P24177][DIP:DIP-9050N][PRIDE:P24177][PRINTS:PR00702][ECOLIWIKI:b2470][MODBASE:P24177][SWISSMODEL:P24177][REFSEQ:NP_416965][UNIPROT:P24177][ECOCYC:ACRD-MONOMER] 
RDBECOLIGNC00013	rodZ	2641831	2642844	reverse	yfgA,EG10015	[ASKA:ECK2512+b2516+JW2500+rodZ][STRING:511145.b2516][ASAP:ABE-0008283][ECHOBASE:EB0015][OU-MICROARRAY:b2516][ECOCYC:EG10015][REFSEQ:b2516]	RDBECOLIPDC00379	cytoskeleton protein RodZ	YfgA,RodZ	[ALPHAFOLD:P27434][PFAM:PF13464][MINT:P27434][DIP:DIP-12034N][INTERPRO:IPR025194][SMART:SM00530][PROSITE:PS50943][PRIDE:P27434][PRODB:PRO_000023803][ECOLIWIKI:b2516][MODBASE:P27434][REFSEQ:NP_417011][UNIPROT:P27434][ECOCYC:EG10015-MONOMER] 
RDBECOLIGNC00014	garL	3272787	3273557	reverse	yhaF,EG10016	[ASKA:ECK3114+b3126+JW3095+garL][KEIO:ECK3114+b3126+JW3095+garL][STRING:511145.b3126][ASAP:ABE-0010276][ECHOBASE:EB0016][OU-MICROARRAY:b3126][ECOCYC:EG10016][REFSEQ:b3126]	RDBECOLIPDC03417	&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase	YhaF,GarL	[ALPHAFOLD:P23522][INTERPRO:IPR005000][PFAM:PF03328][SMR:P23522][DIP:DIP-9740N][PRIDE:P23522][PDB:1DXF][PRODB:PRO_000022752][ECOLIWIKI:b3126][MODBASE:P23522][REFSEQ:NP_417595][UNIPROT:P23522][ECOCYC:KDGALDOL-MONOMER] 
RDBECOLIGNC00015	ispB	3333710	3334681	forward	cel,yhbD,EG10017	[ASKA:ECK3176+b3187+JW3154+ispB][MIM:614651][STRING:511145.b3187][ASAP:ABE-0010474][ECHOBASE:EB0017][OU-MICROARRAY:b3187][CGSC:35712][ECOCYC:EG10017][REFSEQ:b3187]	RDBECOLIPDC03904	<i>all-trans</i>-octaprenyl-diphosphate synthase	Cel,YhbD,IspB	[ALPHAFOLD:P0AD57][PDB:5ZLF][MINT:P0AD57][PFAM:PF00348][INTERPRO:IPR000092][SMR:P0AD57][PROSITE:PS00723][PRIDE:P0AD57][PRODB:PRO_000023035][ECOLIWIKI:b3187][MODBASE:P0AD57][UNIPROT:P0AD57][REFSEQ:NP_417654][ECOCYC:OPPSYN-MONOMER] 
RDBECOLIGNC00016	csrD	3401392	3403332	reverse	yhdA,EG10018	[ASKA:ECK3240+b3252+JW3221+csrD][KEIO:ECK3240+b3252+JW3221+yhdA][STRING:511145.b3252][ASAP:ABE-0010663][ECHOBASE:EB0018][OU-MICROARRAY:b3252][ECOCYC:EG10018][REFSEQ:b3252]	RDBECOLIPDC00380	regulator of CsrB and CsrC decay	YhdA,CsrD	[ALPHAFOLD:P13518][INTERPRO:IPR001633][PFAM:PF00563][SMR:P13518][DIP:DIP-12292N][SMART:SM00052][PROSITE:PS50883][PRIDE:P13518][ECOLIWIKI:b3252][REFSEQ:NP_417718][UNIPROT:P13518][ECOCYC:EG10018-MONOMER] 
RDBECOLIGNC00017	cpxR	4104972	4105670	reverse	yiiA,EG10020	[ASKA:ECK3905+b3912+JW3883+cpxR][KEIO:ECK3905+b3912+JW3883+cpxR][STRING:511145.b3912][ASAP:ABE-0012774][ECHOBASE:EB0019][OU-MICROARRAY:b3912][CGSC:34166][ECOCYC:EG10020][REFSEQ:b3912]	RDBECOLIPDC00270	DNA-binding transcriptional dual regulator CpxR	YiiA,CpxR,CpxR response regulator	[ALPHAFOLD:P0AE88][PANTHER:PTHR48111][INTERPRO:IPR011006][REFSEQ:NP_418348][PFAM:PF00486][PRIDE:P0AE88][PDB:4UHT][PROSITE:PS50110][SMR:P0AE88][DIP:DIP-47991N][SMART:SM00448][PRODB:PRO_000022326][ECOLIWIKI:b3912][MODBASE:P0AE88][UNIPROT:P0AE88][ECOCYC:CPXR-MONOMER] 
RDBECOLIGNC00018	yjiA	4587909	4588865	reverse	EG10021	[ASKA:ECK4342+b4352+JW5790+yjiA][KEIO:ECK4342+b4352+JW5790+yjiA][STRING:511145.b4352][ASAP:ABE-0014273][ECHOBASE:EB0020][OU-MICROARRAY:b4352][ECOCYC:EG10021][REFSEQ:b4352]	RDBECOLIPDC00381	P-loop guanosine triphosphatase YjiA	YjiA	[ALPHAFOLD:P24203][INTERPRO:IPR011629][PFAM:PF07683][PDB:1NIJ][SMR:P24203][DIP:DIP-12630N][SMART:SM00833][PRIDE:P24203][ECOLIWIKI:b4352][MODBASE:P24203][REFSEQ:NP_418772][UNIPROT:P24203][ECOCYC:EG10021-MONOMER] 
RDBECOLIGNC00019	aceA	4217109	4218413	forward	icl,EG10022	[ASKA:ECK4007+b4015+JW3975+aceA][KEIO:ECK4007+b4015+JW3975+aceA][STRING:511145.b4015][ASAP:ABE-0013128][ECHOBASE:EB0021][OU-MICROARRAY:b4015][CGSC:1052][ECOCYC:EG10022][REFSEQ:b4015]	RDBECOLIPDC03414	isocitrate lyase	Icl,AceA	[ALPHAFOLD:P0A9G6][INTERPRO:IPR006254][PANTHER:PTHR21631][PFAM:PF00463][SMR:P0A9G6][DIP:DIP-35893N][PROSITE:PS00161][PRIDE:P0A9G6][PDB:1IGW][PRODB:PRO_000022036][ECOLIWIKI:b4015][MODBASE:P0A9G6][UNIPROT:P0A9G6][REFSEQ:NP_418439][ECOCYC:ISOCIT-LYASE-MONOMER] 
RDBECOLIGNC00020	aceB	4215478	4217079	forward	mas,EG10023	[ASKA:ECK4006+b4014+JW3974+aceB][KEIO:ECK4006+b4014+JW3974+aceB][STRING:511145.b4014][ASAP:ABE-0013125][ECHOBASE:EB0022][OU-MICROARRAY:b4014][CGSC:1051][ECOCYC:EG10023][REFSEQ:b4014]	RDBECOLIPDC03465	malate synthase A	Mas,AceB	[INTERPRO:IPR011076][ALPHAFOLD:P08997][PANTHER:PTHR42902][PFAM:PF01274][SMR:P08997][PROSITE:PS00510][PDB:3CUZ][PRIDE:P08997][PRODB:PRO_000022037][ECOLIWIKI:b4014][MODBASE:P08997][REFSEQ:NP_418438][UNIPROT:P08997][ECOCYC:MALATE-SYNTHASE] 
RDBECOLIGNC00021	aceE	123017	125680	forward	EG10024	[ASKA:ECK0113+b0114+JW0110+aceE][KEIO:ECK0113+b0114+JW0110+aceE][STRING:511145.b0114][ASAP:ABE-0000397][ECHOBASE:EB0023][OU-MICROARRAY:b0114][CGSC:1050][ECOCYC:EG10024][REFSEQ:b0114]	RDBECOLIPDC00370	pyruvate dehydrogenase E1 component	AceE,subunit of E1p component of pyruvate dehydrogenase complex	[ALPHAFOLD:P0AFG8][INTERPRO:IPR004660][PFAM:PF00456][PANTHER:PTHR43825:SF3][DIP:DIP-9039N][DISPROT:DP00427][PDB:1RP7][SMR:P0AFG8][PRIDE:P0AFG8][PRODB:PRO_000022038][ECOLIWIKI:b0114][SWISSMODEL:P0AFG8][UNIPROT:P0AFG8][REFSEQ:NP_414656][ECOCYC:E1P-MONOMER] 
RDBECOLIGNC00022	aceF	125695	127587	forward	EG10025	[ASKA:ECK0114+b0115+JW0111+aceF][KEIO:ECK0114+b0115+JW0111+aceF][MIM:248600][STRING:511145.b0115][ASAP:ABE-0000400][ECHOBASE:EB0024][OU-MICROARRAY:b0115][CGSC:26530][ECOCYC:EG10025][REFSEQ:b0115]	RDBECOLIPDC00372	pyruvate dehydrogenase E2 subunit	AceF,dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	[PDB:1QJO][ALPHAFOLD:P06959][REFSEQ:NP_414657][INTERPRO:IPR003016][PANTHER:PTHR43178:SF2][PROSITE:PS50968][PFAM:PF00198][SMR:P06959][DIP:DIP-9040N][PRIDE:P06959][PRODB:PRO_000022039][ECOLIWIKI:b0115][MODBASE:P06959][SWISSMODEL:P06959][UNIPROT:P06959][ECOCYC:E2P-MONOMER] 
RDBECOLIGNC00023	aceK	4218596	4220332	forward	EG10026	[ASKA:ECK4008+b4016+JW3976+aceK][KEIO:ECK4008+b4016+JW3976+aceK][STRING:511145.b4016][ASAP:ABE-0013131][ECHOBASE:EB0025][OU-MICROARRAY:b4016][CGSC:17770][ECOCYC:EG10026][REFSEQ:b4016]	RDBECOLIPDC03404	isocitrate dehydrogenase kinase/phosphatase	AceK	[INTERPRO:IPR010452][PFAM:PF06315][ALPHAFOLD:P11071][PDB:6K5L][PANTHER:PTHR39559][PRIDE:P11071][SMR:P11071][DIP:DIP-9041N][PRODB:PRO_000022040][ECOLIWIKI:b4016][REFSEQ:NP_418440][UNIPROT:P11071][ECOCYC:ICITDEHASE-KIN-PHOSPHA] 
RDBECOLIGNC00024	ackA	2413470	2414672	forward	EG10027	[ASKA:ECK2290+b2296+JW2293+ackA][KEIO:ECK2290+b2296+JW2293+ackA][STRING:511145.b2296][ASAP:ABE-0007579][ECHOBASE:EB0026][OU-MICROARRAY:b2296][CGSC:1048][ECOCYC:EG10027][REFSEQ:b2296]	RDBECOLIPDC00022	acetate kinase	AckA,propionate kinase 2,acetate kinase A	[ALPHAFOLD:P0A6A3][INTERPRO:IPR004372][PFAM:PF00871][DIP:DIP-9042N][SMR:P0A6A3][PROSITE:PS01075][PRIDE:P0A6A3][PANTHER:PTHR21060][PRINTS:PR00471][PRODB:PRO_000022041][ECOLIWIKI:b2296][MODBASE:P0A6A3][UNIPROT:P0A6A3][REFSEQ:NP_416799][ECOCYC:ACETATEKINA-MONOMER] 
RDBECOLIGNC00025	pflA	950340	951080	reverse	act,EG10028	[ASKA:ECK0893+b0902+JW0885+pflA][STRING:511145.b0902][ASAP:ABE-0003068][ECHOBASE:EB0027][OU-MICROARRAY:b0902][CGSC:35839][ECOCYC:EG10028][REFSEQ:b0902]	RDBECOLIPDC04001	pyruvate formate-lyase activating enzyme	Act,PflA,PFL activase,PFL-AE	[ALPHAFOLD:P0A9N4][PFAM:PF04055][PROSITE:PS01087][PANTHER:PTHR30352][INTERPRO:IPR012838][SMR:P0A9N4][DIP:DIP-35915N][PDB:3C8F][PRIDE:P0A9N4][PRODB:PRO_000023516][ECOLIWIKI:b0902][UNIPROT:P0A9N4][REFSEQ:NP_415422][ECOCYC:PFLACTENZ-MONOMER] 
RDBECOLIGNC00026	ada	2309341	2310405	reverse	EG10029	[ASKA:ECK2205+b2213+JW2201+ada][STRING:511145.b2213][ASAP:ABE-0007311][ECHOBASE:EB0028][OU-MICROARRAY:b2213][CGSC:1043][ECOCYC:EG10029][REFSEQ:b2213]	RDBECOLIPDC03928	DNA-binding transcriptional dual regulator / DNA repair protein Ada	Ada	[ALPHAFOLD:P06134][INTERPRO:IPR004026][PFAM:PF01035][SMR:P06134][DIP:DIP-9055N][SMART:SM00342][PROSITE:PS00041][PDB:1ADN][PRIDE:P06134][PRODB:PRO_000022054][ECOLIWIKI:b2213][MODBASE:P06134][REFSEQ:NP_416717][UNIPROT:P06134][ECOCYC:PD00230] 
RDBECOLIGNC00027	add	1702233	1703234	forward	EG10030	[ASKA:ECK1618+b1623+JW1615+add][KEIO:ECK1618+b1623+JW1615+add][MIM:102700][STRING:511145.b1623][ASAP:ABE-0005435][ECHOBASE:EB0029][OU-MICROARRAY:b1623][CGSC:1042][ECOCYC:EG10030][REFSEQ:b1623]	RDBECOLIPDC00042	adenosine deaminase	Add	[ALPHAFOLD:P22333][MINT:P22333][PFAM:PF00962][INTERPRO:IPR006650][SMR:P22333][DIP:DIP-9056N][PROSITE:PS00485][PRIDE:P22333][ECOLIWIKI:b1623][MODBASE:P22333][REFSEQ:NP_416140][UNIPROT:P22333][ECOCYC:ADENODEAMIN-MONOMER] 
RDBECOLIGNC00028	adhE	1295446	1298121	reverse	adhC,ana,EG10031	[ASKA:ECK1235+b1241+JW1228+adhE][KEIO:ECK1235+b1241+JW1228+adhE][STRING:511145.b1241][ASAP:ABE-0004164][ECHOBASE:EB0030][OU-MICROARRAY:b1241][CGSC:1041][ECOCYC:EG10031][REFSEQ:b1241]	RDBECOLIPDC00049	fused acetaldehyde-CoA dehydrogenase and Fe-dependent alcohol dehydrogenasealdehyde/alcohol dehydrogenase AdhE	AdhE,AdhC,Ana,aldehyde/alcohol dehydrogenase AdhE	[ALPHAFOLD:P0A9Q7][PDB:6AHC][INTERPRO:IPR001670][PANTHER:PTHR11496][MINT:P0A9Q7][PFAM:PF00465][SMR:P0A9Q7][DIP:DIP-35790N][PROSITE:PS00913][PRIDE:P0A9Q7][PRODB:PRO_000022056][ECOLIWIKI:b1241][MODBASE:P0A9Q7][UNIPROT:P0A9Q7][REFSEQ:NP_415757][ECOCYC:ADHE-MONOMER] 
RDBECOLIGNC00029	adk	497175	497819	forward	dnaW,plsA,EG10032	[ASKA:ECK0468+b0474+JW0463+adk][MIM:267500][STRING:511145.b0474][ASAP:ABE-0001645][ECHOBASE:EB0031][OU-MICROARRAY:b0474][CGSC:1040][ECOCYC:EG10032][REFSEQ:b0474]	RDBECOLIPDC00044	adenylate kinase	PlsA,DnaW,Adk	[PDB:4AKE][ALPHAFOLD:P69441][PFAM:PF05191][INTERPRO:IPR006259][SMR:P69441][DIP:DIP-47903N][PROSITE:PS00113][PRIDE:P69441][PANTHER:PTHR23359][PRINTS:PR00094][PRODB:PRO_000022061][ECOLIWIKI:b0474][MODBASE:P69441][UNIPROT:P69441][REFSEQ:NP_415007][ECOCYC:ADENYL-KIN-MONOMER] 
RDBECOLIGNC00030	agp	1065585	1066826	forward	EG10033	[ASKA:ECK0993+b1002+JW0987+agp][KEIO:ECK0993+b1002+JW0987+agp][STRING:511145.b1002][ASAP:ABE-0003388][ECHOBASE:EB0032][OU-MICROARRAY:b1002][CGSC:31830][ECOCYC:EG10033][REFSEQ:b1002]	RDBECOLIPDC03307	glucose-1-phosphatase	Agp	[ALPHAFOLD:P19926][PDB:1NT4][PFAM:PF00328][INTERPRO:IPR000560][SMR:P19926][DIP:DIP-2905N][PROSITE:PS00616][PRIDE:P19926][PRODB:PRO_000022069][ECOLIWIKI:b1002][MODBASE:P19926][REFSEQ:NP_415522][UNIPROT:P19926][ECOCYC:GLUCOSE-1-PHOSPHAT-MONOMER] 
RDBECOLIGNC00031	alaS	2819381	2822011	reverse	act,ala-act,lovB,EG10034	[ASKA:ECK2692+b2697+JW2667+alaS][MIM:616339][STRING:511145.b2697][ASAP:ABE-0008869][ECHOBASE:EB0033][OU-MICROARRAY:b2697][CGSC:1039][ECOCYC:EG10034][REFSEQ:b2697]	RDBECOLIPDC00063	alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor	Act,LovB,AlaS,ala-act	[INTERPRO:IPR002318][ALPHAFOLD:P00957][PFAM:PF02272][SMR:P00957][DIP:DIP-9080N][SMART:SM00863][PROSITE:PS50860][PRIDE:P00957][PRINTS:PR00980][PDB:3HY0][PRODB:PRO_000022074][ECOLIWIKI:b2697][MODBASE:P00957][SWISSMODEL:P00957][REFSEQ:NP_417177][UNIPROT:P00957][ECOCYC:ALAS-MONOMER] 
RDBECOLIGNC00032	aldA	1488232	1489671	forward	ald,EG10035	[ASKA:ECK1408+b1415+JW1412+aldA][KEIO:ECK1408+b1415+JW1412+aldA][STRING:511145.b1415][ASAP:ABE-0004725][ECHOBASE:EB0034][OU-MICROARRAY:b1415][CGSC:17767][ECOCYC:EG10035][REFSEQ:b1415]	RDBECOLIPDC03435	aldehyde dehydrogenase A	Ald,AldA	[ALPHAFOLD:P25553][INTERPRO:IPR016161][PFAM:PF00171][SMR:P25553][DIP:DIP-9081N][PROSITE:PS00070][PRIDE:P25553][PDB:2OPX][PRODB:PRO_000022075][ECOLIWIKI:b1415][MODBASE:P25553][REFSEQ:NP_415933][UNIPROT:P25553][ECOCYC:LACTALDDEHYDROG-MONOMER] 
RDBECOLIGNC00033	puuC	1362743	1364230	forward	aldH,EG10036	[ASKA:ECK1295+b1300+JW1293+puuC][KEIO:ECK1295+b1300+JW1293+puuC][STRING:511145.b1300][ASAP:ABE-0004376][ECHOBASE:EB0035][OU-MICROARRAY:b1300][ECOCYC:EG10036][REFSEQ:b1300]	RDBECOLIPDC00065	&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase	AldH,PuuC	[ALPHAFOLD:P23883][INTERPRO:IPR016161][PFAM:PF00171][SMR:P23883][DIP:DIP-9083N][PROSITE:PS00070][PRIDE:P23883][PRODB:PRO_000023651][ECOLIWIKI:b1300][MODBASE:P23883][SWISSMODEL:P23883][UNIPROT:P23883][REFSEQ:NP_415816][ECOCYC:ALDHDEHYDROG-MONOMER] 
RDBECOLIGNC00034	alkB	2308691	2309341	reverse	aidD,EG10037	[ASKA:ECK2204+b2212+JW2200+alkB][KEIO:ECK2204+b2212+JW2200+alkB][STRING:511145.b2212][ASAP:ABE-0007308][ECHOBASE:EB0036][OU-MICROARRAY:b2212][CGSC:18544][ECOCYC:EG10037][REFSEQ:b2212]	RDBECOLIPDC00382	DNA oxidative demethylase	AidD,AlkB,&alpha;-ketoglutarate-dependent dioxygenase,alkyladenine-DNA dioxygenase	[PDB:3I49][ALPHAFOLD:P05050][INTERPRO:IPR004574][PFAM:PF13532][PRIDE:P05050][PANTHER:PTHR16557][SMR:P05050][DIP:DIP-9085N][PROSITE:PS51471][PRODB:PRO_000022078][ECOLIWIKI:b2212][REFSEQ:NP_416716][SWISSMODEL:P05050][UNIPROT:P05050][ECOCYC:EG10037-MONOMER] 
RDBECOLIGNC00035	amn	2055061	2056515	forward	EG10039	[ASKA:ECK1977+b1982+JW1963+amn][KEIO:ECK1977+b1982+JW1963+amn][STRING:511145.b1982][ASAP:ABE-0006579][ECHOBASE:EB0037][OU-MICROARRAY:b1982][CGSC:17764][ECOCYC:EG10039][REFSEQ:b1982]	RDBECOLIPDC00075	AMP nucleosidase	Amn	[INTERPRO:IPR011271][ALPHAFOLD:P0AE12][PANTHER:PTHR43691:SF6][PFAM:PF01048][SMR:P0AE12][PRIDE:P0AE12][PDB:1T8Y][PRODB:PRO_000022094][ECOLIWIKI:b1982][MODBASE:P0AE12][SWISSMODEL:P0AE12][UNIPROT:P0AE12][REFSEQ:NP_416489][ECOCYC:AMP-NUCLEOSID-MONOMER] 
RDBECOLIGNC00036	ampC	4377811	4378944	reverse	ampA,EG10040	[ASKA:ECK4146+b4150+JW4111+ampC][KEIO:ECK4146+b4150+JW4111+ampC][STRING:511145.b4150][ASAP:ABE-0013592][ECHOBASE:EB0038][OU-MICROARRAY:b4150][CGSC:1033][ECOCYC:EG10040][REFSEQ:b4150]	RDBECOLIPDC00383	&beta;-lactamase	AmpA,AmpC	[ALPHAFOLD:P00811][PDB:1MY8][PFAM:PF00144][PRIDE:P00811][SMR:P00811][INTERPRO:IPR001466][PROSITE:PS00336][PRODB:PRO_000022095][ECOLIWIKI:b4150][MODBASE:P00811][REFSEQ:NP_418574][UNIPROT:P00811][ECOCYC:EG10040-MONOMER] 
