string_protein_id	preferred_name	protein_size	annotation
511145.b0026	ileS	938	isoleucyl-tRNA synthetase; Catalyzes the attachment of isoleucine to tRNA(Ile). As IleRS can inadvertently accommodate and process structurally similar amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile).
511145.b0027	lspA	164	Prolipoprotein signal peptidase (signal peptidase II); This protein specifically catalyzes the removal of signal peptides from prolipoproteins.
511145.b0028	fkpB	149	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase); PPIases accelerate the folding of proteins. Substrate specificity investigated with 'Suc-Ala-Xaa-Pro-Phe-4-nitroanilide' where Xaa is the amino acid tested, was found to be Phe > Leu >> Ile > Lys = Ala > Trp > His >> Gln.
511145.b0029	ispH	316	4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein; Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP/MEP pathway for isoprenoid precursor biosynthesis. In vitro, can also hydrate acetylenes to aldehydes and ketones via anti-Markovnikov/Markovnikov addition. Belongs to the IspH family.
511145.b0030	rihC	304	Ribonucleoside hydrolase 3; Hydrolyzes both purine and pyrimidine ribonucleosides with a broad-substrate specificity with decreasing activity in the order uridine, xanthosine, inosine, adenosine, cytidine, guanosine.
511145.b0031	dapB	273	Dihydrodipicolinate reductase; Catalyzes the conversion of 4-hydroxy-tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate. Can use both NADH and NADPH as a reductant, with NADH being twice as effective as NADPH. Belongs to the DapB family.
511145.b0032	carA	382	Carbamoyl phosphate synthetase small subunit, glutamine amidotransferase; Protein involved in arginine biosynthetic process and pyrimidine nucleotide biosynthetic process.
511145.b0033	carB	1073	Carbamoyl-phosphate synthase large subunit; Protein involved in arginine biosynthetic process and pyrimidine nucleotide biosynthetic process; Belongs to the CarB family.
511145.b0034	caiF	131	Cai operon transcriptional activator; Potential transcriptional activator of carnitine metabolism.
511145.b0035	caiE	196	Stimulator of CaiD and CaiB enzyme activities; Overproduction of CaiE stimulates the activity of CaiB and CaiD; Belongs to the transferase hexapeptide repeat family.
511145.b0036	caiD	261	carnitinyl-CoA dehydratase; Catalyzes the reversible dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA.
511145.b0037	caiC	517	Putative crotonobetaine/carnitine-CoA ligase; Catalyzes the transfer of CoA to carnitine, generating the initial carnitinyl-CoA needed for the CaiB reaction cycle. Also has activity toward crotonobetaine and gamma-butyrobetaine. Belongs to the ATP-dependent AMP-binding enzyme family.
511145.b0038	caiB	405	Crotonobetainyl CoA:carnitine CoA transferase; Catalyzes the reversible transfer of the CoA moiety from gamma-butyrobetainyl-CoA to L-carnitine to generate L-carnitinyl-CoA and gamma-butyrobetaine. Is also able to catalyze the reversible transfer of the CoA moiety from gamma-butyrobetainyl-CoA or L- carnitinyl-CoA to crotonobetaine to generate crotonobetainyl-CoA. Belongs to the CoA-transferase III family. CaiB subfamily.
511145.b0039	caiA	380	Crotonobetaine reductase subunit II, FAD-binding; Catalyzes the reduction of crotonobetainyl-CoA to gamma- butyrobetainyl-CoA. The electron donor could be the FixA/FixB complex.
511145.b0040	caiT	504	Putative transporter; Catalyzes the exchange of L-carnitine for gamma-butyrobetaine and related betaines.
511145.b0041	fixA	256	Anaerobic carnitine reduction putative electron transfer flavoprotein subunit; Required for anaerobic carnitine reduction. May bring reductant to CaiA; Belongs to the ETF beta-subunit/FixA family.
511145.b0042	fixB	313	Protein FixB; Required for anaerobic carnitine reduction. May bring reductant to CaiA; Belongs to the ETF alpha-subunit/FixB family.
511145.b0043	fixC	428	Putative oxidoreductase; Could be part of an electron transfer system required for anaerobic carnitine reduction; Belongs to the ETF-QO/FixC family.
511145.b0044	fixX	95	Putative 4Fe-4S ferredoxin-type protein; Could be part of an electron transfer system required for anaerobic carnitine reduction. Could be a 3Fe-4S cluster-containing protein; Belongs to the bacterial-type ferredoxin family. FixX subfamily.
511145.b0045	yaaU	443	Putative MFS sugar transporter; Putative transport protein.
511145.b0046	kefF	176	Potassium-efflux system ancillary protein for KefC, glutathione-regulated; Regulatory subunit of a potassium efflux system that confers protection against electrophiles. Required for full activity of KefC. Shows redox enzymatic activity, but this enzymatic activity is not required for activation of KefC. Can use a wide range of substrates, including electrophilic quinones, and its function could be to reduce the redox toxicity of electrophilic quinones in parallel with acting as triggers for the KefC efflux system. Belongs to the NAD(P)H dehydrogenase (quinone) family. KefF subfamily.
511145.b0047	kefC	620	Potassium:proton antiporter; Pore-forming subunit of a potassium efflux system that confers protection against electrophiles. Catalyzes K(+)/H(+) antiport. Can also export rubidium, lithium and sodium.
511145.b0048	folA	159	Dihydrofolate reductase; Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis.
511145.b0049	apaH	280	Diadenosine tetraphosphatase; Hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP; Belongs to the Ap4A hydrolase family.
511145.b0050	apaG	125	Protein associated with Co2+ and Mg2+ efflux.
511145.b0051	rsmA	273	16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent; Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits. Has also a DNA glycosylase/AP lyase activity that removes C mispaired with oxidized T from DNA, and may play a role in protection of DNA against oxidative stress.
511145.b0052	pdxA	329	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent; Catalyzes the NAD(P)-dependent oxidation of 4-(phosphooxy)-L- threonine (HTP) into 2-amino-3-oxo-4-(phosphooxy)butyric acid which spontaneously decarboxylates to form 3-amino-2-oxopropyl phosphate (AHAP); Belongs to the PdxA family.
511145.b0053	surA	428	Peptidyl-prolyl cis-trans isomerase (PPIase); Chaperone involved in the correct folding and assembly of outer membrane proteins, such as OmpA, OmpF and LamB. Recognizes specific patterns of aromatic residues and the orientation of their side chains, which are found more frequently in integral outer membrane proteins. May act in both early periplasmic and late outer membrane- associated steps of protein maturation. Essential for the survival of E.coli in stationary phase. Required for pilus biogenesis.
511145.b0054	lptD	784	LPS assembly OM complex LptDE, beta-barrel component; Together with LptE, is involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane. Contributes to n-hexane resistance.
511145.b0055	djlA	271	Membrane-anchored DnaK co-chaperone, DNA-binding protein; Regulatory DnaK co-chaperone. Direct interaction between DnaK and DjlA is needed for the induction of the wcaABCDE operon, involved in the synthesis of a colanic acid polysaccharide capsule, possibly through activation of the RcsB/RcsC phosphotransfer signaling pathway. The colanic acid capsule may help the bacterium survive conditions outside the host.
511145.b0058	rluA	219	Dual-specificity RNA pseudouridine synthase RluA; Dual specificity enzyme that catalyzes the synthesis of pseudouridine from uracil-746 in 23S ribosomal RNA and from uracil-32 in the anticodon stem and loop of transfer RNAs.
511145.b0059	rapA	968	RNA polymerase remodeling/recycling factor ATPase; Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair (By similarity); Belongs to the SNF2/RAD54 helicase family. RapA subfamily.
511145.b0060	polB	783	DNA polymerase II; Thought to be involved in DNA repair and/or mutagenesis. Its processivity is enhanced by the beta sliding clamp (dnaN) and clamp loader.
511145.b0061	araD	231	L-ribulose-5-phosphate 4-epimerase; Involved in the degradation of L-arabinose. Catalyzes the interconversion of L-ribulose 5-phosphate (LRu5P) and D- xylulose 5-phosphate (D-Xu5P) via a retroaldol/aldol mechanism (carbon- carbon bond cleavage analogous to a class II aldolase reaction).
511145.b0062	araA	500	L-arabinose isomerase; Catalyzes the conversion of L-arabinose to L-ribulose.
511145.b0063	araB	566	L-ribulokinase; Protein involved in carbohydrate catabolic process; Belongs to the ribulokinase family.
511145.b0064	araC	292	Ara regulon transcriptional activator; Transcription factor that regulates the expression of several genes involved in the transport and metabolism of L-arabinose. Functions both as a positive and a negative regulator. In the presence of arabinose, activates the expression of the araBAD, araE, araFGH and araJ promoters. In the absence of arabinose, negatively regulates the araBAD operon. Represses its own transcription. Acts by binding directly to DNA.
511145.b0065	yabI	254	DedA family inner membrane protein.
511145.b0066	thiQ	232	Thiamine/thiamine pyrophosphate ABC transporter ATPase; Part of the ABC transporter complex ThiBPQ involved in thiamine import. Responsible for energy coupling to the transport system (Probable); Belongs to the ABC transporter superfamily. Thiamine importer (TC 3.A.1.19.1) family.
511145.b0067	thiP	536	Thiamine/thiamine pyrophosphate ABC transporter permease; Part of the ABC transporter complex ThiBPQ involved in thiamine import. Probably responsible for the translocation of the substrate across the membrane (Probable). Belongs to the binding-protein-dependent transport system permease family. CysTW subfamily.
511145.b0068	thiB	327	Thiamine/thiamine pyrophosphate/thiamine monophosphate ABC transporter periplasmic binding protein; Part of the ABC transporter complex ThiBPQ involved in thiamine import. Binds thiamine, thiamine phosphate and thiamine diphosphate with high affinity ; Belongs to the bacterial solute-binding protein 1 family.
511145.b0069	sgrR	551	Transcriptional DNA-binding transcriptional activator of sgrS sRNA; Activates the small RNA gene sgrS under glucose-phosphate stress conditions as well as yfdZ. Represses its own transcription under both stress and non-stress conditions; this repression likely provides one measure of control over sgrR at the level of synthesis. Might act as a sensor of the intracellular accumulation of phosphoglucose by binding these molecules in its C-terminal solute- binding domain.
511145.b0070	setA	392	Broad specificity sugar efflux system; Involved in the efflux of sugars. The physiological role may be the detoxification of non-metabolizable sugar analogs. Can transport IPTG, lactose and glucose. Has broad substrate specificity, with preferences for glucosides or galactosides with alkyl or aryl substituents; Belongs to the major facilitator superfamily. Set transporter family.
511145.b0071	leuD	201	3-isopropylmalate dehydratase small subunit; Catalyzes the isomerization between 2-isopropylmalate and 3- isopropylmalate, via the formation of 2-isopropylmaleate.
511145.b0072	leuC	466	3-isopropylmalate dehydratase large subunit; Catalyzes the isomerization between 2-isopropylmalate and 3- isopropylmalate, via the formation of 2-isopropylmaleate; Belongs to the aconitase/IPM isomerase family. LeuC type 1 subfamily.
511145.b0073	leuB	363	3-isopropylmalate dehydrogenase, NAD(+)-dependent; Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate. Belongs to the isocitrate and isopropylmalate dehydrogenases family. LeuB type 1 subfamily.
511145.b0074	leuA	523	2-isopropylmalate synthase; Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3- hydroxy-4-methylpentanoate (2-isopropylmalate); Belongs to the alpha-IPM synthase/homocitrate synthase family. LeuA type 1 subfamily.
511145.b0075	leuL	28	Leu operon leader peptide; Involved in control of the biosynthesis of leucine.
511145.b0076	leuO	314	Global transcription factor; A global transcription factor. Activates transcription of the 9 following operons; yjjQ-bglJ, yjjP, acrEF, ybdO, yjcRQP, casABCDE12, rhsD-ybbC, fepE and gltF, in most cases it probably interferes with silencing by H-NS and activates transcription. Represses transcription of the 3 following operons; uxaCA, sdaCB and btsT. H-NS repression of the bgl operon, leading to the ability to metabolize some beta- glucosides. It also directly activates the bgl operon. Activation is H- NS and BglJ-RcsB independent.
511145.b0077	ilvI	574	Acetolactate synthase III, valine sensitive, large subunit.
511145.b0078	ilvH	163	Acetolactate synthase III, valine sensitive, small subunit.
511145.b0080	cra	334	Transcriptional repressor-activator for carbon metabolism; Global transcriptional regulator, which plays an important role in the regulation of carbon metabolism. Activates transcription of genes encoding biosynthetic and oxidative enzymes (involved in Krebs cycle, glyoxylate shunt and gluconeogenesis, such as ppsA and fbp). Represses genes involved in sugar catabolism, such as fruB, pfkA, pykF and adhE. Binds asymmetrically to the two half-sites of its operator.
511145.b0081	mraZ	152	RsmH methytransferase inhibitor; Negatively regulates its own expression and that of the subsequent genes in the proximal part of the division and cell wall (dcw) gene cluster. Acts by binding directly to DNA. May also regulate the expression of genes outside the dcw cluster; Belongs to the MraZ family.
511145.b0082	rsmH	313	16S rRNA m(4)C1402 methyltransferase, SAM-dependent; Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA. In vitro, active on the assembled 30S subunit, but not naked 16S rRNA or 70S ribosomes.
511145.b0083	ftsL	121	Membrane bound cell division leucine zipper septum protein; Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic. Can also mediate Zn(2+)-sensitivity probably by increasing the permeability of the inner membrane. Belongs to the FtsL family.
511145.b0084	ftsI	588	Transpeptidase involved in septal peptidoglycan synthesis; Essential cell division protein that catalyzes cross-linking of the peptidoglycan cell wall at the division septum. Required for localization of FtsN. Belongs to the transpeptidase family. FtsI subfamily.
511145.b0085	murE	495	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase; Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan. Is also able to use many meso-diaminopimelate analogs as substrates, although much less efficiently, but not L-lysine.
511145.b0086	murF	452	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase; Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein.
511145.b0087	mraY	360	phospho-N-acetylmuramoyl-pentapeptide transferase; First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan.
511145.b0088	murD	438	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase; Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA).
511145.b0089	ftsW	414	Putative lipid II flippase; Peptidoglycan polymerase that is essential for cell division (Probable). Functions probably in conjunction with the penicillin- binding protein 3 (ftsI). Required for localization of FtsI.
511145.b0090	murG	355	N-acetylglucosaminyl transferase; Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II).
511145.b0091	murC	491	UDP-N-acetylmuramate:L-alanine ligase; Cell wall formation; Belongs to the MurCDEF family.
511145.b0092	ddlB	306	D-alanine:D-alanine ligase; Cell wall formation; Belongs to the D-alanine--D-alanine ligase family.
511145.b0093	ftsQ	276	Divisome assembly protein, membrane anchored protein involved in growth of wall at septum; Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic. May control correct divisome assembly. Belongs to the FtsQ/DivIB family. FtsQ subfamily.
511145.b0094	ftsA	420	ATP-binding cell division FtsK recruitment protein; Essential cell division protein that assists in the assembly of the Z ring. May serve as the principal membrane anchor for the Z ring. Also required for the recruitment to the septal ring of the downstream cell division proteins FtsK, FtsQ, FtsL, FtsI and FtsN. Binds ATP.
511145.b0095	ftsZ	383	GTP-binding tubulin-like cell division protein; Essential cell division protein that forms a contractile ring structure (Z ring) at the future cell division site. The regulation of the ring assembly controls the timing and the location of cell division. One of the functions of the FtsZ ring is to recruit other cell division proteins to the septum to produce a new cell wall between the dividing cells. Binds GTP and shows GTPase activity. Polymerization and bundle formation is enhanced by CbeA.
511145.b0096	lpxC	305	UDP-3-O-acyl N-acetylglucosamine deacetylase; Catalyzes the hydrolysis of UDP-3-O-myristoyl-N- acetylglucosamine to form UDP-3-O-myristoylglucosamine and acetate, the committed step in lipid A biosynthesis.
511145.b0097	secM	170	Regulator of secA translation; Regulates secA expression by translational coupling of the secM secA operon. Ribosomes translating the C-terminal region of secM can disrupt an RNA repressor helix that normally blocks secA translation initiation, derepressing the expression of secA. Translational pausing of secM at Pro-166 under secretion-limiting conditions increases the duration of the disruption and thus increases secA expression. This is controlled by interaction of the secM signal peptide with secA and the translocon, possibly by secA pulling the paused secM out of the ribosome. The [...] 
511145.b0098	secA	901	Preprotein translocase subunit, ATPase; Required for protein export, interacts with the SecYEG preprotein conducting channel. SecA has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving both as a receptor for the preprotein-SecB complex and as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane.
511145.b0099	mutT	129	dGTP-preferring nucleoside triphosphate pyrophosphohydrolase; Involved in the GO system responsible for removing an oxidatively damaged form of guanine (7,8-dihydro-8-oxoguanine) from DNA and the nucleotide pool. 8-oxo-dGTP is inserted opposite dA and dC residues of template DNA with almost equal efficiency thus leading to A.T to G.C transversions. MutT specifically degrades 8-oxo-dGTP to the monophosphate; Belongs to the Nudix hydrolase family.
511145.b0101	yacG	65	DNA gyrase inhibitor; Inhibits all the catalytic activities of DNA gyrase by preventing its interaction with DNA. Acts by binding directly to the C- terminal domain of GyrB, which probably disrupts DNA binding by the gyrase.
511145.b0102	zapD	247	FtsZ stabilizer; Cell division factor that enhances FtsZ-ring assembly. Directly interacts with FtsZ and promotes bundling of FtsZ protofilaments, with a reduction in FtsZ GTPase activity.
511145.b0103	coaE	206	dephospho-CoA kinase; Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A; Belongs to the CoaE family.
511145.b0104	guaC	347	GMP reductase; Catalyzes the irreversible NADPH-dependent deamination of GMP to IMP. It functions in the conversion of nucleobase, nucleoside and nucleotide derivatives of G to A nucleotides, and in maintaining the intracellular balance of A and G nucleotides; Belongs to the IMPDH/GMPR family. GuaC type 1 subfamily.
511145.b0106	hofC	400	Assembly protein in type IV pilin biogenesis, transmembrane protein; Putative integral membrane protein involved in biogenesis of fimbriae, protein transport, DNA uptake.
511145.b0107	hofB	461	T2SE secretion family protein; Putative integral membrane protein involved in biogenesis of fimbriae, protein transport, DNA uptake; Belongs to the GSP E family.
511145.b0108	ppdD	146	Putative prepilin peptidase-dependent pilin; Not yet known; Belongs to the N-Me-Phe pilin family.
511145.b0109	nadC	297	Quinolinate phosphoribosyltransferase; Involved in the catabolism of quinolinic acid (QA). Belongs to the NadC/ModD family.
511145.b0110	ampD	183	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; Involved in cell wall peptidoglycan recycling. Specifically cleaves the amide bond between the lactyl group of N-acetylmuramic acid and the alpha-amino group of the L-alanine in degradation products containing an anhydro N-acetylmuramyl moiety. Is also involved in beta-lactamase induction ; Belongs to the N-acetylmuramoyl-L-alanine amidase 2 family.
511145.b0111	ampE	284	Ampicillin resistance inner membrane protein; Putative signaling protein in beta-lactamase regulation. AmpE seems not to act as a direct sensor for beta-lactams.
511145.b0112	aroP	457	Aromatic amino acid transporter; Permease that is involved in the transport across the cytoplasmic membrane of the aromatic amino acids (phenylalanine, tyrosine, and tryptophan).
511145.b0113	pdhR	254	Pyruvate dehydrogenase complex repressor; Transcriptional repressor for the pyruvate dehydrogenase complex genes aceEF and lpd.
511145.b0114	aceE	887	Pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding; Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2).
511145.b0115	aceF	630	Pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2; The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2). It contains multiple copies of three enzymatic components: pyruvate dehydrogenase (E1), dihydrolipoamide acetyltransferase (E2) and lipoamide dehydrogenase (E3).
511145.b0116	lpd	474	Dihydrolipoyl dehydrogenase; Lipoamide dehydrogenase is a component of the glycine cleavage system as well as of the alpha-ketoacid dehydrogenase complexes.
511145.b0117	yacH	617	DUF3300 family protein; Putative membrane protein.
511145.b0118	acnB	865	Aconitate hydratase 2; Involved in the catabolism of short chain fatty acids (SCFA) via the tricarboxylic acid (TCA)(acetyl degradation route) and the 2- methylcitrate cycle I (propionate degradation route). Catalyzes the reversible isomerization of citrate to isocitrate via cis-aconitate. Also catalyzes the hydration of 2-methyl-cis-aconitate to yield (2R,3S)-2-methylisocitrate. The apo form of AcnB functions as a RNA- binding regulatory protein. During oxidative stress inactive AcnB apo- enzyme without iron sulfur clusters binds the acnB mRNA 3' UTRs (untranslated regions), stabilize [...] 
511145.b0119	yacL	120	UPF0231 family protein.
511145.b0120	speD	264	S-adenosylmethionine decarboxylase; Catalyzes the decarboxylation of S-adenosylmethionine to S- adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine.
511145.b0121	speE	288	Spermidine synthase (putrescine aminopropyltransferase); Involved in the biosynthesis of polyamines which play a significant role in the structural and functional organization in the chromoid of E.coli by compacting DNA and neutralizing negative charges. Catalyzes the irreversible transfer (ping-pong mechanism) of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy-AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine. Cadaverine (1,5-diaminopentane) and spermidine can also be used as the propylamine acceptor.
511145.b0122	yacC	115	PulS_OutS family protein.
511145.b0123	cueO	516	Multicopper oxidase (laccase); Probably involved in periplasmic detoxification of copper by oxidizing Cu(+) to Cu(2+) and thus preventing its uptake into the cytoplasm. Possesses phenoloxidase and ferroxidase activities and might be involved in the production of polyphenolic compounds and the prevention of oxidative damage in the periplasm.
511145.b0124	gcd	796	Glucose dehydrogenase; GDH is probably involved in energy conservation rather than in sugar metabolism; Belongs to the bacterial PQQ dehydrogenase family.
511145.b0125	hpt	178	Hypoxanthine phosphoribosyltransferase; Acts preferentially on hypoxanthine; has very low activity towards guanine. Inactive towards xanthine. Belongs to the purine/pyrimidine phosphoribosyltransferase family.
511145.b0126	can	220	Putative carbonic anhdrase; Belongs to the beta-class carbonic anhydrase family.
511145.b0127	yadG	308	Putative ABC transporter ATPase; Putative ATP-binding component of a transport system.
511145.b0128	yadH	256	Putative ABC transporter permease.
511145.b0129	yadI	146	Putative PTS Enzyme IIA; The phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS), a major carbohydrate active -transport system, catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane.
511145.b0130	yadE	409	Putative polysaccharide deacetylase lipoprotein.
511145.b0131	panD	126	Aspartate 1-decarboxylase; Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine; Belongs to the PanD family.
511145.b0132	yadD	300	Transposase_31 family protein; A low activity DNA endonuclease yielding 3'-hydroxyl ends (Probable). Upon expression enhances RecA-independent DNA recombination 2.9-fold, concomitantly reducing viability by 59% and inducing DNA damage as measured by induction of the SOS repair response. Belongs to the Rpn/YhgA-like nuclease family.
511145.b0133	panC	283	Pantothenate synthetase; Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate. Belongs to the pantothenate synthetase family.
511145.b0134	panB	264	3-methyl-2-oxobutanoate hydroxymethyltransferase; Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha- ketoisovalerate to form ketopantoate.
511145.b0135	yadC	412	Putative fimbrial-like adhesin protein; Part of the yadCKLM-htrE-yadVN fimbrial operon. Could contribute to adhesion to various surfaces in specific environmental niches.
