"uniprot","qualifier","go_term","name","locus"
"P37527",NA,"GO:0042823","Pyridoxal 5'-phosphate synthase subunit PdxS","BSU_00110"
"P37527",NA,"GO:0008615","Pyridoxal 5'-phosphate synthase subunit PdxS","BSU_00110"
"P37527",NA,"GO:0006520","Pyridoxal 5'-phosphate synthase subunit PdxS","BSU_00110"
"P37527",NA,"GO:0016843","Pyridoxal 5'-phosphate synthase subunit PdxS","BSU_00110"
"P37524",NA,"GO:0045881","Nucleoid occlusion protein","BSU_40990"
"P37524",NA,"GO:0007059","Nucleoid occlusion protein","BSU_40990"
"P37524",NA,"GO:0005694","Nucleoid occlusion protein","BSU_40990"
"P37518",NA,"GO:0016887","Ribosome-binding ATPase YchF","BSU_40920"
"P37518",NA,"GO:0005737","Ribosome-binding ATPase YchF","BSU_40920"
"P37517",NA,"GO:0006355","Catabolite control protein B","BSU_40870"
"P37517",NA,"GO:0003700","Catabolite control protein B","BSU_40870"
"P37517",NA,"GO:0000976","Catabolite control protein B","BSU_40870"
"P37515",NA,"GO:0005829","Probable maltose O-acetyltransferase","BSU_40850"
"P37515",NA,"GO:0008374","Probable maltose O-acetyltransferase","BSU_40850"
"P37506",NA,"GO:0016747","Streptothricin acetyltransferase A","BSU_40740"
"P37504",NA,"GO:0048029","Uncharacterized protein YyaT","BSU_40720"
"P37504",NA,"GO:0005793","Uncharacterized protein YyaT","BSU_40720"
"P37504",NA,"GO:0006048","Uncharacterized protein YyaT","BSU_40720"
"P37504",NA,"GO:0004343","Uncharacterized protein YyaT","BSU_40720"
"P37500",NA,"GO:0004343","Putative acetyltransferase BSU40680","BSU_40680"
"P37500",NA,"GO:0048029","Putative acetyltransferase BSU40680","BSU_40680"
"P37500",NA,"GO:0006048","Putative acetyltransferase BSU40680","BSU_40680"
"P37500",NA,"GO:0005793","Putative acetyltransferase BSU40680","BSU_40680"
"P37499",NA,"GO:0005829","Uncharacterized HTH-type transcriptional regulator YybE","BSU_40670"
"P37499",NA,"GO:0006355","Uncharacterized HTH-type transcriptional regulator YybE","BSU_40670"
"P37487",NA,"GO:0005737","Manganese-dependent inorganic pyrophosphatase","BSU_40550"
"P37478",NA,"GO:0005829","Transcriptional regulatory protein WalR","BSU_40410"
"P37478",NA,"GO:0032993","Transcriptional regulatory protein WalR","BSU_40410"
"P37478",NA,"GO:0000156","Transcriptional regulatory protein WalR","BSU_40410"
"P37478",NA,"GO:0006355","Transcriptional regulatory protein WalR","BSU_40410"
"P37478",NA,"GO:0000976","Transcriptional regulatory protein WalR","BSU_40410"
"P37477",NA,"GO:0004824","Lysine--tRNA ligase","BSU_00820"
"P37477",NA,"GO:0006430","Lysine--tRNA ligase","BSU_00820"
"P37477",NA,"GO:0005829","Lysine--tRNA ligase","BSU_00820"
"P37477",NA,"GO:0000049","Lysine--tRNA ligase","BSU_00820"
"P37476",NA,"GO:0030163","ATP-dependent zinc metalloprotease FtsH","BSU_00690"
"P37476",NA,"GO:0005886","ATP-dependent zinc metalloprotease FtsH","BSU_00690"
"P37476",NA,"GO:0006508","ATP-dependent zinc metalloprotease FtsH","BSU_00690"
"P37476",NA,"GO:0004176","ATP-dependent zinc metalloprotease FtsH","BSU_00690"
"P37474",NA,"GO:0006355","Transcription-repair-coupling factor","BSU_00550"
"P37474",NA,"GO:0000716","Transcription-repair-coupling factor","BSU_00550"
"P37474",NA,"GO:0003677","Transcription-repair-coupling factor","BSU_00550"
"P37474",NA,"GO:0043175","Transcription-repair-coupling factor","BSU_00550"
"P37474",NA,"GO:0015616","Transcription-repair-coupling factor","BSU_00550"
"P37472",NA,"GO:0006178","Hypoxanthine-guanine phosphoribosyltransferase","BSU_00680"
"P37472",NA,"GO:0032264","Hypoxanthine-guanine phosphoribosyltransferase","BSU_00680"
"P37472",NA,"GO:0032263","Hypoxanthine-guanine phosphoribosyltransferase","BSU_00680"
"P37472",NA,"GO:0000287","Hypoxanthine-guanine phosphoribosyltransferase","BSU_00680"
"P37472",NA,"GO:0046100","Hypoxanthine-guanine phosphoribosyltransferase","BSU_00680"
"P37472",NA,"GO:0005829","Hypoxanthine-guanine phosphoribosyltransferase","BSU_00680"
"P37472",NA,"GO:0004422","Hypoxanthine-guanine phosphoribosyltransferase","BSU_00680"
"P37470",NA,"GO:0004045","Peptidyl-tRNA hydrolase","BSU_00530"
"P37469",NA,"GO:0003678","Replicative DNA helicase","BSU_40440"
"P37469",NA,"GO:0006268","Replicative DNA helicase","BSU_40440"
"P37469",NA,"GO:0005829","Replicative DNA helicase","BSU_40440"
"P37468",NA,"GO:0031167","Ribosomal RNA small subunit methyltransferase A","BSU_00420"
"P37468",NA,"GO:0000179","Ribosomal RNA small subunit methyltransferase A","BSU_00420"
"P37468",NA,"GO:0005829","Ribosomal RNA small subunit methyltransferase A","BSU_00420"
"P37465",NA,"GO:0004825","Methionine--tRNA ligase","BSU_00380"
"P37465",NA,"GO:0006431","Methionine--tRNA ligase","BSU_00380"
"P37455",NA,"GO:0003697","Single-stranded DNA-binding protein A","BSU_40900"
"P37455",NA,"GO:0051096","Single-stranded DNA-binding protein A","BSU_40900"
"P37455",NA,"GO:0009295","Single-stranded DNA-binding protein A","BSU_40900"
"P37454",NA,"GO:0008081","Exodeoxyribonuclease","BSU_40880"
"P37454",NA,"GO:0003906","Exodeoxyribonuclease","BSU_40880"
"P37454",NA,"GO:0006284","Exodeoxyribonuclease","BSU_40880"
"P37454",NA,"GO:0008311","Exodeoxyribonuclease","BSU_40880"
"P37437",NA,"GO:0022625","50S ribosomal protein L9","BSU_40500"
"P37253",NA,"GO:0005829","Ketol-acid reductoisomerase (NADP(+))","BSU_28290"
"P37253",NA,"GO:0009097","Ketol-acid reductoisomerase (NADP(+))","BSU_28290"
"P37253",NA,"GO:0004455","Ketol-acid reductoisomerase (NADP(+))","BSU_28290"
"P37253",NA,"GO:0009099","Ketol-acid reductoisomerase (NADP(+))","BSU_28290"
"P37252",NA,"GO:0003984","Acetolactate synthase small subunit","BSU_28300"
"P37252",NA,"GO:0005829","Acetolactate synthase small subunit","BSU_28300"
"P37252",NA,"GO:0009099","Acetolactate synthase small subunit","BSU_28300"
"P37252",NA,"GO:0009097","Acetolactate synthase small subunit","BSU_28300"
"P37251",NA,"GO:0050660","Acetolactate synthase large subunit","BSU_28310"
"P37251",NA,"GO:0009097","Acetolactate synthase large subunit","BSU_28310"
"P37251",NA,"GO:0009099","Acetolactate synthase large subunit","BSU_28310"
"P37251",NA,"GO:0005948","Acetolactate synthase large subunit","BSU_28310"
"P37251",NA,"GO:0003984","Acetolactate synthase large subunit","BSU_28310"
"P71012",NA,"GO:0009401","PTS system fructose-specific EIIABC component","BSU_14400"
"P71012",NA,"GO:0005886","PTS system fructose-specific EIIABC component","BSU_14400"
"P71012",NA,"GO:0090563","PTS system fructose-specific EIIABC component","BSU_14400"
"P39847",NA,"GO:0043041","Plipastatin synthase subunit C","BSU_18320"
"P39847",NA,"GO:0005737","Plipastatin synthase subunit C","BSU_18320"
"P39847",NA,"GO:0031177","Plipastatin synthase subunit C","BSU_18320"
"P39847",NA,"GO:0044550","Plipastatin synthase subunit C","BSU_18320"
"P39846",NA,"GO:0043041","Plipastatin synthase subunit B","BSU_18330"
"P39846",NA,"GO:0044550","Plipastatin synthase subunit B","BSU_18330"
"P39846",NA,"GO:0031177","Plipastatin synthase subunit B","BSU_18330"
"P39846",NA,"GO:0005737","Plipastatin synthase subunit B","BSU_18330"
"P39845",NA,"GO:0044550","Plipastatin synthase subunit A","BSU_18340"
"P39845",NA,"GO:0005737","Plipastatin synthase subunit A","BSU_18340"
"P39845",NA,"GO:0043041","Plipastatin synthase subunit A","BSU_18340"
"P39845",NA,"GO:0031177","Plipastatin synthase subunit A","BSU_18340"
"P39844",NA,"GO:0000270","D-alanyl-D-alanine carboxypeptidase DacC","BSU_18350"
"P39844",NA,"GO:0004185","D-alanyl-D-alanine carboxypeptidase DacC","BSU_18350"
"P39840",NA,"GO:0005737","Aldose 1-epimerase","BSU_18360"
"P39840",NA,"GO:0004034","Aldose 1-epimerase","BSU_18360"
"P39840",NA,"GO:0033499","Aldose 1-epimerase","BSU_18360"
"P39840",NA,"GO:0006006","Aldose 1-epimerase","BSU_18360"
"P39839",NA,"GO:0004252","Uncharacterized peptidase YuxL","BSU_32230"
"P39822",NA,"GO:0006646","Phosphatidylserine decarboxylase proenzyme","BSU_02290"
"P39822",NA,"GO:0004609","Phosphatidylserine decarboxylase proenzyme","BSU_02290"
"P39821",NA,"GO:0004350","Gamma-glutamyl phosphate reductase","BSU_13130"
"P39820",NA,"GO:0006561","Glutamate 5-kinase 1","BSU_13120"
"P39820",NA,"GO:0004349","Glutamate 5-kinase 1","BSU_13120"
"P39820",NA,"GO:0005829","Glutamate 5-kinase 1","BSU_13120"
"P39816",NA,"GO:0009401","Putative PTS system glucosamine-specific EIICBA component","BSU_02350"
"P39816",NA,"GO:0090563","Putative PTS system glucosamine-specific EIICBA component","BSU_02350"
"P39815",NA,"GO:0050660","Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO","BSU_16130"
"P39815",NA,"GO:0030488","Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO","BSU_16130"
"P39815",NA,"GO:0005829","Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO","BSU_16130"
"P39815",NA,"GO:0002098","Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO","BSU_16130"
"P39812",NA,"GO:0019676","Glutamate synthase [NADPH] large chain","BSU_18450"
"P39812",NA,"GO:0015930","Glutamate synthase [NADPH] large chain","BSU_18450"
"P39812",NA,"GO:0006537","Glutamate synthase [NADPH] large chain","BSU_18450"
"P39810",NA,"GO:0044780","Flagellar hook-associated protein 1","BSU_35410"
"P39802",NA,"GO:0006935","Chemotaxis protein CheW","BSU_16440"
"P39802",NA,"GO:0005829","Chemotaxis protein CheW","BSU_16440"
"P39800",NA,"GO:0008745","N-acetylmuramoyl-L-alanine amidase XlyA","BSU_12810"
"P39800",NA,"GO:0009253","N-acetylmuramoyl-L-alanine amidase XlyA","BSU_12810"
"P39800",NA,"GO:0009254","N-acetylmuramoyl-L-alanine amidase XlyA","BSU_12810"
"P39796",NA,"GO:0045892","HTH-type transcriptional regulator TreR","BSU_07820"
"P39795",NA,"GO:0009313","Trehalose-6-phosphate hydrolase","BSU_07810"
"P39795",NA,"GO:0004556","Trehalose-6-phosphate hydrolase","BSU_07810"
"P39793",NA,"GO:0008955","Penicillin-binding protein 1A/1B","BSU_22320"
"P39793",NA,"GO:0046677","Penicillin-binding protein 1A/1B","BSU_22320"
"P39793",NA,"GO:0009252","Penicillin-binding protein 1A/1B","BSU_22320"
"P39793",NA,"GO:0008658","Penicillin-binding protein 1A/1B","BSU_22320"
"P39788",NA,"GO:0006285","Endonuclease III","BSU_22340"
"P39788",NA,"GO:0019104","Endonuclease III","BSU_22340"
"P39782",NA,"GO:0006260","Phage-like element PBSX protein XkdC","BSU_12530"
"P39779",NA,"GO:0006355","GTP-sensing transcriptional pleiotropic repressor CodY","BSU_16170"
"P39778",NA,"GO:0005524","ATP-dependent protease ATPase subunit ClpY","BSU_16160"
"P39778",NA,"GO:0009376","ATP-dependent protease ATPase subunit ClpY","BSU_16160"
"P39778",NA,"GO:0051603","ATP-dependent protease ATPase subunit ClpY","BSU_16160"
"P39778",NA,"GO:0016887","ATP-dependent protease ATPase subunit ClpY","BSU_16160"
"P39775",NA,"GO:0005886","Choline transport system permease protein OpuBD","BSU_33700"
"P39772",NA,"GO:0006421","Asparagine--tRNA ligase","BSU_22360"
"P39771",NA,"GO:0005829","Formate-dependent phosphoribosylglycinamide formyltransferase","BSU_02230"
"P39766",NA,"GO:0005215","Uracil permease","BSU_15480"
"P39761",NA,"GO:0000034","Adenine deaminase","BSU_14520"
"P39759",NA,"GO:0005829","Putative gamma-glutamylcyclotransferase YkqA","BSU_14500"
"P39757",NA,"GO:0061798","GTP 3',8-cyclase","BSU_36700"
"P39757",NA,"GO:0061799","GTP 3',8-cyclase","BSU_36700"
"P39757",NA,"GO:0006777","GTP 3',8-cyclase","BSU_36700"
"P39755",NA,"GO:0015990","Probable NADH-quinone oxidoreductase subunit 5","BSU_01830"
"P39755",NA,"GO:0003954","Probable NADH-quinone oxidoreductase subunit 5","BSU_01830"
"P39753",NA,"GO:0071978","Flagellar hook-basal body complex protein FlhP","BSU_36390"
"P39752",NA,"GO:0071978","Flagellar hook-basal body complex protein FlhO","BSU_36400"
"P39738",NA,"GO:0071973","Flagellar hook-associated protein 2","BSU_35340"
"P39738",NA,"GO:0009421","Flagellar hook-associated protein 2","BSU_35340"
"P39696",NA,"GO:0004735","ComE operon protein 4","BSU_25600"
"P39696",NA,"GO:0055129","ComE operon protein 4","BSU_25600"
"P39666",NA,"GO:0005737","Probable nicotinate-nucleotide pyrophosphorylase [carboxylating]","BSU_27860"
"P39666",NA,"GO:0034213","Probable nicotinate-nucleotide pyrophosphorylase [carboxylating]","BSU_27860"
"P39666",NA,"GO:0004514","Probable nicotinate-nucleotide pyrophosphorylase [carboxylating]","BSU_27860"
"P39666",NA,"GO:0009435","Probable nicotinate-nucleotide pyrophosphorylase [carboxylating]","BSU_27860"
"P39651",NA,"GO:0008832","Uncharacterized protein YwfO","BSU_37600"
"P39651",NA,"GO:0006203","Uncharacterized protein YwfO","BSU_37600"
"P39647",NA,"GO:0000976","HTH-type transcriptional regulator CysL","BSU_37650"
"P39647",NA,"GO:0006355","HTH-type transcriptional regulator CysL","BSU_37650"
"P39640",NA,"GO:0016491","Dihydroanticapsin 7-dehydrogenase","BSU_37720"
"P39637",NA,"GO:0055085","Uncharacterized MFS-type transporter YwfA","BSU_37750"
"P39637",NA,"GO:0022857","Uncharacterized MFS-type transporter YwfA","BSU_37750"
"P39636",NA,"GO:0015171","Amino-acid permease RocC","BSU_37760"
"P39636",NA,"GO:0003333","Amino-acid permease RocC","BSU_37760"
"P39634",NA,"GO:0003842","1-pyrroline-5-carboxylate dehydrogenase","BSU_37780"
"P39634",NA,"GO:0010133","1-pyrroline-5-carboxylate dehydrogenase","BSU_37780"
"P39634",NA,"GO:0009898","1-pyrroline-5-carboxylate dehydrogenase","BSU_37780"
"P39633",NA,"GO:0004352","Catabolic NAD-specific glutamate dehydrogenase RocG","BSU_37790"
"P39633",NA,"GO:0006538","Catabolic NAD-specific glutamate dehydrogenase RocG","BSU_37790"
"P39631",NA,"GO:0019305","Spore coat polysaccharide biosynthesis protein SpsK","BSU_37820"
"P39631",NA,"GO:0008831","Spore coat polysaccharide biosynthesis protein SpsK","BSU_37820"
"P39631",NA,"GO:0045226","Spore coat polysaccharide biosynthesis protein SpsK","BSU_37820"
"P39631",NA,"GO:0005829","Spore coat polysaccharide biosynthesis protein SpsK","BSU_37820"
"P39626",NA,"GO:0005829","Spore coat polysaccharide biosynthesis protein SpsF","BSU_37860"
"P39625",NA,"GO:0047444","Spore coat polysaccharide biosynthesis protein SpsE","BSU_37870"
"P39625",NA,"GO:0070085","Spore coat polysaccharide biosynthesis protein SpsE","BSU_37870"
"P39624",NA,"GO:0016747","Spore coat polysaccharide biosynthesis protein SpsD","BSU_37880"
"P39623",NA,"GO:0008483","Spore coat polysaccharide biosynthesis protein SpsC","BSU_37890"
"P39623",NA,"GO:0000271","Spore coat polysaccharide biosynthesis protein SpsC","BSU_37890"
"P39623",NA,"GO:0030170","Spore coat polysaccharide biosynthesis protein SpsC","BSU_37890"
"P39619",NA,"GO:0005886","UPF0382 membrane protein YwdK","BSU_37930"
"P39618",NA,"GO:0042906","Putative purine permease YwdJ","BSU_37940"
"P39618",NA,"GO:0042907","Putative purine permease YwdJ","BSU_37940"
"P39616",NA,"GO:0004029","Putative aldehyde dehydrogenase YwdH","BSU_37960"
"P39616",NA,"GO:0006081","Putative aldehyde dehydrogenase YwdH","BSU_37960"
"P39616",NA,"GO:0005737","Putative aldehyde dehydrogenase YwdH","BSU_37960"
"P39615",NA,"GO:0097510","Uracil-DNA glycosylase","BSU_37970"
"P39615",NA,"GO:0004844","Uracil-DNA glycosylase","BSU_37970"
"P39610",NA,"GO:0008972","Pyridoxine kinase","BSU_38020"
"P39610",NA,"GO:0009228","Pyridoxine kinase","BSU_38020"
"P39610",NA,"GO:0008902","Pyridoxine kinase","BSU_38020"
"P39610",NA,"GO:0005829","Pyridoxine kinase","BSU_38020"
"P39608",NA,"GO:0015499","Uncharacterized transporter YwcJ","BSU_38060"
"P39608",NA,"GO:0015724","Uncharacterized transporter YwcJ","BSU_38060"
"P39606",NA,"GO:0005829","Uncharacterized protein YwcH","BSU_38100"
"P39604",NA,"GO:0051301","Peptidoglycan glycosyltransferase RodA","BSU_38120"
"P39604",NA,"GO:0032153","Peptidoglycan glycosyltransferase RodA","BSU_38120"
"P39604",NA,"GO:0008360","Peptidoglycan glycosyltransferase RodA","BSU_38120"
"P39604",NA,"GO:0015648","Peptidoglycan glycosyltransferase RodA","BSU_38120"
"P39602",NA,"GO:0005886","Uncharacterized membrane protein YwcD","BSU_38210"
"P39599",NA,"GO:0015123","Uncharacterized symporter YwcA","BSU_38240"
"P39599",NA,"GO:0006847","Uncharacterized symporter YwcA","BSU_38240"
"P39597",NA,"GO:0005829","Probable deferrochelatase/peroxidase EfeN","BSU_38260"
"P39597",NA,"GO:0020037","Probable deferrochelatase/peroxidase EfeN","BSU_38260"
"P39597",NA,"GO:0004601","Probable deferrochelatase/peroxidase EfeN","BSU_38260"
"P39595",NA,"GO:0034755","Ferrous iron permease EfeU","BSU_38280"
"P39595",NA,"GO:0005886","Ferrous iron permease EfeU","BSU_38280"
"P39595",NA,"GO:0015093","Ferrous iron permease EfeU","BSU_38280"
"P39594",NA,"GO:0009228","Thiamine-phosphate synthase","BSU_38290"
"P39594",NA,"GO:0005737","Thiamine-phosphate synthase","BSU_38290"
"P39594",NA,"GO:0004789","Thiamine-phosphate synthase","BSU_38290"
"P39592",NA,"GO:0005829","Uncharacterized HTH-type transcriptional regulator YwbI","BSU_38310"
"P39592",NA,"GO:0006355","Uncharacterized HTH-type transcriptional regulator YwbI","BSU_38310"
"P39589",NA,"GO:0015528","Uncharacterized transporter YwbF","BSU_38340"
"P39589",NA,"GO:0030395","Uncharacterized transporter YwbF","BSU_38340"
"P39589",NA,"GO:0071702","Uncharacterized transporter YwbF","BSU_38340"
"P39586",NA,"GO:0004493","Uncharacterized protein YwbC","BSU_38370"
"P39586",NA,"GO:0046491","Uncharacterized protein YwbC","BSU_38370"
"P39584",NA,"GO:1901264","Putative permease IIC component YwbA","BSU_38390"
"P39584",NA,"GO:0005886","Putative permease IIC component YwbA","BSU_38390"
"P39582",NA,"GO:0042371","1,4-dihydroxy-2-naphthoate octaprenyltransferase","BSU_38490"
