InteractionId	Interaction_type	Interaction_subtype	Citation	Interactor1	commonName1	Role1	Interactor2	commonName2	Role2	interactor1_uniprot_id	interactor1_name	interactor2_uniprot_id	interactor2_name	source
WBInteraction000505247	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000429	ceh-2	Bait	WBGene00003037	lin-54	Target	G5ECT8	ceh-2	Q95QD7	lin-54	wormbase
WBInteraction000505249	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000447	ceh-24	Bait	WBGene00003854	odr-7	Target	Q9NLC2	ceh-24	P41933	odr-7	wormbase
WBInteraction000505250	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000447	ceh-24	Bait	WBGene00006545	tbx-8	Target	Q9NLC2	ceh-24	Q22292	tbx-8	wormbase
WBInteraction000505252	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000430	ceh-5	Bait	WBGene00004024	php-3	Target	P20269	ceh-5	Q9XW88	php-3	wormbase
WBInteraction000505255	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000912	daf-16	Bait	WBGene00003854	odr-7	Target	O16850	daf-16	P41933	odr-7	wormbase
WBInteraction000505256	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000914	daf-19	Bait	WBGene00000914	daf-19	Target	Q09555	daf-19	Q09555	daf-19	wormbase
WBInteraction000505259	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000899	daf-3	Bait	WBGene00000440	ceh-17	Target	Q95QI7	daf-3	G5EC89	ceh-17	wormbase
WBInteraction000505262	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000899	daf-3	Bait	WBGene00003241	mig-5	Target	Q95QI7	daf-3	Q22227	mig-5	wormbase
WBInteraction000505264	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000899	daf-3	Bait	WBGene00003854	odr-7	Target	Q95QI7	daf-3	P41933	odr-7	wormbase
WBInteraction000505265	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000899	daf-3	Bait	WBGene00003912	pal-1	Target	Q95QI7	daf-3	P34766	pal-1	wormbase
WBInteraction000505266	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000899	daf-3	Bait	WBGene00004949	sox-2	Target	Q95QI7	daf-3	Q21305	sox-2	wormbase
WBInteraction000505267	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000899	daf-3	Bait	WBGene00006580	tlp-1	Target	Q95QI7	daf-3	G5EGF8	tlp-1	wormbase
WBInteraction000505268	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000899	daf-3	Bait	WBGene00018833	ztf-1	Target	Q95QI7	daf-3	P34450	ztf-1	wormbase
WBInteraction000505269	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000899	daf-3	Bait	WBGene00009772	ztf-7	Target	Q95QI7	daf-3	Q20448	ztf-7	wormbase
WBInteraction000505280	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001210	egl-46	Bait	WBGene00003622	nhr-23	Target	G5EFY4	egl-46	P41828	nhr-23	wormbase
WBInteraction000505281	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001244	elo-6	Bait	WBGene00003701	nhr-111	Target	Q20303	elo-6	O45521	nhr-111	wormbase
WBInteraction000505283	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001252	elt-4	Bait	WBGene00000459	ceh-38	Target	Q8MQA7	elt-4	Q19720	ceh-38	wormbase
WBInteraction000505284	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001252	elt-4	Bait	WBGene00000463	ceh-43	Target	Q8MQA7	elt-4	Q18273	ceh-43	wormbase
WBInteraction000505285	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001252	elt-4	Bait	WBGene00007776	dmd-4	Target	Q8MQA7	elt-4	Q18248	dmd-4	wormbase
WBInteraction000505286	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001252	elt-4	Bait	WBGene00017326	dmd-5	Target	Q8MQA7	elt-4	Q19291	dmd-5	wormbase
WBInteraction000505287	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001252	elt-4	Bait	WBGene00001186	egl-18	Target	Q8MQA7	elt-4	G5EGF4	egl-18	wormbase
WBInteraction000505288	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001252	elt-4	Bait	WBGene00001250	elt-2	Target	Q8MQA7	elt-4	Q10655	elt-2	wormbase
WBInteraction000505289	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001252	elt-4	Bait	WBGene00001251	elt-3	Target	Q8MQA7	elt-4	B7WN96	elt-3	wormbase
WBInteraction000505290	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001252	elt-4	Bait	WBGene00001253	elt-6	Target	Q8MQA7	elt-4	G5EGN3	elt-6	wormbase
WBInteraction000505291	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001252	elt-4	Bait	WBGene00003102	mab-5	Target	Q8MQA7	elt-4	P10038	mab-5	wormbase
WBInteraction000505292	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001252	elt-4	Bait	WBGene00003377	mls-2	Target	Q8MQA7	elt-4	Q18533	mls-2	wormbase
WBInteraction000505293	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001252	elt-4	Bait	WBGene00003912	pal-1	Target	Q8MQA7	elt-4	P34766	pal-1	wormbase
WBInteraction000505296	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001259	emb-5	Bait	WBGene00003854	odr-7	Target	P34703	emb-5	P41933	odr-7	wormbase
WBInteraction000505297	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001259	emb-5	Bait	WBGene00018833	ztf-1	Target	P34703	emb-5	P34450	ztf-1	wormbase
WBInteraction000505299	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00017687	ets-4	Bait	WBGene00003701	nhr-111	Target	A8WFJ9	ets-4	O45521	nhr-111	wormbase
WBInteraction000505300	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00017687	ets-4	Bait	WBGene00006545	tbx-8	Target	A8WFJ9	ets-4	Q22292	tbx-8	wormbase
WBInteraction000505301	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00017687	ets-4	Bait	WBGene00003037	lin-54	Target	A8WFJ9	ets-4	Q95QD7	lin-54	wormbase
WBInteraction000505326	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001397	fat-5	Bait	WBGene00001208	egl-44	Target	G5ED44	fat-5	Q19849	egl-44	wormbase
WBInteraction000505327	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001397	fat-5	Bait	WBGene00003628	nhr-35	Target	G5ED44	fat-5	Q17771	nhr-35	wormbase
WBInteraction000505328	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001397	fat-5	Bait	WBGene00006545	tbx-8	Target	G5ED44	fat-5	Q22292	tbx-8	wormbase
WBInteraction000505329	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001397	fat-5	Bait	WBGene00008762	ztf-2	Target	G5ED44	fat-5	Q19418	ztf-2	wormbase
WBInteraction000505331	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001578	ges-1	Bait	WBGene00001250	elt-2	Target	Q04457	ges-1	Q10655	elt-2	wormbase
WBInteraction000505332	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001578	ges-1	Bait	WBGene00001251	elt-3	Target	Q04457	ges-1	B7WN96	elt-3	wormbase
WBInteraction000505334	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001578	ges-1	Bait	WBGene00003613	nhr-14	Target	Q04457	ges-1	O02151	nhr-14	wormbase
WBInteraction000505335	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001578	ges-1	Bait	WBGene00003854	odr-7	Target	Q04457	ges-1	P41933	odr-7	wormbase
WBInteraction000505336	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001578	ges-1	Bait	WBGene00018833	ztf-1	Target	Q04457	ges-1	P34450	ztf-1	wormbase
WBInteraction000505337	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001578	ges-1	Bait	WBGene00003037	lin-54	Target	Q04457	ges-1	Q95QD7	lin-54	wormbase
WBInteraction000505338	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001952	hlh-6	Bait	WBGene00000912	daf-16	Target	Q10007	hlh-6	O16850	daf-16	wormbase
WBInteraction000505339	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001952	hlh-6	Bait	WBGene00003012	lin-26	Target	Q10007	hlh-6	Q27355	lin-26	wormbase
WBInteraction000505340	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001952	hlh-6	Bait	WBGene00003633	nhr-43	Target	Q10007	hlh-6	Q18299	nhr-43	wormbase
WBInteraction000505341	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00001952	hlh-6	Bait	WBGene00003854	odr-7	Target	Q10007	hlh-6	P41933	odr-7	wormbase
WBInteraction000505343	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00002128	inx-6	Bait	WBGene00016600	ets-5	Target	Q9U3N4	inx-6	Q18579	ets-5	wormbase
WBInteraction000505344	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00002128	inx-6	Bait	WBGene00007984	irx-1	Target	Q9U3N4	inx-6	Q93348	irx-1	wormbase
WBInteraction000505345	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00002128	inx-6	Bait	WBGene00003012	lin-26	Target	Q9U3N4	inx-6	Q27355	lin-26	wormbase
WBInteraction000505346	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00002128	inx-6	Bait	WBGene00003701	nhr-111	Target	Q9U3N4	inx-6	O45521	nhr-111	wormbase
WBInteraction000505347	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00002128	inx-6	Bait	WBGene00003622	nhr-23	Target	Q9U3N4	inx-6	P41828	nhr-23	wormbase
WBInteraction000505348	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00002128	inx-6	Bait	WBGene00003912	pal-1	Target	Q9U3N4	inx-6	P34766	pal-1	wormbase
WBInteraction000505349	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00002128	inx-6	Bait	WBGene00018833	ztf-1	Target	Q9U3N4	inx-6	P34450	ztf-1	wormbase
WBInteraction000505350	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00002128	inx-6	Bait	WBGene00008762	ztf-2	Target	Q9U3N4	inx-6	Q19418	ztf-2	wormbase
WBInteraction000505351	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00002128	inx-6	Bait	WBGene00003037	lin-54	Target	Q9U3N4	inx-6	Q95QD7	lin-54	wormbase
WBInteraction000505362	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003015	lin-29	Bait	WBGene00003912	pal-1	Target	G5EGB2	lin-29	P34766	pal-1	wormbase
WBInteraction000505364	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003033	lin-48	Bait	WBGene00001208	egl-44	Target	G5EDU6	lin-48	Q19849	egl-44	wormbase
WBInteraction000505366	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003033	lin-48	Bait	WBGene00003012	lin-26	Target	G5EDU6	lin-48	Q27355	lin-26	wormbase
WBInteraction000505368	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003033	lin-48	Bait	WBGene00018833	ztf-1	Target	G5EDU6	lin-48	P34450	ztf-1	wormbase
WBInteraction000505369	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003033	lin-48	Bait	WBGene00012317	ztf-6	Target	G5EDU6	lin-48	G5EC77	ztf-6	wormbase
WBInteraction000505371	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003048	lit-1	Bait	WBGene00003912	pal-1	Target	Q9U9Y8	lit-1	P34766	pal-1	wormbase
WBInteraction000505372	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003048	lit-1	Bait	WBGene00003937	pax-1	Target	Q9U9Y8	lit-1	Q21272	pax-1	wormbase
WBInteraction000505383	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003114	mab-23	Bait	WBGene00017687	ets-4	Target	G5ECK3	mab-23	A8WFJ9	ets-4	wormbase
WBInteraction000505384	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003114	mab-23	Bait	WBGene00001377	eya-1	Target	G5ECK3	mab-23	O17670	eya-1	wormbase
WBInteraction000505385	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003114	mab-23	Bait	WBGene00003701	nhr-111	Target	G5ECK3	mab-23	O45521	nhr-111	wormbase
WBInteraction000505386	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003114	mab-23	Bait	WBGene00003912	pal-1	Target	G5ECK3	mab-23	P34766	pal-1	wormbase
WBInteraction000505387	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003114	mab-23	Bait	WBGene00018833	ztf-1	Target	G5ECK3	mab-23	P34450	ztf-1	wormbase
WBInteraction000505388	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003163	mdl-1	Bait	WBGene00000899	daf-3	Target	G5EG44	mdl-1	Q95QI7	daf-3	wormbase
WBInteraction000505389	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003163	mdl-1	Bait	WBGene00003230	mex-5	Target	G5EG44	mdl-1	Q9XUB2	mex-5	wormbase
WBInteraction000505393	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003624	nhr-28	Bait	WBGene00001208	egl-44	Target	Q17905	nhr-28	Q19849	egl-44	wormbase
WBInteraction000505394	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003624	nhr-28	Bait	WBGene00018833	ztf-1	Target	Q17905	nhr-28	P34450	ztf-1	wormbase
WBInteraction000505398	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003658	nhr-68	Bait	WBGene00000904	daf-8	Target	Q9XXM8	nhr-68	Q21733	daf-8	wormbase
WBInteraction000505400	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003658	nhr-68	Bait	WBGene00003854	odr-7	Target	Q9XXM8	nhr-68	P41933	odr-7	wormbase
WBInteraction000505401	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003658	nhr-68	Bait	WBGene00019327	zip-2	Target	Q9XXM8	nhr-68	Q21148	zip-2	wormbase
WBInteraction000505402	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003658	nhr-68	Bait	WBGene00003037	lin-54	Target	Q9XXM8	nhr-68	Q95QD7	lin-54	wormbase
WBInteraction000505403	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003968	peb-1	Bait	WBGene00001249	elt-1	Target	A0A5S9MMK5	peb-1	P28515	elt-1	wormbase
WBInteraction000505404	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003968	peb-1	Bait	WBGene00001250	elt-2	Target	A0A5S9MMK5	peb-1	Q10655	elt-2	wormbase
WBInteraction000505405	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003968	peb-1	Bait	WBGene00001251	elt-3	Target	A0A5S9MMK5	peb-1	B7WN96	elt-3	wormbase
WBInteraction000505406	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00003968	peb-1	Bait	WBGene00003601	nhr-2	Target	A0A5S9MMK5	peb-1	Q10902	nhr-2	wormbase
WBInteraction000505408	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00004077	pop-1	Bait	WBGene00003102	mab-5	Target	Q10666	pop-1	P10038	mab-5	wormbase
WBInteraction000505409	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00004077	pop-1	Bait	WBGene00004804	skn-1	Target	Q10666	pop-1	P34707	skn-1	wormbase
WBInteraction000505412	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00004078	pos-1	Bait	WBGene00004096	pqm-1	Target	G5EF15	pos-1	G5EFY7	pqm-1	wormbase
WBInteraction000505413	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00004078	pos-1	Bait	WBGene00018833	ztf-1	Target	G5EF15	pos-1	P34450	ztf-1	wormbase
WBInteraction000505414	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00004078	pos-1	Bait	WBGene00003037	lin-54	Target	G5EF15	pos-1	Q95QD7	lin-54	wormbase
WBInteraction000505428	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00011069	ceh-62	Bait	WBGene00003854	odr-7	Target	Q09602	ceh-62	P41933	odr-7	wormbase
WBInteraction000505429	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00011069	ceh-62	Bait	WBGene00004024	php-3	Target	Q09602	ceh-62	Q9XW88	php-3	wormbase
WBInteraction000505430	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00011069	ceh-62	Bait	WBGene00018833	ztf-1	Target	Q09602	ceh-62	P34450	ztf-1	wormbase
WBInteraction000505431	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00004393	rnt-1	Bait	WBGene00006604	tra-1	Target	G5EFQ5	rnt-1	P34708	tra-1	wormbase
WBInteraction000505435	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00004857	sma-3	Bait	WBGene00007776	dmd-4	Target	P45896	sma-3	Q18248	dmd-4	wormbase
WBInteraction000505438	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00004857	sma-3	Bait	WBGene00003701	nhr-111	Target	P45896	sma-3	O45521	nhr-111	wormbase
WBInteraction000505439	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00004857	sma-3	Bait	WBGene00003845	odd-1	Target	P45896	sma-3	P41995	odd-1	wormbase
WBInteraction000505440	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00004857	sma-3	Bait	WBGene00004949	sox-2	Target	P45896	sma-3	Q21305	sox-2	wormbase
WBInteraction000505441	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00004857	sma-3	Bait	WBGene00018833	ztf-1	Target	P45896	sma-3	P34450	ztf-1	wormbase
WBInteraction000505457	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00011963	T23G5.3	Bait	WBGene00000793	crh-1	Target	Q03607	T23G5.3	Q9U2I0	crh-1	wormbase
WBInteraction000505458	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00011963	T23G5.3	Bait	WBGene00000904	daf-8	Target	Q03607	T23G5.3	Q21733	daf-8	wormbase
WBInteraction000505460	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00011963	T23G5.3	Bait	WBGene00003087	lsy-2	Target	Q03607	T23G5.3	Q9N5S3	lsy-2	wormbase
WBInteraction000505462	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00006604	tra-1	Bait	WBGene00020368	ast-1	Target	P34708	tra-1	Q22355	ast-1	wormbase
WBInteraction000505464	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00006604	tra-1	Bait	WBGene00016600	ets-5	Target	P34708	tra-1	Q18579	ets-5	wormbase
WBInteraction000505465	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00006604	tra-1	Bait	WBGene00003012	lin-26	Target	P34708	tra-1	Q27355	lin-26	wormbase
