From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
WBGene00013284	G5EDP2	reviewed	NLTP2_CAEEL	Non-specific lipid-transfer protein-like 2 (NSL-TP2) (EC 2.3.1.176) (3-keto-acyl-CoA thiolase) (Abnormal dauer formation protein 22) (Propanoyl-CoA C-acyltransferase) (Protein P-44)	daf-22 Y57A10C.6	Caenorhabditis elegans	412
WBGene00006701	P52478	reviewed	UBC1_CAEEL	Ubiquitin-conjugating enzyme E2 1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 1) (Ubiquitin carrier protein 1) (Ubiquitin-protein ligase 1)	ubc-1 C35B1.1	Caenorhabditis elegans	192
WBGene00017981	O16299	reviewed	FIGL1_CAEEL	Fidgetin-like protein 1 (EC 3.6.4.-) (Fidgetin homolog)	figl-1 F32D1.1	Caenorhabditis elegans	594
WBGene00001746	Q9U2Q9	reviewed	GSK3_CAEEL	Glycogen synthase kinase-3 (EC 2.7.11.26)	gsk-3 sgg-1 Y18D10A.5	Caenorhabditis elegans	362
WBGene00022042	Q86S66	reviewed	NACA_CAEEL	Nascent polypeptide-associated complex subunit alpha (NAC-alpha) (Alpha-NAC) (Inhibitor of cell death 2)	icd-2 Y65B4BR.5	Caenorhabditis elegans	195
WBGene00020142	Q95ZQ4	reviewed	AAPK2_CAEEL	5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1)	aak-2 T01C8.1	Caenorhabditis elegans	626
WBGene00019800	P34496	reviewed	MTSS1_CAEEL	Single-stranded DNA-binding protein, mitochondrial	mtss-1 PAR2.1	Caenorhabditis elegans	170
WBGene00006843	Q10658	reviewed	UN119_CAEEL	Protein unc-119 (Uncoordinated protein 119)	unc-119 M142.1	Caenorhabditis elegans	219
WBGene00003657	Q9XVV3	reviewed	NHR67_CAEEL	Nuclear hormone receptor family member nhr-67	nhr-67 C08F8.8	Caenorhabditis elegans	416
WBGene00003209	Q94420	reviewed	MEL26_CAEEL	Protein maternal effect lethal 26	mel-26 ZK858.4	Caenorhabditis elegans	395
WBGene00011892	Q22640	reviewed	ERH_CAEEL	Enhancer of rudimentary homolog	erh-1 T21C9.4	Caenorhabditis elegans	103
WBGene00014112	Q23646	reviewed	EIF1A_CAEEL	Probable RNA-binding protein EIF1AD (Eukaryotic translation initiation factor 1A domain-containing protein)	ZK856.11	Caenorhabditis elegans	175
WBGene00001233	Q9XUP3	reviewed	EIF3K_CAEEL	Eukaryotic translation initiation factor 3 subunit K (eIF3k) (eIF-3 p25)	eif-3.K pgn-69 T16G1.11	Caenorhabditis elegans	240
WBGene00005022	Q19905	reviewed	UGDH_CAEEL	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22) (Squashed vulva protein 4)	sqv-4 F29F11.1	Caenorhabditis elegans	481
WBGene00008379	Q18953	reviewed	SPCS_CAEEL	O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Selenocysteine synthase) (Sec synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase) (SepSecS) (UGA suppressor tRNA-associated protein homolog)	secs-1 D1054.13	Caenorhabditis elegans	481
WBGene00003701	O45521	reviewed	NH111_CAEEL	Nuclear hormone receptor family member nhr-111	nhr-111 F44G3.9	Caenorhabditis elegans	311
WBGene00001005	Q22799	reviewed	DYL1_CAEEL	Dynein light chain 1, cytoplasmic	dlc-1 T26A5.9	Caenorhabditis elegans	89
WBGene00000249	G5EFA2	reviewed	BIR1_CAEEL	Chromosomal passenger complex protein bir-1 (Baculoviral IAP repeat-containing protein bir-1)	bir-1 T27F2.3	Caenorhabditis elegans	155
WBGene00013209	Q9XWH0	reviewed	BUB3_CAEEL	Mitotic checkpoint protein bub-3 (Budding uninhibited by benzimidazole 3)	bub-3 Y54G9A.6	Caenorhabditis elegans	343
WBGene00018703	Q20678	reviewed	EXOC1_CAEEL	Exocyst complex component 1 (Exocyst complex component Sec3)	sec-3 F52E4.7	Caenorhabditis elegans	848
WBGene00000403	G5ED46	reviewed	CASY1_CAEEL	Calsyntenin-1 [Cleaved into: Secreted calsyntenin-1]	casy-1 B0034.3	Caenorhabditis elegans	984
WBGene00007059	G5EFV8	reviewed	VPS52_CAEEL	Vacuolar protein sorting-associated protein 52 homolog	vps-52 tag-197 F08C6.3	Caenorhabditis elegans	702
WBGene00001749	P10299	reviewed	GSTP1_CAEEL	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi)	gst-1 R107.7	Caenorhabditis elegans	208
WBGene00002249	P34629	reviewed	AMPL_CAEEL	Leucine aminopeptidase 1 (EC 3.4.11.1)	lap-1 ZK353.6	Caenorhabditis elegans	491
WBGene00001377	O17670	reviewed	EYA1_CAEEL	Eyes absent homolog 1 (EC 3.1.3.48)	eya-1 C49A1.4	Caenorhabditis elegans	503
WBGene00006575	Q86DA5	reviewed	SARM1_CAEEL	NAD(+) hydrolase tir-1 (NADase tir-1) (EC 3.2.2.6) (Neuronal symmetry protein 2) (SARM1 homolog) (Sterile alpha and TIR motif-containing protein tir-1)	tir-1 nsy-2 F13B10.1	Caenorhabditis elegans	981
WBGene00004055	Q17446	reviewed	PMK1_CAEEL	Mitogen-activated protein kinase pmk-1 (EC 2.7.11.24) (Stress-activated protein kinase pmk-1) (p38 MAP kinase 1)	pmk-1 B0218.3	Caenorhabditis elegans	377
WBGene00002177	G5EDT6	reviewed	JKK1_CAEEL	Dual specificity mitogen-activated protein kinase kinase jkk-1 (MAP kinase kinase jkk-1) (EC 2.7.12.2) (JNK-1 activator kinase) (JNK kinase)	jkk-1 F35C8.3	Caenorhabditis elegans	435
WBGene00013405	Q9XWG3	reviewed	TYDP2_CAEEL	5'-tyrosyl-DNA phosphodiesterase (5'-Tyr-DNA phosphodiesterase) (EC 3.1.4.-)	Y63D3A.4	Caenorhabditis elegans	362
WBGene00015487	Q11189	reviewed	RT17_CAEEL	Small ribosomal subunit protein uS17m (28S ribosomal protein S17, mitochondrial) (MRP-S17) (S17mt)	mrps-17 C05D11.10	Caenorhabditis elegans	160
WBGene00002266	Q09581	reviewed	LEC3_CAEEL	32 kDa beta-galactoside-binding lectin lec-3 (32 kDa GBP)	lec-3 ZK892.1	Caenorhabditis elegans	297
WBGene00012478	Q9XW13	reviewed	MXT_CAEEL	Eukaryotic translation initiation factor 4E-binding protein Mextli homolog	mxt-1 mxt Y18D10A.8	Caenorhabditis elegans	507
WBGene00009483	Q09318	reviewed	YQY2_CAEEL	Uncharacterized protein F36G3.2	F36G3.2	Caenorhabditis elegans	313
WBGene00006870	G5EDS1	reviewed	VAB3_CAEEL	Paired box protein 6 homolog (Homeobox and paired domain-containing protein vab-3) (Protein male abnormal 18) (Variable abnormal morphology protein 3)	vab-3 mab-18 pax-6 F14F3.1	Caenorhabditis elegans	455
WBGene00016981	Q09289	reviewed	ADRM1_CAEEL	Proteasomal ubiquitin receptor ADRM1 homolog (Proteasome non-ATPase regulatory particle-like protein 13)	rpn-13 C56G2.7	Caenorhabditis elegans	374
WBGene00001227	P30642	reviewed	EIF3D_CAEEL	Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7)	eif-3.D R08D7.3	Caenorhabditis elegans	570
WBGene00001513	O16519	reviewed	GAD1_CAEEL	Gastrulation defective protein 1	gad-1 T05H4.14	Caenorhabditis elegans	620
WBGene00018371	P34420	reviewed	ESS2_CAEEL	Splicing factor ESS-2 (ES2 similar protein 2)	ess-2 F42H10.7	Caenorhabditis elegans	531
WBGene00015310	P90740	reviewed	FAN1_CAEEL	Fanconi-associated nuclease 1 homolog (EC 3.1.4.1)	fan-1 C01G5.8	Caenorhabditis elegans	865
WBGene00003639	O45666	reviewed	NHR49_CAEEL	Nuclear hormone receptor family member nhr-49	nhr-49 K10C3.6	Caenorhabditis elegans	501
WBGene00003612	Q9N4Q7	reviewed	NHR13_CAEEL	Nuclear hormone receptor family member nhr-13	nhr-13 Y5H2B.2	Caenorhabditis elegans	425
WBGene00006697	P90978	reviewed	U2AF2_CAEEL	Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (U2AF65) (U2 snRNP auxiliary factor large subunit)	uaf-1 Y92C3B.2	Caenorhabditis elegans	496
WBGene00001018	Q09248	reviewed	DCTN2_CAEEL	Probable dynactin subunit 2	dnc-2 C28H8.12	Caenorhabditis elegans	331
WBGene00002264	P36573	reviewed	LEC1_CAEEL	32 kDa beta-galactoside-binding lectin (32 kDa GBP)	lec-1 W09H1.6	Caenorhabditis elegans	279
WBGene00004321	P53806	reviewed	RCANL_CAEEL	Calcipressin-like protein (Down syndrome candidate region 1-like protein) (Regulator of calcineurin)	rcan-1 dscr1l rcn-1 F54E7.7	Caenorhabditis elegans	207
WBGene00009559	O45503	reviewed	MTX1_CAEEL	Metaxin-1 homolog (Mitochondrial outer membrane import complex protein 1)	mtx-1 F39B2.11	Caenorhabditis elegans	312
WBGene00003921	Q9NAN2	reviewed	PAR6_CAEEL	Partitioning defective protein 6	par-6 T26E3.3	Caenorhabditis elegans	309
WBGene00001843	Q9Y041	reviewed	HGD_CAEEL	Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)	hgo-1 W06D4.1	Caenorhabditis elegans	437
WBGene00000236	O44739	reviewed	BAG1_CAEEL	BAG family molecular chaperone regulator 1	bag-1 F57B10.11	Caenorhabditis elegans	210
WBGene00011237	Q21924	reviewed	GPKOW_CAEEL	G-patch domain and KOW motifs-containing protein homolog 1 (Protein mos-2 homolog)	gkow-1 mos-2 R11A8.2	Caenorhabditis elegans	462
WBGene00006446	O17850	reviewed	ATX3_CAEEL	Ataxin-3 homolog (EC 3.4.19.12) (Machado-Joseph disease-like protein)	atx-3 F28F8.6	Caenorhabditis elegans	317
WBGene00017166	P46563	reviewed	ALF2_CAEEL	Fructose-bisphosphate aldolase 2 (EC 4.1.2.13) (Aldolase CE-2) (CE2)	aldo-2 F01F1.12	Caenorhabditis elegans	366
WBGene00000080	Q22618	reviewed	DSRAD_CAEEL	Double-stranded RNA-specific adenosine deaminase adr-2 (DRADA) (EC 3.5.4.37)	adr-2 T20H4.4	Caenorhabditis elegans	495
WBGene00016803	P34371	reviewed	BAT42_CAEEL	BTB and MATH domain-containing protein 42	bath-42 C50C3.8	Caenorhabditis elegans	410
WBGene00008402	Q18964	reviewed	WDFY2_CAEEL	WD repeat and FYVE domain-containing protein 2	wdfy-2 D2013.2	Caenorhabditis elegans	415
WBGene00007561	Q17958	reviewed	PDC10_CAEEL	Programmed cell death protein 10 homolog (Cerebral cavernous malformation protein 3)	ccm-3 C14A4.11	Caenorhabditis elegans	215
WBGene00016678	Q09506	reviewed	TX1B3_CAEEL	Tax1-binding protein 3 homolog	txbp-3 C45G9.7	Caenorhabditis elegans	124
WBGene00018370	P34419	reviewed	YLZ6_CAEEL	Putative esterase F42H10.6 (EC 3.1.2.-)	F42H10.6	Caenorhabditis elegans	169
WBGene00008041	Q03598	reviewed	UFC1_CAEEL	Ubiquitin-fold modifier-conjugating enzyme 1 (Ufm1-conjugating enzyme 1)	ufc-1 C40H1.6	Caenorhabditis elegans	162
WBGene00021097	O02108	reviewed	CDC37_CAEEL	Probable Hsp90 co-chaperone cdc37 (Cell division cycle-related protein 37) (Hsp90 chaperone protein kinase-targeting subunit)	cdc-37 W08F4.8	Caenorhabditis elegans	370
WBGene00003659	P91829	reviewed	NHR69_CAEEL	Nuclear hormone receptor family member nhr-69	nhr-69 T23H4.2	Caenorhabditis elegans	373
WBGene00017244	Q19202	reviewed	APY1_CAEEL	Apyrase apy-1 (EC 3.6.1.6) (Uridine-diphosphatase) (UDPase)	apy-1 F08C6.6	Caenorhabditis elegans	355
WBGene00016201	Q09474	reviewed	T23O_CAEEL	Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)	tdo-2 C28H8.11	Caenorhabditis elegans	403
WBGene00000280	Q18932	reviewed	CAH2_CAEEL	Putative carbonic anhydrase-like protein 2	cah-2 D1022.8	Caenorhabditis elegans	337
WBGene00015010	O02058	reviewed	PTPS_CAEEL	Putative 6-pyruvoyl tetrahydrobiopterin synthase (PTP synthase) (PTPS) (EC 4.2.3.12)	ptps-1 B0041.6	Caenorhabditis elegans	140
WBGene00003123	P49029	reviewed	MGN_CAEEL	Protein mago nashi homolog (Ce-mago)	mag-1 R09B3.5	Caenorhabditis elegans	152
WBGene00013725	Q9XWS0	reviewed	SKA1_CAEEL	Spindle and kinetochore-associated protein 1	ska-1 Y106G6H.15	Caenorhabditis elegans	243
WBGene00019076	P91353	reviewed	RM24_CAEEL	Large ribosomal subunit protein uL24m (39S ribosomal protein L24, mitochondrial) (L24mt) (MRP-L24)	mrpl-24 F59A3.3	Caenorhabditis elegans	278
WBGene00019125	O01901	reviewed	WASC3_CAEEL	WASH complex subunit homolog 3 (Daf-16-dependent longevity protein 1)	ddl-1 F59E12.10	Caenorhabditis elegans	189
WBGene00008639	Q09305	reviewed	AAR2_CAEEL	Protein AAR2 homolog (AAR2 splicing factor homolog)	F10B5.2	Caenorhabditis elegans	357
WBGene00011344	P34692	reviewed	PHAF1_CAEEL	PHAF1 protein T01G9.2	T01G9.2	Caenorhabditis elegans	422
WBGene00014019	P34657	reviewed	YOTB_CAEEL	Uncharacterized protein ZK632.12	ZK632.12	Caenorhabditis elegans	266
WBGene00002632	O61967	reviewed	LAP1_CAEEL	Protein lap1 (Lethal protein 413)	let-413 F26D11.11	Caenorhabditis elegans	699
WBGene00000566	Q9XX14	reviewed	CNT2_CAEEL	Arf-GAP with ANK repeat and PH domain-containing protein cnt-2 (Centaurin-gamma-like protein cnt-2)	cnt-2 Y39A1A.15	Caenorhabditis elegans	1107
