From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q09306	Q09306	reviewed	TUB1_CAEEL	Tubby protein homolog 1	tub-1 F10B5.4	Caenorhabditis elegans	426
P34579	P34579	reviewed	UNC47_CAEEL	Vesicular GABA transporter (Uncoordinated protein 47) (Protein unc-47)	unc-47 T20G5.6	Caenorhabditis elegans	486
P34663	P34663	reviewed	HM23_CAEEL	Homeobox protein ceh-23	ceh-23 ZK652.5	Caenorhabditis elegans	305
Q22830	Q22830	reviewed	OSM1_CAEEL	Intraflagellar transport protein osm-1 (Osmotic avoidance abnormal protein 1)	osm-1 T27B1.1	Caenorhabditis elegans	1737
Q19640	Q19640	reviewed	BBS2_CAEEL	Bardet-Biedl syndrome 2 protein homolog	bbs-2 F20D12.3	Caenorhabditis elegans	714
Q19076	Q19076	reviewed	PHO1_CAEEL	Intestinal acid phosphatase (EC 3.1.3.2)	pho-1 EGAP2.3	Caenorhabditis elegans	449
Q17381	Q17381	reviewed	PHA4_CAEEL	Defective pharyngeal development protein 4 (Ce-fkh-1) (Fork head-HNF-3 homolog)	pha-4 fkh-1 F38A6.1	Caenorhabditis elegans	506
Q9Y194	Q9Y194	reviewed	SGPL_CAEEL	Sphingosine-1-phosphate lyase (S1PL) (SP-lyase) (SPL) (EC 4.1.2.27) (Sphingosine-1-phosphate aldolase)	spl-1 Y66H1B.4	Caenorhabditis elegans	552
Q22555	Q22555	reviewed	NHR44_CAEEL	Nuclear hormone receptor family member nhr-44	nhr-44 T19A5.4	Caenorhabditis elegans	428
H2L0N8	H2L0N8	reviewed	ARL13_CAEEL	ADP-ribosylation factor-like protein 13B (ADP-ribosylation factor-like protein 13)	arl-13 Y37E3.5	Caenorhabditis elegans	370
Q19005	Q19005	reviewed	YYT6_CAEEL	Uncharacterized protein D2096.6	D2096.6	Caenorhabditis elegans	171
Q9NL87	V6CLP5	reviewed	KETN1_CAEEL	Kettin homolog	ketn-1 let-330 MH44 pqn-43 F54E2.3	Caenorhabditis elegans	4963
Q20411	Q20411	reviewed	SRA11_CAEEL	Serpentine receptor class alpha-11 (Protein sra-11)	sra-11 F44F4.13	Caenorhabditis elegans	334
Q20303	Q20303	reviewed	ELO6_CAEEL	Long chain fatty acid elongase 6 (ELO-6) (EC 2.3.1.-) (3-keto acyl-CoA synthase elo-6) (Elongation of long chain fatty acids protein 6) (Long-chain 3-oxoacyl-CoA synthase 6) (CEELO6) (Monomethyl branched-chain fatty acid elongase 6) (mmBCFA elongase 6)	elo-6 F41H10.8	Caenorhabditis elegans	274
Q10014	Q10014	reviewed	YR01_CAEEL	Uncharacterized protein T25E4.1	T25E4.1	Caenorhabditis elegans	231
Q9NEZ7	Q9NEZ7	reviewed	BBS1_CAEEL	Bardet-Biedl syndrome 1 protein homolog	bbs-1 Y105E8A.5	Caenorhabditis elegans	576
P17512	P17512	reviewed	MT2_CAEEL	Metallothionein-2 (MT-2) (MT-Ce) (Metallothionein-II) (MT-II) (Metallothionein-like protein)	mtl-2 met-2 T08G5.10	Caenorhabditis elegans	63
P41936	P41936	reviewed	HM22_CAEEL	Homeobox protein ceh-22	ceh-22 F29F11.5	Caenorhabditis elegans	346
Q21626	Q21626	reviewed	BBS5_CAEEL	Bardet-Biedl syndrome 5 protein homolog	bbs-5 R01H10.6	Caenorhabditis elegans	361
Q04457	Q04457	reviewed	EST1_CAEEL	Gut esterase 1 (EC 3.1.1.1) (Non-specific carboxylesterase)	ges-1 R12A1.4	Caenorhabditis elegans	562
Q21361	Q21361	reviewed	NFIL3_CAEEL	Transcription factor atf-2 (cAMP-dependent transcription factor atf-2)	atf-2 K08F8.2	Caenorhabditis elegans	401
O17583	O17583	reviewed	LIN10_CAEEL	Protein lin-10 (Abnormal cell lineage protein 10)	lin-10 C09H6.2	Caenorhabditis elegans	982
P06581	P06581	reviewed	HSP16_CAEEL	Heat shock protein Hsp-16.41	hsp-16.41 hsp16-41 Y46H3A.2	Caenorhabditis elegans	143
Q9XTR1	Q9XTR1	reviewed	CDK4_CAEEL	Cyclin-dependent kinase 4 homolog (CDK4/6) (EC 2.7.11.22) (Cell division protein kinase 4)	cdk-4 F18H3.5	Caenorhabditis elegans	406
G5ECJ5	G5ECJ5	reviewed	BIR2_CAEEL	Baculoviral IAP repeat-containing protein bir-2	bir-2 C50B8.2	Caenorhabditis elegans	308
Q9Y041	Q9Y041	reviewed	HGD_CAEEL	Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)	hgo-1 W06D4.1	Caenorhabditis elegans	437
Q03565	Q03565	reviewed	BAF1_CAEEL	Barrier-to-autointegration factor 1	baf-1 B0464.7	Caenorhabditis elegans	89
P35603	P35603	reviewed	AP2M_CAEEL	AP-2 complex subunit mu (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (Mu2-adaptin) (Plasma membrane adaptor AP-2 50 kDa protein) (Protein dumpy-23)	dpy-23 ap50 R160.1	Caenorhabditis elegans	441
Q23088	Q23088	reviewed	UVSSA_CAEEL	UV-stimulated scaffold protein A homolog	uvs-1 ZK742.2	Caenorhabditis elegans	594
Q23312	Q23312	reviewed	RS7_CAEEL	Small ribosomal subunit protein eS7 (40S ribosomal protein S7)	rps-7 ZC434.2	Caenorhabditis elegans	194
P48154	P48154	reviewed	RS3A_CAEEL	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a)	rps-1 F56F3.5	Caenorhabditis elegans	257
Q95ZV7	Q95ZV7	reviewed	DDRB_CAEEL	Discoidin domain-containing receptor tyrosine kinase B (EC 2.7.10.1) (Discoidin domain-containing receptor B)	ddr-2 svh-4 F11D5.3	Caenorhabditis elegans	797
P34320	P34320	reviewed	YKT9_CAEEL	Uncharacterized protein C07A9.9	C07A9.9	Caenorhabditis elegans	184
Q27511	Q27511	reviewed	H2AV_CAEEL	Histone H2A.V (H2A.F/Z)	htz-1 R08C7.3	Caenorhabditis elegans	140
Q95XP9	Q95XP9	reviewed	ZWILC_CAEEL	Protein zwilch homolog	zwl-1 Y39G10AR.2	Caenorhabditis elegans	630
G5EBL3	G5EBL3	reviewed	SDC2_CAEEL	Sex determination and dosage compensation protein sdc-2	sdc-2 C35C5.1	Caenorhabditis elegans	2962
Q20681	Q20681	reviewed	BAT38_CAEEL	BTB and MATH domain-containing protein 38	bath-38 F52H3.3	Caenorhabditis elegans	387
Q17784	Q17784	reviewed	TFP11_CAEEL	Septin and tuftelin-interacting protein 1 homolog (STIP-1)	stip-1 stip C07E3.1	Caenorhabditis elegans	830
Q6BER5	Q6BER5	reviewed	NU301_CAEEL	Nucleosome-remodeling factor subunit NURF301-like	nurf-1 F26H11.2	Caenorhabditis elegans	2194
O61749	O61749	reviewed	SRP19_CAEEL	Probable signal recognition particle 19 kDa protein (SRP19)	F37F2.2	Caenorhabditis elegans	142
G5EG38	G5EG38	reviewed	CDC16_CAEEL	Cell division cycle protein 16 homolog (Abnormal embryogenesis protein 27) (Anaphase-promoting complex subunit 6) (APC6)	emb-27 apc-6 pod-6 F10B5.6	Caenorhabditis elegans	655
Q18695	Q18695	reviewed	LMBD2_CAEEL	G-protein coupled receptor-associated protein LMBRD2	C47G2.4	Caenorhabditis elegans	644
G5EG11	G5EG11	reviewed	FAT4_CAEEL	Delta(5) fatty acid desaturase fat-4 (FAT-4) (EC 1.14.19.37) (EC 1.14.19.44) (FAT-4 Delta(5) desaturase) (Fatty acid desaturase 4)	fat-4 des-5 T13F2.1	Caenorhabditis elegans	447
Q09444	Q09444	reviewed	UBH4_CAEEL	Ubiquitin carboxyl-terminal hydrolase ubh-4 (EC 3.4.19.12) (Ubiquitin C-terminal hydrolase family 1 member 4) (Ubiquitin thioesterase 4)	ubh-4 C08B11.7	Caenorhabditis elegans	321
Q21752	Q21752	reviewed	VDAC_CAEEL	Probable voltage-dependent anion-selective channel	vdac-1 R05G6.7	Caenorhabditis elegans	283
G5EF51	G5EF51	reviewed	KY_CAEEL	Lim and transglutaminase domain protein ltd-1 (Kyphoscoliosis inactive peptidase homolog ltd-1)	ltd-1 K02C4.4	Caenorhabditis elegans	723
G5EFZ3	G5EFZ3	reviewed	ASH2_CAEEL	Set1/Ash2 histone methyltransferase complex subunit ash-2	ash-2 Y17G7B.2	Caenorhabditis elegans	570
Q21006	Q21006	reviewed	NHR34_CAEEL	Nuclear hormone receptor family member nhr-34	nhr-34 F58G6.5	Caenorhabditis elegans	631
Q27493	Q27493	reviewed	RPA2_CAEEL	DNA-directed RNA polymerase I subunit RPA2 homolog (EC 2.7.7.6)	rpoa-2 F14B4.3	Caenorhabditis elegans	1127
P34447	P34447	reviewed	ZFP1_CAEEL	Zinc finger protein zfp-1 (Protein AF-10 homolog)	zfp-1 F54F2.2	Caenorhabditis elegans	867
Q20870	Q20870	reviewed	DAZ1_CAEEL	DAZ protein 1	daz-1 F56D1.7	Caenorhabditis elegans	499
P34460	P34460	reviewed	EF1B1_CAEEL	Probable elongation factor 1-beta/1-delta 1 (EF-1-beta/delta 1)	eef-1B.1 F54H12.6	Caenorhabditis elegans	213
P52819	P52819	reviewed	RL22_CAEEL	Large ribosomal subunit protein eL22 (60S ribosomal protein L22)	rpl-22 C27A2.2	Caenorhabditis elegans	130
Q09348	Q09348	reviewed	YRS4_CAEEL	Uncharacterized protein T05H10.4	T05H10.4	Caenorhabditis elegans	436
Q93560	Q93560	reviewed	BLMP1_CAEEL	B lymphocyte-induced maturation protein 1 homolog	blmp-1 F25D7.3	Caenorhabditis elegans	817
Q22190	Q7JM44	reviewed	SMA9_CAEEL	Transcription factor sma-9	sma-9 T05A10.1	Caenorhabditis elegans	2242
Q20318	Q20318	reviewed	LIN49_CAEEL	Protein lin-49 (Abnormal cell lineage protein 49)	lin-49 F42A9.2	Caenorhabditis elegans	1042
Q21898	Q21898	reviewed	VATL1_CAEEL	V-type proton ATPase 16 kDa proteolipid subunit c 1 (V-ATPase 16 kDa proteolipid subunit c 1) (Vacuolar proton pump 16 kDa proteolipid subunit c 1)	vha-1 R10E11.8	Caenorhabditis elegans	169
H2L056	H2L056	reviewed	UBXN3_CAEEL	UBX domain-containing protein 3	ubxn-3 F48A11.5	Caenorhabditis elegans	613
Q05036	Q05036	reviewed	HS110_CAEEL	Heat shock protein 110	hsp-110 C30C11.4	Caenorhabditis elegans	776
P91477	P91477	reviewed	PSB2_CAEEL	Proteasome subunit beta type-2 (Proteasome subunit beta 4)	pbs-4 T20F5.2	Caenorhabditis elegans	199
Q21633	Q21633	reviewed	UBC18_CAEEL	Ubiquitin-conjugating enzyme E2 ubc-18 (EC 2.3.2.23)	ubc-18 R01H2.6	Caenorhabditis elegans	153
Q9N598	Q9N598	reviewed	USE1_CAEEL	Vesicle transport protein USE1 (USE1-like protein)	Y110A7A.11	Caenorhabditis elegans	254
P53703	P53703	reviewed	CCHL_CAEEL	Probable holocytochrome-c-type synthase (EC 4.4.1.17) (Cytochrome c-type heme lyase) (CCHL)	cchl-1 T06D8.6	Caenorhabditis elegans	280
Q21444	Q21444	reviewed	COG2_CAEEL	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (LDLC protein homolog)	cogc-2 cgo-2 cog-2 ldlc C06G3.10	Caenorhabditis elegans	681
O01868	O01868	reviewed	RL24_CAEEL	Large ribosomal subunit protein eL24 (60S ribosomal protein L24)	rpl-24.1 D1007.12	Caenorhabditis elegans	159
P34335	P34335	reviewed	KPBA_CAEEL	Probable phosphorylase b kinase regulatory subunit alpha (Phosphorylase kinase subunit alpha)	C14B9.8	Caenorhabditis elegans	1226
O18650	O18650	reviewed	RS19_CAEEL	Small ribosomal subunit protein eS19 (40S ribosomal protein S19)	rps-19 T05F1.3	Caenorhabditis elegans	146
Q20647	Q20647	reviewed	R23A2_CAEEL	Large ribosomal subunit protein uL23B (60S ribosomal protein L23a 2)	rpl-25.2 F52B5.6	Caenorhabditis elegans	146
Q9NF14	Q9NF14	reviewed	BAT40_CAEEL	BTB and MATH domain-containing protein 40	bath-40 Y105E8B.4	Caenorhabditis elegans	402
P41988	P41988	reviewed	TCPA_CAEEL	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)	cct-1 tcp-1 T05C12.7	Caenorhabditis elegans	549
Q19967	Q19967	reviewed	EMO1_CAEEL	Protein transport protein Sec61 subunit gamma	sec-61.G emo-1 oar-1 F32D8.6	Caenorhabditis elegans	68
Q9U358	Q9U358	reviewed	ACC4_CAEEL	Acetylcholine-gated ion channel acc-4	acc-4 T27E9.9	Caenorhabditis elegans	408
O44443	O44443	reviewed	YC2BA_CAEEL	EGF-like domain-containing protein C02B10.3	C02B10.3	Caenorhabditis elegans	247
Q9XVT0	Q9XVT0	reviewed	RRS1_CAEEL	Ribosome biogenesis regulatory protein homolog	rrbs-1 C15H11.9	Caenorhabditis elegans	333
Q18164	Q18164	reviewed	DPYD_CAEEL	Dihydropyrimidine dehydrogenase [NADP(+)] (DHPDHase) (DPD) (EC 1.3.1.2) (Dihydrothymine dehydrogenase) (Dihydrouracil dehydrogenase)	dpyd-1 C25F6.3	Caenorhabditis elegans	1059
Q19673	Q19673	reviewed	TYR3_CAEEL	Putative tyrosinase-like protein tyr-3	tyr-3 F21C3.2	Caenorhabditis elegans	693
Q9N3Q4	Q9N3Q4	reviewed	ATM_CAEEL	Serine/threonine-protein kinase ATM (EC 2.7.11.1)	atm-1 Y48G1BL.2	Caenorhabditis elegans	2378
G5EEH9	G5EEH9	reviewed	NUP98_CAEEL	Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (CeNup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (CeNup96)]	npp-10 ZK328.5	Caenorhabditis elegans	1678
O44440	O44440	reviewed	YPL2_CAEEL	Protein yippee-like B0546.4	B0546.4	Caenorhabditis elegans	161
Q17438	Q17438	reviewed	DNJ1_CAEEL	DnaJ homolog subfamily B member 1	dnj-1 B0035.14	Caenorhabditis elegans	401
G5ED89	G5ED89	reviewed	DCP66_CAEEL	Transcription factor dcp-66 (Deacetylase complex protein dcp-66)	dcp-66 C26C6.5	Caenorhabditis elegans	724
P46502	P46502	reviewed	PRS6B_CAEEL	Probable 26S proteasome regulatory subunit 6B	rpt-3 F23F12.6	Caenorhabditis elegans	414
Q19877	Q19877	reviewed	RS23_CAEEL	Small ribosomal subunit protein uS12 (40S ribosomal protein S23)	rps-23 F28D1.7	Caenorhabditis elegans	143
P91136	P91136	reviewed	NOC3L_CAEEL	Nucleolar complex protein 3 homolog (NOC3 protein homolog) (NOC3-like protein) (Nucleolar complex-associated protein 3-like protein)	C37H5.5	Caenorhabditis elegans	778
C0HKD7	C0HKD7	reviewed	PEX10_CAEEL	Peroxisome biogenesis factor 10 (EC 2.3.2.27) (Peroxin-10)	prx-10 C34E10.4	Caenorhabditis elegans	314
Q20898	Q20898	reviewed	IFET1_CAEEL	Translational repressor ifet-1 (Spindle orientation defective protein 2)	ifet-1 spn-2 F56F3.1	Caenorhabditis elegans	761
Q18235	Q18235	reviewed	IFY1_CAEEL	Securin-like protein (Interactor of Fizzy protein)	ify-1 C27A2.3	Caenorhabditis elegans	244
P34331	P34331	reviewed	PLK1_CAEEL	Serine/threonine-protein kinase plk-1 (EC 2.7.11.21) (Polo-like kinase 1)	plk-1 plc1 C14B9.4	Caenorhabditis elegans	649
Q95X44	Q95X44	reviewed	VATE_CAEEL	V-type proton ATPase subunit E (V-ATPase subunit E)	vha-8 C17H12.14	Caenorhabditis elegans	226
P34254	P34254	reviewed	NNMT1_CAEEL	Nicotinamide N-methyltransferase (EC 2.1.1.1)	anmt-1 B0303.2	Caenorhabditis elegans	273
Q9BJK5	Q9BJK5	reviewed	NHR97_CAEEL	Nuclear hormone receptor family member nhr-97	nhr-97 H27C11.1	Caenorhabditis elegans	439
Q23045	Q23045	reviewed	EGL13_CAEEL	Transcription factor egl-13 (Protein egg laying defective 13)	egl-13 cog-2 T22B7.1	Caenorhabditis elegans	470
O16216	O16216	reviewed	C19L1_CAEEL	CWF19-like protein 1 homolog	F17A9.2	Caenorhabditis elegans	533
Q18616	Q18616	reviewed	SMCL1_CAEEL	Structural maintenance of chromosomes-like protein 1	smcl-1 C44C10.4	Caenorhabditis elegans	537
O01258	O01258	reviewed	VPS26_CAEEL	Vacuolar protein sorting-associated protein 26 (VPS26 protein homolog)	vps-26 T20D3.7	Caenorhabditis elegans	356
B3CKG1	B3CKG1	reviewed	URM1_CAEEL	Ubiquitin-related modifier 1 homolog	urm-1 F43D9.6	Caenorhabditis elegans	100
Q21743	Q21743	reviewed	GST9_CAEEL	Probable glutathione S-transferase 9 (EC 2.5.1.18) (GST class-sigma)	gst-9 R05F9.5	Caenorhabditis elegans	206
P10567	P10567	reviewed	MYSP_CAEEL	Paramyosin (Uncoordinated protein 15)	unc-15 F07A5.7	Caenorhabditis elegans	872
Q20585	Q20585	reviewed	PSMD6_CAEEL	26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit rpn-7)	rpn-7 F49C12.8	Caenorhabditis elegans	410
O16887	O16887	reviewed	YCTG2_CAEEL	Uncharacterized protein C29G2.6	C29G2.6	Caenorhabditis elegans	202
P29691	P29691	reviewed	EF2_CAEEL	Elongation factor 2 (EF-2) (EC 3.6.5.-)	eef-2 F25H5.4	Caenorhabditis elegans	852
Q23121	Q23121	reviewed	RSP1_CAEEL	Probable splicing factor, arginine/serine-rich 1 (CeSRp75) (RNA-binding protein srp-5)	rsp-1 srp-5 W02B12.3	Caenorhabditis elegans	312
Q17958	Q17958	reviewed	PDC10_CAEEL	Programmed cell death protein 10 homolog (Cerebral cavernous malformation protein 3)	ccm-3 C14A4.11	Caenorhabditis elegans	215
P04630	P04630	reviewed	CALL_CAEEL	Calmodulin-like protein	cal-1 cmd-1 C13C12.1	Caenorhabditis elegans	161
P50140	P50140	reviewed	CH60_CAEEL	Chaperonin homolog Hsp-60, mitochondrial (Heat shock protein 60) (HSP-60)	hsp-60 hsp60 Y22D7AL.5	Caenorhabditis elegans	568
Q95PZ2	Q95PZ2	reviewed	MICU1_CAEEL	Calcium uptake protein 1 homolog, mitochondrial	micu-1 Y67H2A.4	Caenorhabditis elegans	534
P91276	P91276	reviewed	IMA2_CAEEL	Importin subunit alpha-2 (Karyopherin subunit alpha-2)	ima-2 F26B1.3	Caenorhabditis elegans	531
A6ZJ71	A6ZJ71	reviewed	MIG38_CAEEL	Abnormal cell migration protein 38	mig-38 F40F11.2	Caenorhabditis elegans	1607
Q20678	Q20678	reviewed	EXOC1_CAEEL	Exocyst complex component 1 (Exocyst complex component Sec3)	sec-3 F52E4.7	Caenorhabditis elegans	848
Q18225	Q18225	reviewed	FLH2_CAEEL	FLYWCH transcription factor 2	flh-2 C26E6.2	Caenorhabditis elegans	470
Q23670	Q23670	reviewed	TOP2_CAEEL	DNA topoisomerase 2 top-2 (EC 5.6.2.2) (DNA topoisomerase II)	top-2 K12D12.1	Caenorhabditis elegans	1520
Q09346	Q09346	reviewed	SMCR8_CAEEL	Guanine nucleotide exchange protein smcr-8 (Smith-Magenis syndrome chromosomal region 8 protein homolog)	smcr-8 R144.5	Caenorhabditis elegans	511
Q9XTQ5	Q9XTQ5	reviewed	GOB1_CAEEL	Trehalose-phosphatase (EC 3.1.3.12) (Trehalose-6-phosphate phosphatase) (TPP)	gob-1 H13N06.3	Caenorhabditis elegans	439
P34657	P34657	reviewed	YOTB_CAEEL	Uncharacterized protein ZK632.12	ZK632.12	Caenorhabditis elegans	266
O62479	O62479	reviewed	SAS6_CAEEL	Spindle assembly abnormal protein 6	sas-6 Y45F10D.9	Caenorhabditis elegans	492
Q9U2C4	Q9U2C4	reviewed	GALT9_CAEEL	Probable N-acetylgalactosaminyltransferase 9 (EC 2.4.1.-) (Protein-UDP acetylgalactosaminyltransferase 9) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 9) (pp-GaNTase 9)	gly-9 Y47D3A.23	Caenorhabditis elegans	579
P34477	P34477	reviewed	UBC7_CAEEL	Probable ubiquitin-conjugating enzyme E2 7 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 7) (Ubiquitin carrier protein 7) (Ubiquitin-protein ligase 7)	ubc-7 F58A4.10	Caenorhabditis elegans	164
Q95Y04	Q95Y04	reviewed	RS28_CAEEL	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)	rps-28 Y41D4B.5	Caenorhabditis elegans	65
Q18936	Q18936	reviewed	TPRA1_CAEEL	Transmembrane protein adipocyte-associated 1 homolog	tpra-1 D1046.5	Caenorhabditis elegans	458
C7IVR4	C7IVR4	reviewed	PQN41_CAEEL	Polyglutamine-repeat protein pqn-41 (Prion-like-(Q/N-rich)-domain-bearing protein 41)	pqn-41 F53A3.4	Caenorhabditis elegans	2049
O62193	O62193	reviewed	PSF2_CAEEL	Probable DNA replication complex GINS protein PSF2 (GINS complex subunit 2)	psf-2 F31C3.5	Caenorhabditis elegans	180
Q09499	Q09499	reviewed	IRE1_CAEEL	Serine/threonine-protein kinase/endoribonuclease ire-1 (Inositol-requiring protein 2) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	ire-1 C41C4.4	Caenorhabditis elegans	967
Q19020	Q19020	reviewed	DYHC_CAEEL	Dynein heavy chain, cytoplasmic (Dynein heavy chain, cytosolic) (DYHC)	dhc-1 T21E12.4	Caenorhabditis elegans	4568
Q9XW26	Q9XW26	reviewed	SPTF3_CAEEL	Specificity protein transcription factor 3	sptf-3 Y40B1A.4	Caenorhabditis elegans	412
P34461	P34461	reviewed	SODE_CAEEL	Extracellular superoxide dismutase [Cu-Zn] (EC-SOD) (EC 1.15.1.1)	sod-4 F55H2.1	Caenorhabditis elegans	221
O16425	O16425	reviewed	NHR57_CAEEL	Nuclear hormone receptor family member nhr-57	nhr-57 T05B4.2	Caenorhabditis elegans	374
A0A0K3AV08	A0A0K3AV08	reviewed	MLK1_CAEEL	Mitogen-activated protein kinase kinase kinase mlk-1 (EC 2.7.11.25) (Mixed lineage kinase homolog 1)	mlk-1 K11D12.10	Caenorhabditis elegans	1059
P90866	P90866	reviewed	CDK8_CAEEL	Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit cdk-8) (Mediator of RNA polymerase II transcription subunit cdk-8)	cdk-8 F39H11.3	Caenorhabditis elegans	588
Q19826	Q19826	reviewed	RPAB3_CAEEL	Probable DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (RNA polymerase B subunit 8) (RPB8) (RPB17)	rpb-8 F26F4.11	Caenorhabditis elegans	148
P34653	P34653	reviewed	PAN3_CAEEL	PAN2-PAN3 deadenylation complex subunit PAN3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3)	panl-3 PAN3 ZK632.7	Caenorhabditis elegans	632
Q93353	Q93353	reviewed	IDH3B_CAEEL	Probable isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)	idhb-1 C37E2.1	Caenorhabditis elegans	379
P53016	P53016	reviewed	RFC4_CAEEL	Replication factor C subunit 4 (Activator 1 subunit 4)	rfc-4 F31E3.3	Caenorhabditis elegans	334
Q17602	Q17602	reviewed	NU214_CAEEL	Nuclear pore complex protein 14 (Nuclear pore complex protein Nup214) (Nucleoporin npp-14)	npp-14 C03D6.4	Caenorhabditis elegans	1390
Q09537	Q09537	reviewed	GRK1_CAEEL	G protein-coupled receptor kinase 1 (EC 2.7.11.16)	grk-1 F19C6.1	Caenorhabditis elegans	642
Q9TZI4	Q9TZI4	reviewed	GBAS1_CAEEL	G-protein alpha subunit activating protein gbas-1	gbas-1 F59H5.1	Caenorhabditis elegans	758
Q8MYM9	Q8MYM9	reviewed	COA8_CAEEL	COA8 family protein Y39B6A.34, mitochondrial (COA8) (APOPT family protein Y39B6A.34, mitochondrial)	Y39B6A.34	Caenorhabditis elegans	142
Q21389	Q21389	reviewed	LGE1_CAEEL	Glycosyltransferase-like protein LARGE (EC 2.4.-.-)	lge-1 K09C8.4	Caenorhabditis elegans	631
