From	Entry	Entry Name	Protein names	Gene Names	Gene Names (synonym)	PubMed ID
Q8AW28	Q9I9R3	S40A1_DANRE	Solute carrier family 40 member 1 (Ferroportin-1)	slc40a1 fpn1 slc39a1	fpn1 slc39a1	10693807; 23594743
Q8JFW0	Q9I9R3	S40A1_DANRE	Solute carrier family 40 member 1 (Ferroportin-1)	slc40a1 fpn1 slc39a1	fpn1 slc39a1	10693807; 23594743
Q9I9R3	Q9I9R3	S40A1_DANRE	Solute carrier family 40 member 1 (Ferroportin-1)	slc40a1 fpn1 slc39a1	fpn1 slc39a1	10693807; 23594743
B0S789	B0S789	B0S789_DANRE	Signal transducer and activator of transcription	STAT si:by134g18.3 si:by51f19.2 si:dz199m19.1 si:dz199m19.2 si:dz73o4.3 si:dz87i4.1 si:xx-51f19.2 STAT1 wu:fi49f02 zgc:55503 stat1b	si:by134g18.3 si:by51f19.2 si:dz199m19.1 si:dz199m19.2 si:dz73o4.3 si:dz87i4.1 si:xx-51f19.2 STAT1 wu:fi49f02 zgc:55503	15520368; 18039395; 20438850; 21914475; 21354627; 23594743; 30090375; 30265984; 30484769; 30072996; 30519016
F1QD90	F1QD90	F1QD90_DANRE	deleted			
Q800E7	Q800E7	Q800E7_DANRE	Phosphodiesterase (EC 3.1.4.-)	si:bz1d10.3 si:rp71-1d10.3 pde6a	si:rp71-1d10.3	16379021; 18824093; 21261954; 23594743; 24413151; 24924194; 27296292; 27189481; 28855254; 28378834; 30336175
Q8AW33	Q8AW33	Q8AW33_DANRE	deleted			
Q6GMK0	Q6GMK0	MGT4B_DANRE	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B (EC 2.4.1.145) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase IVb) (GlcNAc-T IVb) (GnT-IVb) (N-acetylglucosaminyltransferase IVb) (UDP-N-acetylglucosamine: alpha-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IVb)	mgat4bQ9UQ53 zgc:92425		
Q8AX99	Q8AX99	Q8AX99_DANRE	Actinin alpha 3b (Actn3b) (Alpha-actinin) (Novel actinin)	fb95c03 wu:fb95c03 wu:fc11d03 zgc:77243 actn3b zC258D20.1-001	wu:fb95c03 wu:fc11d03 zgc:77243	19842183; 21752928; 22192888; 22253474; 22767232; 23594743; 27189481; 27055096; 28211472; 28252024; 30061167
Q7SZK7	Q7SZK7	OFD1_DANRE	Centriole and centriolar satellite protein ofd1 (Oral-facial-digital syndrome 1 protein homolog)	ofd1 zgc:92562		12782125
Q6P3J6	Q6P3J6	Q6P3J6_DANRE	peptidylprolyl isomerase (EC 5.2.1.8)	zgc:77672 fkbp8		19240133; 23594743; 26469318; 27189481
Q8AYM6	Q9W6A6	OPSG4_DANRE	Green-sensitive opsin-4 (Green cone photoreceptor pigment 4) (Opsin RH2-4) (Opsin-1, medium-wave-sensitive 4)	opn1mw4 grops2 rh24	grops2 rh24	10349976; 12618404; 23594743
Q9W6A6	Q9W6A6	OPSG4_DANRE	Green-sensitive opsin-4 (Green cone photoreceptor pigment 4) (Opsin RH2-4) (Opsin-1, medium-wave-sensitive 4)	opn1mw4 grops2 rh24	grops2 rh24	10349976; 12618404; 23594743
Q7ZYZ7	Q7ZYZ7	PCGF1_DANRE	Polycomb group RING finger protein 1	pcgf1 si:zc207o21.2		23594743
Q5SQE1	Q5SQE1	Q5SQE1_DANRE	General transcription factor IIE subunit 1 (General transcription factor IIE, polypeptide 1, alpha) (Novel protein similar to vertebrate general transcription factor IIE polypeptide 1 alpha 56kDa (GTF2E1))	si:ch211-194d6.2 gtf2e1 CH211-194D6.2-001		23594743
Q8AYM9	Q9W6A5	OPSG1_DANRE	Green-sensitive opsin-1 (Green cone photoreceptor pigment 1) (Opsin RH2-1) (Opsin-1, medium-wave-sensitive 1)	opn1mw1 grops1 rh21	grops1 rh21	10349976; 12618404; 23594743
Q9W6A5	Q9W6A5	OPSG1_DANRE	Green-sensitive opsin-1 (Green cone photoreceptor pigment 1) (Opsin RH2-1) (Opsin-1, medium-wave-sensitive 1)	opn1mw1 grops1 rh21	grops1 rh21	10349976; 12618404; 23594743
Q6PFT3	Q7ZYZ9	Q7ZYZ9_DANRE	A disintegrin and metalloproteinase domain 8a (ADAM metallopeptidase domain 8a) (Adam8a protein) (Disintegrin and metalloproteinase domain-containing protein 8 precursor)	zgc:64059 adam8 reprolysin si:zc217g15.7 adam8a	adam8 reprolysin si:zc217g15.7	17439641; 19501921; 20605457; 23458150; 23594743; 26469318; 27189481; 27185351; 26767746; 27376691; 27413107
Q7ZYZ9	Q7ZYZ9	Q7ZYZ9_DANRE	A disintegrin and metalloproteinase domain 8a (ADAM metallopeptidase domain 8a) (Adam8a protein) (Disintegrin and metalloproteinase domain-containing protein 8 precursor)	zgc:64059 adam8 reprolysin si:zc217g15.7 adam8a	adam8 reprolysin si:zc217g15.7	17439641; 19501921; 20605457; 23458150; 23594743; 26469318; 27189481; 27185351; 26767746; 27376691; 27413107
Q9PUS3	Q9PUS3	Q9PUS3_DANRE	Proteasome subunit beta	PSMB9A beta1ia lmp2 macropain prosome psmb9 wu:fa66f04 wu:fj22d05 zgc:91842 psmb9a CH211-51F10.6-001 psmb9a-001	beta1ia lmp2 macropain prosome psmb9 wu:fa66f04 wu:fj22d05 zgc:91842	10453006; 11814690; 12869198; 16109975; 16448862; 19159490; 23594743; 27539703; 27409813; 27493218; 28698226; 29471808
Q6ZM24	Q6ZM24	Q6ZM24_DANRE	Mitochondrial import receptor subunit TOM34 (Translocase of outer mitochondrial membrane 34)	wu:fb96b08 zC239J9.1 zgc:56645 tomm34	zC239J9.1 zgc:56645	23594743; 26469318; 27086301; 28252024
B0S640	B0S640	B0S640_DANRE	deleted			
Q1LWY1	Q1LWY1	Q1LWY1_DANRE	Proteasome subunit beta	psmb10 psmb13a CH211-51F10.4-001		23594743
F1R3X8	F1R3X8	F1R3X8_DANRE	Calcium channel, voltage-dependent, alpha2/delta subunit 3 (Voltage-dependent calcium channel subunit alpha-2/delta-3 isoform X2)	cacna2d3		23594743
Q6DRM1	Q6DRM1	Q6DRM1_DANRE	FLJ22626-like (NF-kappa-B-activating protein) (NFKB activating protein-like) (NFKB-activating protein)	nkapl c6orf194l wu:fj36d09 wu:fj49c09 zgc:136458 nkap	c6orf194l wu:fj36d09 wu:fj49c09 zgc:136458	15256591; 20153437; 21642002; 22554570; 23594743; 24174574; 29678641; 29317307; 30090096; 29736898; 30423455
F1R7L3	F1R7L3	F1R7L3_DANRE	deleted			
F1R7L0	F1R7L0	F1R7L0_DANRE	deleted			
Q1LWX6	Q1LWX6	Q1LWX6_DANRE	deleted			
Q7ZZ04	Q7ZZ04	Q7ZZ04_DANRE	Enoyl-CoA hydratase, mitochondrial (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (Short-chain enoyl-CoA hydratase)	fj55e05 si:zc217g15.1 wu:fj55e05 echs1	si:zc217g15.1 wu:fj55e05	16872691; 19127516; 20528263; 21481936; 23744565; 23594743; 25000307; 26469318; 26767746; 28252024; 29048675
Q9PUS6	Q9PUS6	Q9PUS6_DANRE	Proteasome subunit beta	psmb11 beta1t macropain prosome PSMB11 zgc:92422 psmb12 CH211-51F10.5-001 psmb11-001	beta1t macropain prosome PSMB11 zgc:92422	10453006; 19159490; 21346254; 21354627; 23594743; 24683187; 26469318; 27493218; 28698226; 29471808
A0A0R4IC41	A0A0R4IC41	A0A0R4IC41_DANRE	deleted			
Q8AYM7	Q8AYM7	OPSG3_DANRE	Green-sensitive opsin-3 (Green cone photoreceptor pigment 3) (Opsin RH2-3) (Opsin-1, medium-wave-sensitive 3)	opn1mw3 rh23 si:zc263a23.3	rh23	12618404; 23594743
Q6DRI5	Q6DRI5	Q6DRI5_DANRE	deleted			
F1QUA1	F1QUA1	F1QUA1_DANRE	Upstream stimulatory factor 1	zgc:56547 usf1		23594743
Q6TLH9	Q6TLH9	Q6TLH9_DANRE	Z2610510D14Rik (Zinc finger matrin-type protein 2) (Zinc finger, matrin-type 2)	fc30d10 flj31121 wu:fc30d10 zmat2	flj31121 wu:fc30d10	15256591; 15520368; 16109975; 19064678; 23594743; 26469318
Q7T368	Q7T368	Q7T368_DANRE	Pyruvate dehydrogenase E1 component subunit beta (EC 1.2.4.1)	wu:fc76a05 zgc:64062 pdhb	zgc:64062	9007256; 16109975; 18803863; 20826660; 23117182; 23594743; 26469318; 28252024
Q6PE34	Q6PE34	Q6PE34_DANRE	Tubulin beta chain	fj33a08 wu:fj33a08 zgc:65894	wu:fj33a08	23594743; 26469318; 27189481; 28252024
A3QK15	A3QK15	AACS_DANRE	Acetoacetyl-CoA synthetase (EC 6.2.1.16)	aacs si:dkey-215k6.2 zgc:56105		23594743
Q7ZU87	A3QK15	AACS_DANRE	Acetoacetyl-CoA synthetase (EC 6.2.1.16)	aacs si:dkey-215k6.2 zgc:56105		23594743
B3DGC2	B3DGC2	B3DGC2_DANRE	deleted			
F1QX93	F1QX93	F1QX93_DANRE	deleted			
Q6AZB2	Q6AZB2	Q6AZB2_DANRE	Succinyl-CoA:3-ketoacid-coenzyme A transferase (EC 2.8.3.5)	oxct1 fj36f06 fj48g08 wu:fj36f06 wu:fj48g08 zgc:92003 oxct1a	fj36f06 fj48g08 wu:fj36f06 wu:fj48g08 zgc:92003	15239961; 16814563; 17640376; 17917757; 23594743
B0S6P6	B0S6P6	B0S6P6_DANRE	RNA helicase (EC 3.6.4.13)	ddx3 ddx3a fb74g09 wu:fb74g09 zgc:158804 ddx3xa	ddx3a fb74g09 wu:fb74g09 zgc:158804	15520368; 19184727; 20828405; 23594743; 24683187; 26469318; 28252024; 29942316; 29490693; 30373933; 30061596
Q05AJ3	A0A2R8QT05	A0A2R8QT05_DANRE	GATA-binding protein 1 (Gata1 protein)	gata1 gata1a		23594743
Q567Y7	Q567Y7	Q567Y7_DANRE	Neuronal acetylcholine receptor subunit alpha-5	zgc:110642 chrna5		16631158; 22207143; 23594743; 24327734; 24738729; 24218366; 26528153; 26469318; 25138642; 27189481; 30700248
Q24JW1	Q9I9L0	HEY2_DANRE	Hairy/enhancer-of-split related with YRPW motif protein 2 (Protein gridlock)	hey2 grl zgc:136746	grl	10710309; 11700560; 14593478
Q9I9L0	Q9I9L0	HEY2_DANRE	Hairy/enhancer-of-split related with YRPW motif protein 2 (Protein gridlock)	hey2 grl zgc:136746	grl	10710309; 11700560; 14593478
Q6NSN6	Q6NSN6	Q6NSN6_DANRE	Serine/threonine-protein phosphatase (EC 3.1.3.16)	wu:fc04c08 wu:fc09b07 wu:fc30g11 wu:fe05h08 ppp1caa zgc:85729	wu:fc09b07 wu:fc30g11 wu:fe05h08	19500364; 23594743; 25159144; 26469318; 28252024; 29351486
Q1L8Y5	Q1L8Y5	Q1L8Y5_DANRE	Programmed cell death protein 4	pdcd4-2 cb45 pdcd4 sb:cb45 wu:fc84b08 pdcd4b CH211-159C12.1-002-2	cb45 pdcd4 sb:cb45 wu:fc84b08	23594743
Q6PGZ3	Q6PGZ3	MIPT3_DANRE	TRAF3-interacting protein 1	traf3ip1 zgc:63522		26487268
Q6DG11	Q6DG11	Q6DG11_DANRE	Spliceosome-associated factor 1, recruiter of U4/U6.U5 tri-snRNP (Squamous cell carcinoma antigen recognised by T cells) (U4/U6.U5 tri-snRNP-associated protein 1)	zgc:91927 sart1		23594743; 24419317; 26137319; 26469318; 27356472
Q9W7K3	Q9W7K3	Q9W7K3_DANRE	Doublesex and mab-3-related transcription factor 2a (Doublesex- and mab-3-related transcription factor 2) (Terra)	dmrt2 zDmrt2 dmrt2a	zDmrt2	10021344; 16109975; 16136187; 16765934; 16448862; 18282142; 23594743; 27292017; 28483596; 29914374; 30290758; 29911973
B3DKP1	B3DKP1	B3DKP1_DANRE	receptor protein-tyrosine kinase (EC 2.7.10.1)	VEGFR1 flt1b sFlt1 flt1	flt1b sFlt1	15998812; 16782017; 16565716; 17722983; 18094332; 23594743; 30449506; 30542405; 31014480; 31050647; 30760708
F1QUS9	F1QUS9	F1QUS9_DANRE	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	usp7		23594743
B8A453	B8A453	B8A453_DANRE	deleted			
Q4V9K9	Q5SPR8	ESCO2_DANRE	N-acetyltransferase ESCO2 (EC 2.3.1.-) (Establishment of cohesion 1 homolog 2) (ECO1 homolog 2)	esco2 si:dkey-217m5.6 zgc:111795		15256591; 23594743
Q5SPR8	Q5SPR8	ESCO2_DANRE	N-acetyltransferase ESCO2 (EC 2.3.1.-) (Establishment of cohesion 1 homolog 2) (ECO1 homolog 2)	esco2 si:dkey-217m5.6 zgc:111795		15256591; 23594743
Q6DRF5	Q5SPR8	ESCO2_DANRE	N-acetyltransferase ESCO2 (EC 2.3.1.-) (Establishment of cohesion 1 homolog 2) (ECO1 homolog 2)	esco2 si:dkey-217m5.6 zgc:111795		15256591; 23594743
F1QUS3	F1QUS3	F1QUS3_DANRE	Zona pellucida sperm-binding protein 4 (Zona pellucida glycoprotein 4) (Zona pellucida protein B)	zgc:152728 zp2 zp2.5	zp2	16481590; 16805104; 19021768; 18335061; 19299318; 19879662; 23594743; 24174574
Q9PUT2	Q9PUT2	Q9PUT2_DANRE	CD74 molecule, major histocompatibility complex, class II invariant chain a (Iclp1 protein) (Invariant chain-like protein 1)	iclp1 Iclp-1 wu:fb11f09 wu:fb12a01 wu:fb13d06 wu:fk94e07 cd74a	Iclp-1 wu:fb11f09 wu:fb12a01 wu:fb13d06 wu:fk94e07	10541812; 16109975; 16379021; 18803863; 19482995; 19890038; 23594743; 28698226; 28758957; 29692779; 30885554; 30377750
F1QSK5	F1QSK5	F1QSK5_DANRE	deleted			
Q6PUR9	Q803I4	RING2_DANRE	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	rnf2 ring1b	ring1b	15520368
Q803I4	Q803I4	RING2_DANRE	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	rnf2 ring1b	ring1b	15520368
Q9PTH4	Q803I4	RING2_DANRE	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	rnf2 ring1b	ring1b	15520368
B0S687	B0S687	B0S687_DANRE	DNA polymerase alpha subunit B	wu:fb48f05 zgc:56124 zgc:77841 pola2	zgc:56124 zgc:77841	15520368; 16109975; 23744542; 23594743; 26469318; 26981540
Q9PVD7	Q9PVD7	Q9PVD7_DANRE	Arylalkylamine N-acetyltransferase (EC 2.3.1.87)	AANAT2 AA-NAT aanat2	AA-NAT	9492019; 10499549; 12799078; 12622837; 15302263; 14988431; 23594743; 28978916; 29945867; 29940038; 30446534; 30655599
F1QSJ2	F1QSJ2	F1QSJ2_DANRE	Collagen alpha-1(XI) chain isoform X2 (Collagen, type XI, alpha 1a)	wu:fb34e11 wu:fc11b03 zgc:158335 col11a1a	wu:fc11b03 zgc:158335	23594743
Q5U9X3	Q5U9X3	GPC6A_DANRE	G-protein coupled receptor family C group 6 member A (Odorant receptor ZO6)	gprc6a		15537883
F1QQW7	F1QQW7	F1QQW7_DANRE	SAGA complex-associated factor 29 (SAGA-associated factor 29 isoform X1)	ccdc101 zgc:103544 sgf29	zgc:103544	23594743
F1QWY1	A0A8M2B990	A0A8M2B990_DANRE	Nuclear factor, erythroid 2 (Transcription factor NF-E2 45 kDa subunit isoform X1)	nfe2		23594743
A0A286Y9L4	Q90ZZ7	Q90ZZ7_DANRE	Aldehyde dehydrogenase	aldh3d1 cb508 fb17d04 wu:fb17d04 aldh3b1	cb508 fb17d04 wu:fb17d04	23594743
Q90ZZ7	Q90ZZ7	Q90ZZ7_DANRE	Aldehyde dehydrogenase	aldh3d1 cb508 fb17d04 wu:fb17d04 aldh3b1	cb508 fb17d04 wu:fb17d04	23594743
B8JIS1	B8JIS1	B8JIS1_DANRE	deleted			
Q6DHE8	Q6DHE8	RHOAD_DANRE	Rho-related GTP-binding protein RhoA-D	rhoad		15894457; 23594743; 26190758
B3DLG5	B3DLG5	B3DLG5_DANRE	Endothelin-1 receptor (Endothelin receptor type A)	ednra ednr-a Ednra2 wu:fb75g12 ednraa	ednr-a Ednra2 wu:fb75g12	15269892; 16109975; 17166927; 19174480; 20431122; 23594743; 29358039; 30551672; 31042481; 30561090; 30811380
F1QWX4	F1QWX4	F1QWX4_DANRE	Sepiapterin reductase (EC 1.1.1.153)	fj86h06 spr wu:fj86h06 zgc:112298 spra	spr wu:fj86h06 zgc:112298	17024299; 17498288; 20333216; 23594743; 26469318; 27189481; 28252024; 28249010; 29248853
Q90XR2	Q90XR2	Q90XR2_DANRE	Claudin-3	cldnc cldn3d		11517306; 15197168; 19563808; 19874812; 20553723; 21600298; 23594743; 25074470; 26469318; 26933814; 26726070; 30590163
E7F8D4	E7F8D4	E7F8D4_DANRE	Neurotrophin receptor-associated death domain (Tumor necrosis factor receptor superfamily member 16)	nradd		23594743
F1QVE6	F1QVE6	F1QVE6_DANRE	deleted			
Q6DBV8	Q6DBV8	Q6DBV8_DANRE	cAMP-dependent protein kinase (EC 2.7.11.11)	zgc:91856 CH1073-57O22.1 prkacab	CH1073-57O22.1	19500364; 23594743; 26469318; 25617839; 28252024
F1QVD2	F1QVD2	F1QVD2_DANRE	deleted			
F1QVC6	F1QVC6	F1QVC6_DANRE	Serine and arginine-rich-splicing factor 9 (Serine/arginine-rich splicing factor 9)	zgc:77449 srsf9		23594743; 26469318; 27189481; 28934490
Q6PBL4	Q6PBL4	Q6PBL4_DANRE	DNA polymerase epsilon subunit 3 (DNA polymerase II subunit 3)	zgc:73351 pole3		24198278; 23594743
Q6P0Z4	Q6P0Z4	Q6P0Z4_DANRE	Transcription factor SOX	sox4 wu:fb82f08 wu:fq41g10 zgc:65850 zgc:77392 sox4a	wu:fb82f08 wu:fq41g10 zgc:65850 zgc:77392	15133664; 16055112; 16109975; 16631158; 16448862; 23594743; 25938946; 27544571; 28841206; 30681411; 30606747
Q6UJB7	Q6P0Z4	Q6P0Z4_DANRE	Transcription factor SOX	sox4 wu:fb82f08 wu:fq41g10 zgc:65850 zgc:77392 sox4a	wu:fb82f08 wu:fq41g10 zgc:65850 zgc:77392	15133664; 16055112; 16109975; 16631158; 16448862; 23594743; 25938946; 27544571; 28841206; 30681411; 30606747
E7F7X5	E7F7X5	E7F7X5_DANRE	deleted			
F1QTT7	F1QTT7	F1QTT7_DANRE	G-2 and S-phase-expressed 1 (G2 and S phase-expressed protein 1 isoform X1)	fb70b04 fj88g09 wu:fb70b04 wu:fj88g09 wu:fy65d12 zgc:110687 gtse1	fj88g09 wu:fb70b04 wu:fj88g09 wu:fy65d12 zgc:110687	23594743
B8JIA4	B8JIA4	B8JIA4_DANRE	Histone-lysine N-methyltransferase NSD2 (EC 2.1.1.43) (Nuclear receptor-binding SET domain protein 2)	fc12c04 si:rp71-77d7.2 whsc1 wu:fc12c04 wu:fi20c01 nsd2	si:rp71-77d7.2 whsc1 wu:fc12c04 wu:fi20c01	15520368; 18231586; 20946879; 24240475; 23594743; 24480746; 24901507; 28654864
B0UY88	B0UY88	B0UY88_DANRE	Tissue factor (Coagulation factor III)	zgc:112151 f3b		18039395; 20102740; 22057990; 23594743; 26469318; 26943738; 29658397; 29274910
A8E7D4	A8E7D4	A8E7D4_DANRE	deleted			
F1QTS9	F1QTS9	F1QTS9_DANRE	deleted			
Q5RGX8	Q5RGX8	Q5RGX8_DANRE	Glycogen [starch] synthase (EC 2.4.1.11)	cb765 zgc:112057 gys2	zgc:112057	20138234; 22116938; 23623870; 23594743; 26469318; 27189481; 27356472; 28252024; 28102299; 28946120; 29867554
Q7ZUP9	Q7ZUP9	Q7ZUP9_DANRE	Fizzy-related protein homolog (Fizzy/cell division cycle 20 related 1 (Drosophila)) (Fizzy/cell division cycle 20-related 1a) (Fzr1 protein)	fzr1 zgc:55450 fzr1a	zgc:55450	17292976; 19402758; 20724448; 23082190; 23594743; 26469318; 27189481
F1QE62	F1QE62	F1QE62_DANRE	deleted			
Q7SXI6	Q7SXI6	NDL1A_DANRE	Nuclear distribution protein nudE-like 1-A	ndel1a		
F1QDL2	F1QDL2	F1QDL2_DANRE	Ribosome biogenesis protein NSA2 homolog	fb34b10 wu:fb34b10 zgc:56334 nsa2	wu:fb34b10 zgc:56334	23594743; 26469318; 27189481
F1QDK4	F1QDK4	F1QDK4_DANRE	Dystrophin	Dp71 cb664 im:6911785 zfDYS zgc:110165 dmd	cb664 im:6911785 zfDYS zgc:110165	9007258; 12091319; 12659844; 14573513; 12620966; 23594743; 28658625; 28252024; 28241031; 28533404; 30135524
Q6DHP9	Q6DHP9	RXRGB_DANRE	Retinoic acid receptor RXR-gamma-B (Nuclear receptor subfamily 2 group B member 3-B) (Retinoid X receptor gamma-B)	rxrgb nr3b3b si:ch211-260g14.2 zgc:92183	nr3b3b	17195188; 23594743
F1QDH6	F1QDH6	F1QDH6_DANRE	deleted			
Q7T2E3	Q7T2E3	KC1DA_DANRE	Casein kinase I isoform delta-A (CKI-delta-A) (CKId-A) (EC 2.7.11.1) (Casein kinase I isoform delta-like)	csnk1da csnk1dl si:ch211-234h8.6	csnk1dl	18064361; 23594743
Q8JI13	Q8JI13	Q8JI13_DANRE	Homeobox protein Hox11 (T cell leukemia homeobox 1) (T-cell leukemia homeobox protein 1) (T-cell leukemia, homeobox 1)	tlx1-2 hox11 SI:dZ46P4.1 Tlx-1 ztlx-1 tlx1 tlx1-001 tlx1-001-2	hox11 SI:dZ46P4.1 Tlx-1 ztlx-1	12204264; 15827121; 17252014; 18541024; 20112453; 19862821; 19562753; 22982668; 22538478; 23594743; 25534026
B3DKJ0	B3DKJ0	B3DKJ0_DANRE	deleted			
F1QK08	F1QK08	F1QK08_DANRE	Growth differentiation factor 5 (Growth/differentiation factor 5)	gdf5		23594743
O73715	O73715	LDB1A_DANRE	LIM domain-binding protein 1-A (LDB-1-A) (LIM domain-binding protein 4) (LDB-4) (zLdb4)	ldb1a ldb4	ldb4	9507128; 16815859
Q1EQX3	O73715	LDB1A_DANRE	LIM domain-binding protein 1-A (LDB-1-A) (LIM domain-binding protein 4) (LDB-4) (zLdb4)	ldb1a ldb4	ldb4	9507128; 16815859
Q4V929	O73715	LDB1A_DANRE	LIM domain-binding protein 1-A (LDB-1-A) (LIM domain-binding protein 4) (LDB-4) (zLdb4)	ldb1a ldb4	ldb4	9507128; 16815859
Q5XFY5	O73715	LDB1A_DANRE	LIM domain-binding protein 1-A (LDB-1-A) (LIM domain-binding protein 4) (LDB-4) (zLdb4)	ldb1a ldb4	ldb4	9507128; 16815859
F1QJD4	F1QJD4	F1QJD4_DANRE	receptor protein-tyrosine kinase (EC 2.7.10.1)	epha4l		23594743
A2BGK0	A2BGK0	A2BGK0_DANRE	deleted			
Q1LXR9	Q6TGU2	SEH1_DANRE	Nucleoporin SEH1 (GATOR2 complex protein SEH1) (Nup107-160 subcomplex subunit seh1)	seh1l sec13l si:dkey-263o22.4	sec13l	15520368; 23594743
Q6TGU2	Q6TGU2	SEH1_DANRE	Nucleoporin SEH1 (GATOR2 complex protein SEH1) (Nup107-160 subcomplex subunit seh1)	seh1l sec13l si:dkey-263o22.4	sec13l	15520368; 23594743
F1QJC9	F1QJC9	F1QJC9_DANRE	deleted			
Q6P125	Q6P125	Q6P125_DANRE	Cirrhosis, autosomal recessive 1A (Cirhin) (U3 small nucleolar RNA-associated protein 4 homolog) (UTP4 small subunit processome component)	cirh1a wu:fi09g10 wu:fi37c02 zgc:77199 utp4	wu:fi09g10 wu:fi37c02 zgc:77199	16109975; 23594743; 24147052; 26469318; 26961822
O73736	O73736	O73736_DANRE	receptor protein serine/threonine kinase (EC 2.7.11.30)	acvr1 alk2 alk8 alk8sum etID124543.2 fk50h05 laf lost-a-fin mfn wu:fk50h05 acvr1l	alk2 alk8 alk8sum etID124543.2 fk50h05 laf lost-a-fin mfn wu:fk50h05	9007231; 9334285; 9566954; 11969259; 12482931; 12880634; 23594743; 27790787; 28394244; 29139166; 30183553; 30692543
F1QHT9	F1QHT9	F1QHT9_DANRE	deleted			
A5PF46	A5PF46	A5PF46_DANRE	deleted			
Q9DGL3	Q9DGL3	Q9DGL3_DANRE	deleted			
Q1AMT3	Q1AMT3	FAB1A_DANRE	Fatty acid binding protein 1-A, liver	fabp1a		16857010
Q66L58	Q66L58	VAC14_DANRE	Protein VAC14 homolog	vac14 zgc:100945		
F1QFN4	A0A8M2B201	A0A8M2B201_DANRE	Tyrosine-protein kinase (EC 2.7.10.2)	syk		23594743
B3DJ34	B3DJ34	B3DJ34_DANRE	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha) (Diphosphoinositide kinase 2-alpha) (Phosphatidylinositol 5-phosphate 4-kinase type II alpha) (PtdIns(5)P-4-kinase isoform 2-alpha)	LOC560360 pip4k2a zgc:194746 zgc:194777 pip4k2aa	pip4k2a zgc:194746 zgc:194777	23542014; 23594743; 25866244; 26365782; 26469318; 28252024
