From	Entry	Entry Name	Protein names	Gene Names	Gene Ontology IDs
Q7ZWG4	Q8JIR0	BMI1A_DANRE	Polycomb complex protein BMI-1-A (Polycomb group RING finger protein 4-A)	bmi1a bmi1 pcgf4a psc1	GO:0000122; GO:0006338; GO:0021549; GO:0031519; GO:0035102; GO:0035701; GO:0036353; GO:0045814; GO:0046872; GO:0060215; GO:1990841
Q8JIR0	Q8JIR0	BMI1A_DANRE	Polycomb complex protein BMI-1-A (Polycomb group RING finger protein 4-A)	bmi1a bmi1 pcgf4a psc1	GO:0000122; GO:0006338; GO:0021549; GO:0031519; GO:0035102; GO:0035701; GO:0036353; GO:0045814; GO:0046872; GO:0060215; GO:1990841
Q6DGB9	Q8QHL5	PHC2_DANRE	Polyhomeotic-like protein 2	phc2 edr2 ph2	GO:0003677; GO:0003682; GO:0005634; GO:0008270; GO:0031519; GO:0035102; GO:0042393; GO:0045892
Q6TGW0	Q8QHL5	PHC2_DANRE	Polyhomeotic-like protein 2	phc2 edr2 ph2	GO:0003677; GO:0003682; GO:0005634; GO:0008270; GO:0031519; GO:0035102; GO:0042393; GO:0045892
Q7ZYX8	Q8QHL5	PHC2_DANRE	Polyhomeotic-like protein 2	phc2 edr2 ph2	GO:0003677; GO:0003682; GO:0005634; GO:0008270; GO:0031519; GO:0035102; GO:0042393; GO:0045892
Q8QHL4	Q8QHL5	PHC2_DANRE	Polyhomeotic-like protein 2	phc2 edr2 ph2	GO:0003677; GO:0003682; GO:0005634; GO:0008270; GO:0031519; GO:0035102; GO:0042393; GO:0045892
Q8QHL5	Q8QHL5	PHC2_DANRE	Polyhomeotic-like protein 2	phc2 edr2 ph2	GO:0003677; GO:0003682; GO:0005634; GO:0008270; GO:0031519; GO:0035102; GO:0042393; GO:0045892
Q7T3E6	Q7T3E6	BMI1B_DANRE	Polycomb complex protein BMI-1-B (Polycomb group RING finger protein 4-B)	bmi1b pcgf4b	GO:0000122; GO:0021549; GO:0031519; GO:0035102; GO:0036353; GO:0045814; GO:0046872; GO:1990841
F1QHT9	F1QHT9	F1QHT9_DANRE	deleted		
Q5EAQ1	Q5EAQ1	M4GDB_DANRE	MIF4G domain-containing protein B	mif4gdb zgc:110826	GO:0002191; GO:0003723; GO:0005634; GO:0005737; GO:0005829; GO:0006446; GO:0008494; GO:0042802; GO:0062073
F1QJ75	F1QJ75	F1QJ75_DANRE	deleted		
Q58EK5	Q58EK5	TDRD1_DANRE	Tudor domain-containing protein 1	tdrd1 im:7155161	GO:0005737; GO:0007281; GO:0007283; GO:0030719; GO:0031047; GO:0034584; GO:0034587; GO:0043186; GO:0046872; GO:0051321; GO:0071514; GO:0071546
B8A668	B8A668	B8A668_DANRE	Calponin	si:dkey-121b10.6 cnn1a	GO:0005516; GO:0007015; GO:0015629; GO:0031032; GO:0051015
Q5BJJ2	A0A2R8Q924	A0A2R8Q924_DANRE	Ribosomal protein L3 (Rpl3 protein)	rpl3	GO:0003723; GO:0003735; GO:0006412; GO:0022625; GO:0031017
Q6PBK3	Q6PBK3	RS28_DANRE	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)	rps28 zgc:73367	GO:0000028; GO:0002181; GO:0003735; GO:0005730; GO:0022627; GO:0030490; GO:0032040; GO:0042274; GO:0042788; GO:0098556
Q6DHL6	Q6DHL6	Q6DHL6_DANRE	40S ribosomal protein S6	wu:fa92e06 wu:fb64g06 rps6 zgc:92237	GO:0003735; GO:0005840; GO:0006412; GO:1990904
Q642H9	Q642H9	RS4X_DANRE	Small ribosomal subunit protein eS4 (40S ribosomal protein S4, X isoform)	rps4x rps4 zgc:92076	GO:0003723; GO:0003735; GO:0005730; GO:0006412; GO:0007420; GO:0019843; GO:0022627; GO:0032040; GO:0042274; GO:0043009
Q8JHJ1	Q8JHJ1	RL35_DANRE	Large ribosomal subunit protein uL29 (60S ribosomal protein L35)	rpl35	GO:0000463; GO:0003729; GO:0003735; GO:0006412; GO:0022625; GO:0030218; GO:0043009; GO:0051726
P61485	P61485	RL36A_DANRE	Large ribosomal subunit protein eL42 (60S ribosomal protein L36a)	rpl36a	GO:0003735; GO:0006412; GO:0022625; GO:0043009; GO:0051726
Q90VX4	P61485	RL36A_DANRE	Large ribosomal subunit protein eL42 (60S ribosomal protein L36a)	rpl36a	GO:0003735; GO:0006412; GO:0022625; GO:0043009; GO:0051726
Q90VX4	P61487	RL36A_ICTPU	Large ribosomal subunit protein eL42 (60S ribosomal protein L36a)	rpl36a	GO:0003735; GO:0005737; GO:0005840; GO:0006412; GO:1990904
Q90VX4	P61486	RL36A_TAKRU	Large ribosomal subunit protein eL42 (60S ribosomal protein L36a) (60S ribosomal protein L44)	rpl36a rpl44	GO:0003735; GO:0005737; GO:0005840; GO:0006412; GO:1990904
B7ZD34	B7ZD34	B7ZD34_DANRE	40S ribosomal protein S24	wu:fa66b02 zgc:103596 zgc:109740 rps24	GO:0003735; GO:0006412; GO:0044391; GO:0060215; GO:0060216
Q7ZV82	Q7ZV82	RL27_DANRE	Large ribosomal subunit protein eL27 (60S ribosomal protein L27)	rpl27 zgc:56171	GO:0003735; GO:0006412; GO:0015934; GO:0022625; GO:0030218; GO:0098556
A8KB78	A8KB78	A8KB78_DANRE	Small ribosomal subunit protein uS12 (40S ribosomal protein S23)	rps23 zgc:171710	GO:0003735; GO:0005791; GO:0005840; GO:0006412; GO:0022627
Q6PC14	Q6PC14	RL23_DANRE	Large ribosomal subunit protein uL14 (60S ribosomal protein L23)	rpl23 zgc:73149	GO:0003735; GO:0006412; GO:0022625; GO:0070180
Q7ZWJ5	Q6PC14	RL23_DANRE	Large ribosomal subunit protein uL14 (60S ribosomal protein L23)	rpl23 zgc:73149	GO:0003735; GO:0006412; GO:0022625; GO:0070180
Q6PBI5	Q6PBI5	RS25_DANRE	Small ribosomal subunit protein eS25 (40S ribosomal protein S25)	rps25 zgc:73391	GO:0003735; GO:0022627
Q6PBZ1	Q6PBZ1	Q6PBZ1_DANRE	60S ribosomal protein L7a	wu:fa95b03 zgc:73183 zgc:86667 rpl7a DKEY-226M8.3-001	GO:0000470; GO:0003723; GO:0022625
Q24JV3	Q24JV3	Q24JV3_DANRE	Large ribosomal subunit protein eL31 (60S ribosomal protein L31)	zgc:136896 fe38a04 wu:fe38a04 rpl31	GO:0002181; GO:0003735; GO:0022625
Q8JGS9	Q8JGS9	RS18_DANRE	Small ribosomal subunit protein uS13 (40S ribosomal protein S18)	rps18 ke3	GO:0003735; GO:0005829; GO:0006412; GO:0015935; GO:0019843; GO:0051726
Q9IAC0	Q8JGS9	RS18_DANRE	Small ribosomal subunit protein uS13 (40S ribosomal protein S18)	rps18 ke3	GO:0003735; GO:0005829; GO:0006412; GO:0015935; GO:0019843; GO:0051726
Q6PBZ4	Q8JGR4	RL24_DANRE	Large ribosomal subunit protein eL24 (60S ribosomal protein L24)	rpl24	GO:0002181; GO:0003729; GO:0003735; GO:0022625; GO:0043009
Q8JGR4	Q8JGR4	RL24_DANRE	Large ribosomal subunit protein eL24 (60S ribosomal protein L24)	rpl24	GO:0002181; GO:0003729; GO:0003735; GO:0022625; GO:0043009
Q6NX89	Q6NX89	IF5A1_DANRE	Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1)	eif5a zgc:77099	GO:0003723; GO:0003743; GO:0003746; GO:0005634; GO:0005789; GO:0006414; GO:0043022; GO:0045901; GO:0045905
Q4VBV2	Q4VBV2	Q4VBV2_DANRE	40S ribosomal protein S27	wu:fa18f12 rps27.1 zgc:109888	GO:0000028; GO:0003723; GO:0003735; GO:0006412; GO:0022627; GO:0030218; GO:0046872
Q6IMW8	Q6IMW8	Q6IMW8_DANRE	60S ribosomal protein L39 (Ribosomal protein L39) (Zgc:92371)	zgc:92371 fb09f11 wu:fb09f11 rpl39	GO:0003735; GO:0006412; GO:0022625
Q6DGL0	Q6DGL0	Q6DGL0_DANRE	60S ribosomal protein L18 (Ribosomal protein L18) (Zgc:92872) (Zgc:92872 protein)	zgc:92872 fa98d03 wu:fa98d03 rpl18	GO:0003723; GO:0003735; GO:0006412; GO:0022625; GO:0043249
Q6P5M3	Q6P5M3	Q6P5M3_DANRE	Small ribosomal subunit protein uS4 (40S ribosomal protein S9)	hm:zeh0819 zgc:73129 zgc:77664 rps9	GO:0003735; GO:0006412; GO:0019843; GO:0022627; GO:0042274; GO:0043362
Q7ZV05	Q7ZV05	Q7ZV05_DANRE	Small ribosomal subunit protein uS17 (40S ribosomal protein S11)	wu:fa91c09 wu:fb34b11 zgc:56293 rps11	GO:0003735; GO:0006412; GO:0022627
Q1LWH1	Q1LWH1	Q1LWH1_DANRE	40S ribosomal protein S16 (Ribosomal protein S16) (Rps16 protein)	im:6906552 si:dkey-66d18.1 zgc:153404 rps16	GO:0000462; GO:0003723; GO:0003735; GO:0006412; GO:0022627
Q7ZUG5	Q7ZUG5	RS21_DANRE	Small ribosomal subunit protein eS21 (40S ribosomal protein S21)	rps21	GO:0000447; GO:0000461; GO:0002181; GO:0003735; GO:0005791; GO:0022627; GO:0042788
Q7ZV96	Q7ZV96	RL10_DANRE	Large ribosomal subunit protein uL16 (60S ribosomal protein L10) (Protein QM) (Ribosomal protein L10)	rpl10 QM	GO:0000027; GO:0003735; GO:0006412; GO:0006417; GO:0007420; GO:0022625; GO:0045182; GO:1990403
Q7ZW95	Q7ZW95	Q7ZW95_DANRE	60S ribosomal protein L4 (Ribosomal protein L4)	fa97a02 fl04b10 wu:fa97a02 wu:fa97c01 wu:fl04b10 zgc:56659 zgc:85693 rpl4 CH211-242M18.3-001	GO:0003723; GO:0003735; GO:0006412; GO:0022625
F1QG80	F1QG80	F1QG80_DANRE	Ribosomal protein L22	rpl22	GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005840; GO:0032991; GO:0033077; GO:0036002; GO:0060028; GO:1905744; GO:1990904
Q3B7P7	Q3B7P7	Q3B7P7_DANRE	Ubiquitin-ribosomal protein eL40 fusion protein	wu:fa91f08 zgc:123344 uba52	GO:0003735; GO:0005634; GO:0006412; GO:0016567; GO:0019941; GO:0022627; GO:0031386; GO:0031625
A0A0R4ILG7	Q567N5	Q567N5_DANRE	Large ribosomal subunit protein eL6 (60S ribosomal protein L6)	wu:fa93h05 wu:fb26a11 zgc:111805 rpl6	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0022625; GO:0031016; GO:0043009
Q567N5	Q567N5	Q567N5_DANRE	Large ribosomal subunit protein eL6 (60S ribosomal protein L6)	wu:fa93h05 wu:fb26a11 zgc:111805 rpl6	GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0022625; GO:0031016; GO:0043009
F1QGI3	F1QGI3	F1QGI3_DANRE	Ribosomal protein L23a	rpl23a	GO:0000027; GO:0003735; GO:0006412; GO:0019843; GO:0022625; GO:0031016; GO:0051726
Q90Z10	Q90Z10	RL13_DANRE	Large ribosomal subunit protein eL13 (60S ribosomal protein L13)	rpl13	GO:0003723; GO:0003735; GO:0006412; GO:0022625; GO:0048701; GO:0051726
Q6PC01	Q6PC01	Q6PC01_DANRE	40S ribosomal protein S30 (FAU ubiquitin-like and ribosomal protein S30 fusion a) (Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (Fox derived) ribosomal protein S30)	fau zgc:73171 faua	GO:0003735; GO:0005840; GO:0006412; GO:1990904
B0R085	Q5XJA5	HABP4_DANRE	Intracellular hyaluronan-binding protein 4	habp4 zgc:103482	GO:0003723; GO:0005634; GO:0005730; GO:0005737; GO:0010494; GO:0015030; GO:0016607; GO:0033120; GO:0043022; GO:0045948; GO:0061770; GO:0141014
Q7T1K0	Q7T1K0	Q7T1K0_DANRE	Large ribosomal subunit protein uL22 (60S ribosomal protein L17)	zgc:65996 fa91a06 wu:fa91a06 wu:fa99c06 rpl17	GO:0002181; GO:0003735; GO:0022625
Q6Q419	Q6Q419	Q6Q419_DANRE	Small ribosomal subunit protein uS14 (40S ribosomal protein S29)	zgc:113935 rps29	GO:0001525; GO:0001570; GO:0003735; GO:0006412; GO:0008270; GO:0022627; GO:0030218; GO:0043009; GO:0048821; GO:0051726; GO:0060218; GO:0072332
Q7ZUG6	Q7ZUG6	Q7ZUG6_DANRE	Large ribosomal subunit protein eL30 (60S ribosomal protein L30)	fa93d05 wu:fa93d05 zgc:56640 zgc:77683 rpl30	GO:0003723; GO:0003735; GO:0022625
A7YY10	A7YY10	A7YY10_DANRE	60S ribosomal protein L37a (Zgc:171772) (Zgc:171772 protein)	zgc:171772	GO:0003735; GO:0006412; GO:0022625
Q6Q415	Q6Q415	RL36_DANRE	Large ribosomal subunit protein eL36 (60S ribosomal protein L36)	rpl36	GO:0002181; GO:0003735; GO:0007420; GO:0022625; GO:0051726
Q6P0V6	Q6P0V6	RL8_DANRE	Large ribosomal subunit protein uL2 (60S ribosomal protein L8)	rpl8 zgc:73105	GO:0002181; GO:0003723; GO:0003735; GO:0019843; GO:0022625
Q1LYB7	Q1LYB7	Q1LYB7_DANRE	Large ribosomal subunit protein uL13 (60S ribosomal protein L13a)	rpl13a CH211-154E15.4-001	GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0017148; GO:0022625
Q6IMW6	Q6IMW6	Q6IMW6_DANRE	Small ribosomal subunit protein uS15 (40S ribosomal protein S13)	fd13f08 fb14f11 fd60g01 wu:fb14f11 wu:fd13f08 wu:fd60g01 zgc:91809 rps13	GO:0003735; GO:0005730; GO:0006412; GO:0022627; GO:0070181
Q5BKV9	Q5BKV9	Q5BKV9_DANRE	Large ribosomal subunit protein uL6 (60S ribosomal protein L9)	zgc:103730 ab02c03 fa93a01 mg:ab02c03 wu:fa93a01 rpl9	GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:1990904
Q6IQJ7	Q6IQJ7	Q6IQJ7_DANRE	Ribosomal protein L37	mg:cb02e11 wu:fb12c10 zgc:103581 zgc:86733 rpl37	GO:0003735; GO:0005739; GO:0006412; GO:0019843; GO:0022625; GO:0032981; GO:0033617; GO:0046872
Q6IQB1	Q6IQB1	Q6IQB1_DANRE	Ribosomal protein L5 (Ribosomal protein L5b)	fj02g05 rpl5 wu:fj02g05 zgc:86854 rpl5b	GO:0000027; GO:0003735; GO:0006412; GO:0008097; GO:0022625
Q1LVB1	Q7ZWJ4	RL18A_DANRE	Large ribosomal subunit protein eL20 (60S ribosomal protein L18a)	rpl18a zgc:56546	GO:0003735; GO:0006412; GO:0022625
Q7ZWJ4	Q7ZWJ4	RL18A_DANRE	Large ribosomal subunit protein eL20 (60S ribosomal protein L18a)	rpl18a zgc:56546	GO:0003735; GO:0006412; GO:0022625
Q7SXA1	Q7SXA1	Q7SXA1_DANRE	60S ribosomal protein L26 (ATPase H+ transporting V0 subunit e1) (Ribosomal protein L26) (Rpl26 protein)	atp6v0e1 hm:zehn2026 rpl26 wu:fa92f05 zgc:66190	GO:0002181; GO:0003723; GO:0003735; GO:0007634; GO:0022625; GO:0042273; GO:0060059
Q6Q421	Q6Q421	Q6Q421_DANRE	40S ribosomal protein S15	wu:fa93f04 wu:fa99b07 zgc:103714 zgc:92743 rps15	GO:0000028; GO:0003723; GO:0003735; GO:0006412; GO:0022627; GO:0043009
P62084	P62084	RS7_DANRE	Small ribosomal subunit protein eS7 (40S ribosomal protein S7)	rps7 zgc:73216	GO:0003735; GO:0005634; GO:0005815; GO:0006364; GO:0006412; GO:0022627; GO:0030097; GO:0032040; GO:0042274; GO:0043009; GO:0051726
O42248	O42248	GBLP_DANRE	Small ribosomal subunit protein RACK1 (Guanine nucleotide-binding protein subunit beta-2-like 1) (Receptor of activated protein kinase C) (RACK)	gnb2l1 rack1	GO:0001525; GO:0001934; GO:0005080; GO:0005634; GO:0005737; GO:0005829; GO:0005840; GO:0030178; GO:0032880; GO:0043022; GO:0045182; GO:0051302; GO:0060027; GO:0072344; GO:1990904; GO:2000114; GO:2000543
P62247	P62247	RS8_DANRE	Small ribosomal subunit protein eS8 (40S ribosomal protein S8)	rps8	GO:0000462; GO:0003735; GO:0005730; GO:0006412; GO:0016020; GO:0022627; GO:0032040; GO:0042274; GO:0043009; GO:0051726
Q6PBW3	Q6PBW3	Q6PBW3_DANRE	40S ribosomal protein S14 (Ribosomal protein S14)	fa92e08 wu:fa92e08 zgc:73215 rps14	GO:0000028; GO:0003735; GO:0006412; GO:0022627; GO:0043009; GO:0043249; GO:0048821
Q6DHS3	Q6DHS3	Q6DHS3_DANRE	Ribosomal protein L15	wu:fa92b05 zgc:92114 rpl15	GO:0002181; GO:0003723; GO:0003735; GO:0022625
F1QE85	Q6DGM0	Q6DGM0_DANRE	Large ribosomal subunit protein eL33 (60S ribosomal protein L35a)	zgc:92859 rpl35a	GO:0002181; GO:0003735; GO:0022625; GO:0030218; GO:0042273; GO:0043009
I3ITJ0	Q6DGM0	Q6DGM0_DANRE	Large ribosomal subunit protein eL33 (60S ribosomal protein L35a)	zgc:92859 rpl35a	GO:0002181; GO:0003735; GO:0022625; GO:0030218; GO:0042273; GO:0043009
Q6DGM0	Q6DGM0	Q6DGM0_DANRE	Large ribosomal subunit protein eL33 (60S ribosomal protein L35a)	zgc:92859 rpl35a	GO:0002181; GO:0003735; GO:0022625; GO:0030218; GO:0042273; GO:0043009
Q6DRK1	Q6P5L3	RL19_DANRE	Large ribosomal subunit protein eL19 (60S ribosomal protein L19)	rpl19 zgc:77733	GO:0003723; GO:0003735; GO:0006412; GO:0022625; GO:0030097
Q6P5L3	Q6P5L3	RL19_DANRE	Large ribosomal subunit protein eL19 (60S ribosomal protein L19)	rpl19 zgc:77733	GO:0003723; GO:0003735; GO:0006412; GO:0022625; GO:0030097
Q6PC80	Q6PC80	Q6PC80_DANRE	40S ribosomal protein S5 isoform X1 (Ribosomal protein S5)	chunp6933 fc74e05 fj57h03 wu:fc74e05 wu:fj57h03 rps5	GO:0000028; GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:0022627
Q8AW82	Q8AW82	Q8AW82_DANRE	Novel protein similar to human proliferation-associated 2G4 protein (PA2G4) (Proliferation-associated 2G4, a)	pa2g4 si:dz150i12.2 wu:fb19b11 wu:ft56d05 zgc:86732 pa2g4a dZ150I12.2-001	GO:0048856
Q6Q417	Q6Q417	Q6Q417_DANRE	60S ribosomal protein L7 (Ribosomal protein L7)	bb02h10 mg:bb02h10 wu:fa93c11 rpl7	GO:0000463; GO:0003723; GO:0003735; GO:0022625; GO:0051726
Q9I9N0	Q9I9N0	DAP1B_DANRE	Death-associated protein-like 1 homolog (Death-associated protein 1b)	dap1b zgc:136540	GO:0010507; GO:0030371; GO:0031369; GO:0034198; GO:0043022; GO:0070513; GO:0097190; GO:0141014
Q6TLG8	Q6TLG8	Q6TLG8_DANRE	deleted		
Q7ZWJ7	Q7ZWJ7	RL34_DANRE	Large ribosomal subunit protein eL34 (60S ribosomal protein L34)	rpl34	GO:0003735; GO:0005783; GO:0006412; GO:0022625
Q6DGL9	Q6DGL9	Q6DGL9_DANRE	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	si:dkey-1f1.2 wu:fb06b10 zgc:92860 rpl38	GO:0003735; GO:0006412; GO:0022618; GO:0022625; GO:0043009
Q24JV1	Q24JV1	Q24JV1_DANRE	60S ribosomal protein L32 (Ribosomal protein L32) (Zgc:136952)	zgc:136952 rpl32	GO:0003735; GO:0006412; GO:0022625
Q5BJA1	Q5BJA1	Q5BJA1_DANRE	Small ribosomal subunit protein eS17 (40S ribosomal protein S17)	zgc:114188	GO:0003735; GO:0005840; GO:0006412; GO:1990904
Q6P3J5	Q6P3J5	EF2_DANRE	Elongation factor 2b (EF-2) (EC 3.6.5.-)	eef2b zgc:63584	GO:0003746; GO:0003924; GO:0005525; GO:0005634; GO:0005829; GO:0006414; GO:0043009; GO:0043022; GO:0071466; GO:1990904
Q6DGL4	Q6DGL4	Q6DGL4_DANRE	60S ribosomal protein L29	rpl29 zgc:92868	GO:0002181; GO:0003735; GO:0022625
Q6Q420	Q6Q420	RS15A_DANRE	Small ribosomal subunit protein uS8 (40S ribosomal protein S15a)	rps15a	GO:0003735; GO:0005730; GO:0006412; GO:0007420; GO:0022627; GO:0030218; GO:0032040; GO:0042274; GO:0043009; GO:0051726
Q803F6	Q803F6	RSSA_DANRE	Small ribosomal subunit protein uS2 (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (40S ribosomal protein SA) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40)	rpsa lamr1	GO:0000028; GO:0002181; GO:0003735; GO:0005055; GO:0005634; GO:0005886; GO:0022627; GO:0043236
Q7T1J9	Q7T1J9	Q7T1J9_DANRE	40S ribosomal protein S10 (Ribosomal protein S10)	zgc:65936 zgc:85848 rps10	GO:0003723; GO:0003735; GO:0022627; GO:0048856
A8E526	A8E526	A8E526_DANRE	Large ribosomal subunit protein eL14 (60S ribosomal protein L14)	rpl14	GO:0003723; GO:0003735; GO:0006412; GO:0022625; GO:0042273
Q6PBY1	Q6PBY1	RS3A_DANRE	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a)	rps3a	GO:0003735; GO:0005730; GO:0005829; GO:0006412; GO:0022627; GO:0032040; GO:0042274; GO:0043009
A0A0R4IJ49	A0A0R4IJ49	A0A0R4IJ49_DANRE	Small ribosomal subunit protein eS19 (40S ribosomal protein S19)	rps19	GO:0000028; GO:0003723; GO:0003735; GO:0005840; GO:0006412; GO:0022627; GO:0030218; GO:0035284; GO:0042541; GO:0043009; GO:0045088; GO:0045646; GO:0048821; GO:0072332
A0A286YBP4	A0A286YBP4	A0A286YBP4_DANRE	Large ribosomal subunit protein eL28 (60S ribosomal protein L28)	rpl28	GO:0003735; GO:0006412; GO:0022625; GO:0043009
Q6IQI6	Q6IQI6	Q6IQI6_DANRE	Large ribosomal subunit protein uL5 (60S ribosomal protein L11)	zgc:86748 rpl11	GO:0003723; GO:0003735; GO:0006412; GO:0006915; GO:0022625; GO:0030097; GO:0030218; GO:0042541; GO:0042593; GO:0043009; GO:0045088; GO:0048821
Q6IQQ0	Q6IQQ0	Q6IQQ0_DANRE	60S ribosomal protein L21	wu:fb13h07 wu:fc74e02 zgc:86669 rpl21	GO:0003735; GO:0006412; GO:0022625
Q6P6E2	Q6P6E2	Q6P6E2_DANRE	40S ribosomal protein S26	wu:fa91f03 zgc:77927 rps26	GO:0003729; GO:0003735; GO:0006412; GO:0022627
Q6NWC3	Q6NWC3	Q6NWC3_DANRE	Small ribosomal subunit protein uS5 (40S ribosomal protein S2)	fc94f01 ik:tdsubc_2h2 rps2e tdsubc_2h2 wu:fb10e01 wu:fc94f01 wu:fj09b04 xx:tdsubc_2h2 zgc:85824 rps2	GO:0003723; GO:0003735; GO:0006412; GO:0022627
Q803J2	Q803J2	Q803J2_DANRE	Ube2n protein (Ubiquitin-conjugating enzyme E2 N (EC 6.3.2.19)) (Ubiquitin-conjugating enzyme E2N) (Ubiquitin-conjugating enzyme E2Na)	ube2n wu:fb11b03 wu:fc08b06 zgc:55726 ube2na CH211-276P10.3-001	GO:0000209; GO:0005524; GO:0005634; GO:0006301; GO:0006974; GO:0061631; GO:0070534
Q1MTB3	Q6IWL4	TRAF6_DANRE	TNF receptor-associated factor 6 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRAF6) (RING-type E3 ubiquitin transferase TRAF6)	traf6 si:dkey-56p7.3 zgc:63704	GO:0004842; GO:0005164; GO:0005634; GO:0005811; GO:0005938; GO:0008270; GO:0009615; GO:0009617; GO:0031625; GO:0032813; GO:0033209; GO:0038061; GO:0042981; GO:0043122; GO:0045087; GO:0045893; GO:0046330; GO:0051092; GO:0061630; GO:0070498; GO:0070534
