string_protein_id	preferred_name	protein_size	annotation
224308.BSU00200	yaaK	107	DNA binding protein; Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection.
224308.BSU00210	recR	198	DNA repair and recombination protein; May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO.
224308.BSU00220	yaaL	74	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU00230	bofA	87	Inhibitor of the pro-sigma(K) processing machinery; Involved in the mediation of the intercompartmental coupling of pro-sigma K processing to events in the forespore. Inhibits SpoIVFB- processing activity until a signal has been received from the forespore. Could inhibit SpoIVFB metalloprotease activity by coordinating a zinc in the SpoIVFB active site, preventing access of a water molecule and the sequence of pro-sigma K, which are necessary for peptide bond hydrolysis to produce sigma-K.
224308.BSU00240	csfB	64	Forespore-specific anti-sigma factor; An anti-sigma-G factor, prevents premature activation of sigma-G factor in the forespore; overexpression leads to 1000-fold reduction in spore formation, spore formation stops after engulfment. Overexpression also inhibits sigma- G transcription activation activity. When both Gin and sigma-G are expressed in E.coli Gin inhibits sigma-G, strongly suggesting Gin inhibits by direct physical interaction.
224308.BSU00250	xpaC	204	Putative phosphatase; In double copy it causes aberrant cell morphology, filamentation and inhibits sporulation. Hydrolyzes 5-bromo-4- chloroindolyl phosphate.
224308.BSU00260	yaaN	386	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function; PubMedId: 12533473; Belongs to the TelA family.
224308.BSU00270	yaaO	480	Putative decarboxylase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU00280	tmk	212	Thymidylate kinase; Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis; Belongs to the thymidylate kinase family.
224308.BSU00290	yaaQ	109	Conserved hypothetical protein; Binds cyclic di-AMP (c-di-AMP) and is probably involved in c- di-AMP-mediated signaling pathways. In vitro, can also bind cyclic GMP- AMP (3'3'-cGAMP), with lower affinity, but not c-di-GMP or 2'3'-cGAMP.
224308.BSU00300	yaaR	146	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU00310	holB	329	DNA polymerase III delta' subunit; DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria.
224308.BSU00320	yaaT	275	Conserved hypothetical protein; Essential for the phosphorelay during initiation of sporulation. May control the level of phosphorylated spo0A through spo0E activity during sporulation.
224308.BSU00330	dnaH	119	Subunit of the DNA replication complex; Involved in initiation control of chromosome replication.
224308.BSU00340	yabB	247	Putative methyltransferase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU00350	yazA	99	Putative UvrC-Intron-type (URI) endonuclease; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; putative enzyme; Belongs to the UPF0213 family.
224308.BSU00360	rsmI	292	Ribosomal RNA small subunit methyltransferase I; Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA.
224308.BSU00370	abrB	96	Transcriptional regulator for transition state genes; Ambiactive repressor and activator of the transcription of genes expressed during the transition state between vegetative growth and the onset of stationary phase and sporulation. It controls the expression of genes spovG and tycA. AbrB binds to the tycA promoter region at two A- and T-rich sites, it may be the sole repressor of tycA transcription; To B.subtilis Abh and SpoVT.
224308.BSU00380	metS	664	methionyl-tRNA synthetase; Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation; Belongs to the class-I aminoacyl-tRNA synthetase family. MetG type 2B subfamily.
224308.BSU00390	yabD	255	Metal-dependent DNase; Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; enzyme.
224308.BSU00400	yabE	437	Putative cell wall shaping enzyme; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU00410	rnmV	186	Ribonuclease M5; Required for correct processing of both the 5' and 3' ends of 5S rRNA precursor. Cleaves both sides of a double-stranded region yielding mature 5S rRNA in one step. Releases 5'-phosphoryl and 3'- hydroxy termini.
224308.BSU00420	ksgA	292	Dimethyladenosine 16S ribosomal RNA transferase; Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits; Belongs to the class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family. RsmA subfamily.
224308.BSU00430	yabG	290	Sporulation-specific protease; Cleaves the spore coat proteins SpoIVA and SafA. May cooperate with tgl to mediate the temperature-dependent cross-linking of coat proteins like GerQ.
224308.BSU00440	veg	86	Conserved hypothetical protein; Stimulates biofilm formation via transcriptional activation of extracellular matrix genes. Acts by repressing SinR activity, independently of the SinI, SlrA and SlrR pathways. Could also be involved in the regulation of other genes during biofilm and spore formation.
224308.BSU00450	sspF	61	Small acid-soluble spore protein (alpha/beta-type SASP); May play some important role in either sporulation or the dormant spore.
224308.BSU00460	ispE	289	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase; Catalyzes the phosphorylation of the position 2 hydroxy group of 4-diphosphocytidyl-2C-methyl-D-erythritol.
224308.BSU00470	purR	285	Transcriptional regulator of the purine biosynthesis operon; Controls the transcription of the pur operon for purine biosynthetic genes, binds to the control region of the operon. DNA binding is inhibited by 5-phosphoribosyl 1-pyrophosphate; Belongs to the purine/pyrimidine phosphoribosyltransferase family.
224308.BSU00480	yabJ	125	Aminoacrylate/iminopropionate hydrolase/deaminase; Accelerates the release of ammonia from reactive enamine/imine intermediates of the PLP-dependent threonine dehydratase (IlvA) in the low water environment of the cell. It catalyzes the deamination of enamine/imine intermediates to yield 2-ketobutyrate and ammonia. It is required for the detoxification of reactive intermediates of IlvA due to their highly nucleophilic abilities. Involved in the isoleucine biosynthesis. May have a role in the purine metabolism; Belongs to the RutC family.
224308.BSU00490	spoVG	97	Regulator required for spore cortex synthesis (stage V sporulation); Essential for sporulation. Interferes with or is a negative regulator of the pathway leading to asymmetric septation. Belongs to the SpoVG family.
224308.BSU00500	gcaD	456	Bifunctional glucosamine-1-phosphate N-acetyltransferase/UDP-N-acetylglucosamine pyrophosphorylase; Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP-GlcNAc). The C- terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N- acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5-monophosphate (from uridine 5- triphosphate), a reaction catalyzed by the N-terminal domain. In the C-terminal section; belon [...] 
224308.BSU00510	prs	317	Phosphoribosylpyrophosphate synthetase; Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib- 5-P).
224308.BSU00520	ctc	204	Ribosomal protein Ctc, binding 5S RNA; Not required for exponential growth; probably functions in vegetatively growing cells, maybe required for accurate translation under stress conditions.
224308.BSU00530	pth	188	peptidyl-tRNA hydrolase; The natural substrate for this enzyme may be peptidyl-tRNAs which drop off the ribosome during protein synthesis. Belongs to the PTH family.
224308.BSU00540	fin	76	Protein required for the switch from F to G during sporulation (anti sigma F); An anti-sigma factor for sporulation specific sigma-F factor, by antagonizing sigma-F it allows the switch to sigma-G factor and progression to the late sporulation development stages. Might stabilize or process Holliday junction intermediates, although this may be due to polar effects on the downstream mfd gene.
224308.BSU00550	mfd	1177	Transcription-repair coupling factor; Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site; In the N-terminal section; belongs to the UvrB family.
224308.BSU00560	spoVT	178	Transcriptional regulator; Transcriptional factor that regulates positively or negatively the expression of a large number of forespore-specific sigma G-dependent genes. May provide a mechanism of feedback control that is important for forespore development. SpoVT levels during spore formation have a major impact on the germination and the resistance of the resultant spores. To B.subtilis AbrB and Abh.
224308.BSU00570	yabM	532	Putative exporter; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pt: putative transporter.
224308.BSU00580	yabN	489	Putative fusion methylase and nucleotide pyrophosphohydrolase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; putative enzyme.
224308.BSU00590	hslR	86	Ribosomal RNA binding protein involved in 50S recycling; Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; factor.
224308.BSU00600	yabP	100	Spore protein involved in the shaping of the spore coat; Required for sporulation.
224308.BSU00610	yabQ	211	Membrane protein of the forespore; Required for sporulation. Plays an important role in cortex and coat formation.
224308.BSU00620	divIC	125	Cell-division initiation protein; Required for vegetative and sporulation septum formation. Required for the activation of genes expressed under the control of the sporulation transcription factors sigma F and sigma E.
224308.BSU00630	yabR	128	Putative RNA degradation protein; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme; Belongs to the peptidase U57 family.
224308.BSU00640	spoIIE	827	SpoIIAA-phosphate serine phosphatase; Normally needed for pro-sigma E processing during sporulation but can be bypassed in vegetative cells. Activates SpoIIAA by dephosphorylation.
224308.BSU00650	yabS	245	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU00660	yabT	338	Putative serine/threonine-protein kinase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pe: putative enzyme.
224308.BSU00670	tilS	472	tRNAile lysidine synthetase; Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine. Belongs to the tRNA(Ile)-lysidine synthase family.
224308.BSU00680	hprT	180	Hypoxanthine-guanine phosphoribosyltransferase; Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; Product type e: enzyme.
224308.BSU00690	ftsH	637	Cell-division protein and general stress protein (class III heat-shock); Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins; In the central section; belongs to the AAA ATPase family.
224308.BSU00700	coaX	258	Pantothenate kinase; Catalyzes the phosphorylation of pantothenate (Pan), the first step in CoA biosynthesis. Cannot utilize a phosphoryl donor other than ATP; Belongs to the type III pantothenate kinase family.
224308.BSU00710	hslO	291	Disulfide bond chaperone (heat shock protein HSP33); Redox regulated molecular chaperone. Protects both thermally unfolding and oxidatively damaged proteins from irreversible aggregation. Plays an important role in the bacterial defense system toward oxidative stress.
224308.BSU00720	yacD	297	Putative protein secretion PrsA homolog; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pf: putative factor.
224308.BSU00730	cysK	308	Cysteine synthase; Catalyzes the conversion of O-acetylserine to cysteine. Also acts as a sensor of cysteine availability in the signal transduction pathway modulating CymR activity. When cysteine is present, the pool of O-acetylserine (OAS) is low, which leads to the formation of a CymR- CysK complex and transcriptional repression of the CymR regulon occurs. In the absence of cysteine, the OAS pool is high and the CymR-CysK complex is mostly dissociated, leading to a faster dissociation of CymR from its DNA targets and the lifting of CymR-dependent repression.
224308.BSU00740	pabB	470	4-amino-4-deoxychorismate synthase (para-aminobenzoate synthase); Part of a heterodimeric complex that catalyzes the two-step biosynthesis of 4-amino-4-deoxychorismate (ADC), a precursor of p- aminobenzoate (PABA) and tetrahydrofolate. In the first step, a glutamine amidotransferase (PabA) generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by aminodeoxychorismate synthase (PabB) to produce ADC.
224308.BSU00750	pabA	194	4-amino-4-deoxychorismate synthase; Part of a heterodimeric complex that catalyzes the two-step biosynthesis of 4-amino-4-deoxychorismate (ADC), a precursor of p- aminobenzoate (PABA) and tetrahydrofolate. In the first step, a glutamine amidotransferase (PabA) generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by aminodeoxychorismate synthase (PabB) to produce ADC. PabA converts glutamine into glutamate only in the presence of stoichiometric amounts of PabB. Also involved in the biosynthesis of anthranilate.
224308.BSU00760	pabC	293	4-amino-4-deoxychorismate pyruvate-lyase; Involved in the biosynthesis of p-aminobenzoate (PABA), a precursor of tetrahydrofolate. Converts 4-amino-4-deoxychorismate into 4-aminobenzoate (PABA) and pyruvate (By similarity).
224308.BSU00770	folP	285	Dihydropteroate synthase; Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8- dihydropteroate (H2Pte), the immediate precursor of folate derivatives. Belongs to the DHPS family.
224308.BSU00780	folB	120	Dihydroneopterin aldolase; Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin.
224308.BSU00790	folK	167	7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase; Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; Product type e: enzyme; Belongs to the HPPK family.
224308.BSU00800	yazB	69	Putative transcriptional regulator; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; Product type pr: putative regulator.
224308.BSU00810	dusB	333	tRNA-dihydrouridine synthase B; Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines; Belongs to the Dus family.
224308.BSU00820	lysS	499	lysyl-tRNA synthetase; Evidence 1a: Function experimentally demonstrated in the studied strain; Product type e: enzyme; Belongs to the class-II aminoacyl-tRNA synthetase family.
224308.BSU00830	ctsR	154	Transcriptional regulator; Controls the expression of the cellular protein quality control genes clpC, clpE and clpP, as well as mcsA and mcsB. Acts as a repressor of these class III stress genes by binding to a directly repeated heptanucleotide operator sequence (A/GGTCAAA NAN A/GGTCAAA). After heat shock, CtsR is degraded by the ClpCP and ClpEP proteolytic systems, ensuring the derepression of clpE, clpP and the clpC operon. CtsR negatively autoregulates its own synthesis.
224308.BSU00840	mcsA	185	Activator of protein kinase McsB; Activates the phosphorylation activity of the protein- arginine kinase McsB. Is required for the delocalization of competence proteins from the cell poles.
224308.BSU00850	mcsB	363	Protein tyrosine kinase; Catalyzes the specific phosphorylation of arginine residues in a large number of proteins. Is part of the bacterial stress response system, where it is involved in regulating the global heat shock repressor CtsR; phosphorylates arginine residues in the winged helix- turn-helix domain of CtsR, thereby preventing its binding to DNA and consequently inducing the expression of repressed genes. The transcriptional repressor HrcA, the chaperone GroEL, the unfoldase ClpC, together with several ribosomal subunits, represent other physiological targets of McsB under str [...] 
224308.BSU00860	clpC	810	Class III stress response-related ATPase, AAA+ superfamily; Competence gene repressor; required for cell growth at high temperature. Negative regulator of comK expression. May interact with MecA to negatively regulate comK; Belongs to the ClpA/ClpB family. ClpC subfamily.
224308.BSU00870	radA	458	DNA repair protein; DNA-dependent ATPase involved in processing of recombination intermediates, plays a role in repairing DNA breaks. Stimulates the branch migration of RecA-mediated strand transfer reactions, allowing the 3' invading strand to extend heteroduplex DNA faster. Binds ssDNA in the presence of ADP but not other nucleotides, has ATPase activity that is stimulated by ssDNA and various branched DNA structures, but inhibited by SSB. Does not have RecA's homology-searching function.
224308.BSU00880	disA	360	Diadenylate cyclase; Participates in a DNA-damage check-point that is active prior to asymmetric division when DNA is damaged. Forms globular foci that rapidly scan along the chromosomes during sporulation, searching for lesions. Its ability to scan through the chromosome rapidly is due to its non-specific DNA- binding. When a lesion is present, DisA pauses at the lesion site. This triggers a cellular response that culminates in a temporary block in sporulation initiation. It is required, at least partially, to inhibit the activity of the transcription factor spo0A, which controls, amo [...] 
224308.BSU00890	yacL	366	Putative membrane protein; An RNase; In the central section; belongs to the PINc/VapC protein family.
224308.BSU00900	ispD	232	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, nonmevalonate isoprenoid pathway; Catalyzes the formation of 4-diphosphocytidyl-2-C-methyl-D- erythritol from CTP and 2-C-methyl-D-erythritol 4-phosphate (MEP).
224308.BSU00910	ispF	158	2-C-methyl-D-erythritol-2,4-cyclodiphosphate synthase; Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4-diphosphocytidyl-2- C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP); Belongs to the IspF family.
224308.BSU00920	gltX	483	glutamyl-tRNA synthetase; Catalyzes the attachment of glutamate to tRNA(Glu) in a two- step reaction: glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu).
224308.BSU00930	cysE	217	Serine acetyltransferase; Catalyzes the acetylation of serine by acetyl-CoA to produce O-acetylserine (OAS).
224308.BSU00940	cysS	466	cysteinyl-tRNA synthetase; Evidence 1a: Function experimentally demonstrated in the studied strain; Product type e: enzyme; Belongs to the class-I aminoacyl-tRNA synthetase family.
224308.BSU00950	mrnC	143	Ribonuclease for 23S RNA maturation; Involved in correct processing of both the 5' and 3' ends of 23S rRNA precursor. Processes 30S rRNA precursor transcript even in absence of ribonuclease 3 (Rnc); Rnc processes 30S rRNA into smaller rRNA precursors. Cleaves more efficiently on assembled 50S ribosomal subunits. Cleavage is strongly stimulated by ribosomal protein L3 (RplC); 20-30% DMSO can replace RplC, suggesting RplC may alter rRNA conformation.
224308.BSU00960	rlmB	249	23S rRNA methyltransferase; Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; Product type e: enzyme; Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family.
224308.BSU00970	yacP	170	Putative ribonuclease with PIN and NYN domains; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; putative enzyme.
224308.BSU00980	sigH	218	RNA polymerase sigma-30 factor (sigma(H)); Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released. This sigma factor is involved in the transition to post- exponential phase in the beginning of sporulation. It is also required for transcription of several stationary phase genes.
224308.BSU00990	rpmGB	49	Ribosomal protein L33; Plays a role in sporulation at high temperatures.
224308.BSU01000	secE	59	Preprotein translocase subunit; Essential subunit of the Sec protein translocation channel SecYEG. Clamps together the 2 halves of SecY. May contact the channel plug during translocation.
224308.BSU01010	nusG	177	Transcription antitermination factor; Participates in transcription elongation, termination and antitermination. Stimulates RNA polymerase pausing at U107 and U144 in the trp leader. NusG-stimulated pausing is sequence specific. Does not affect trp leader termination.
224308.BSU01020	rplK	141	Ribosomal protein L11 (BL11); Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors; Belongs to the universal ribosomal protein uL11 family.
224308.BSU01030	rplA	232	Ribosomal protein L1 (BL1); Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release. Belongs to the universal ribosomal protein uL1 family.
224308.BSU01040	rplJ	166	Ribosomal protein L10 (BL5); Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors (such as IF-2, EF-Tu, EF-G and RF3).
224308.BSU01050	rplL	123	Ribosomal protein L12 (BL9); Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation.
224308.BSU01060	ybxB	201	Ribosomal RNA methyltransferase; Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism; Product type e: enzyme; Belongs to the methyltransferase superfamily.
224308.BSU01070	rpoB	1193	RNA polymerase (beta subunit); DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates.
224308.BSU01080	rpoC	1199	RNA polymerase (beta' subunit); DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates.
224308.BSU01090	rplGB	82	Alternative ribosomal protein L7A; RNA-binding protein that recognizes the K-turn motif present in ribosomal RNA, but also in box C/D and box C'/D' sRNAs. Belongs to the eukaryotic ribosomal protein eL8 family.
224308.BSU01100	rpsL	138	Ribosomal protein S12 (BS12); With S4 and S5 plays an important role in translational accuracy.
224308.BSU01110	rpsG	156	Ribosomal protein S7 (BS7); One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA; Belongs to the universal ribosomal protein uS7 family.
224308.BSU01120	fusA	692	Elongation factor G; Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity).
224308.BSU01130	tufA	396	Elongation factor Tu; This protein promotes the GTP-dependent binding of aminoacyl- tRNA to the A-site of ribosomes during protein biosynthesis.
224308.BSU01140	ybaC	318	Putative proline iminopeptidase; Probable aminopeptidase.
224308.BSU01150	rpsJ	102	Ribosomal protein S10 (BS13); Involved in the binding of tRNA to the ribosomes. Belongs to the universal ribosomal protein uS10 family.
224308.BSU01160	rplC	209	Ribosomal protein L3 (BL3); One of the primary rRNA binding proteins, it binds directly near the 3'-end of the 23S rRNA, where it nucleates assembly of the 50S subunit (By similarity). Strongly stimulates 23S rRNA precursor processing by mini-ribonuclease 3 (MrnC); 20-30% DMSO can replace L3, suggesting the protein may alter rRNA conformation; Belongs to the universal ribosomal protein uL3 family.
224308.BSU01170	rplD	207	Ribosomal protein L4; One of the primary rRNA binding proteins, this protein initially binds near the 5'-end of the 23S rRNA. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome.
224308.BSU01180	rplW	95	Ribosomal protein L23; One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome; Belongs to the universal ribosomal protein uL23 family.
224308.BSU01190	rplB	277	Ribosomal protein L2 (BL2); One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity; this is somewhat controversial. Makes several contacts with the 16S rRNA in the 70S ribosome. Belongs to the universal ribosomal protein uL2 family.
