id	locus	title	strain	description	mw	pI	proteinLength	geneLength	function	product	essential	ec	synonyms	outlinks->bsu	outlinks->bsupath	outlinks->uniprot	outlinks->subtilist	Gene->Coordinates	cog
0136394A52759CEEDD8DE074ED74033C6FFB8435	BSU_15940	smc	168	part of the [wiki|condensin] complex, chromosomal origin condensation and segregation SMC protein	135.289	5.27	1186	3561	segregation of replication origins	chromosome condensation and segregation SMC protein	yes		smc, ylqA	BSU_15940	smc_1666560_1670120_1	P51834	gene_detail BG11538	1,666,560  1,670,120	COG1196
0136476AEE2DA2C7DC6A7C2612B30067AFBC882A	new_839233_839338_c	S266	168	new RNA feature, intergenic region	0	0		106		intergenic region		null	S266	new_839233_839338_c	S266_839233_839338_-1			839,233 → 839,338	
013BFEC4A381555841F45AD4259A8C061E58FCEC	new_3509781_3509830_c	S1307	168	new RNA feature, 3'UTR of lutR	0	0		50		3'UTR of lutR		null	S1307	new_3509781_3509830_c				3,509,781 → 3,509,830	
01406A168C37FCC9C5950D204F0F3887BFE9CDA6	new_2161801_2162107_c	S768	168	new RNA feature, intergenic region	0	0		307		intergenic region		null	S768	new_2161801_2162107_c				2,161,801 → 2,162,107	
01412FA454DDBA12622E3B32C433F8059123661B	BSU_00240	csfB	168	anti-sigma factor, inhibitor of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] and of [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]]	7.3026	7.67	64	195	control of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] and [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]] activity	inhibitor of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] and [[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]]	no		csfB, gin, yaaM	BSU_00240	csfB_35531_35725_1	P37534	gene_detail BG10088	35,531  35,725	COG5865
01419E9D0CB49D8683A6C3D3CD0074D5A150487C	BSU_09780	yheC	168	ATP-binding spore coat protein	41.7118	9.22	363	1092	unknown	ATP-binding spore coat protein	no		yheC	BSU_09780	yheC_1052162_1053253_-1	O07544	gene_detail BG13035	1,052,162  1,053,253	COG5891
014FBE45EDF28C4F89386D827EE1DC18A537EB04	new_1571801_1571902_c	S551	168	new RNA feature, 5'UTR of ylbJ	0	0		102		5'UTR of ylbJ		null	S551	new_1571801_1571902_c				1,571,801 → 1,571,902	
015989AAB862E418C944AB35DA3605863F059CE9	BSU_31670	yuxO	168	similar to thioesterase	13.6356	6.47	126	381	unknown	unknown	no		yuxO, srfB	BSU_31670	yuxO_3252405_3252785_-1	P14205	gene_detail BG10382	3,252,405  3,252,785	COG2050
0164C052E3D5AD83035A66E547D801CF4E16B22C	BSU_31730	yuzC	168	spore coat protein	14.0472	10.72	122	369	protection of the spore	spore coat protein	no	null	yuzC	BSU_31730	yuzC_3257693_3258061_1	O32089	gene_detail+BG14052	3,257,693  3,258,061	COG5898
017A57F27DD8E515242FB658A61E74C1D58273CC	BSU_13850	pfeT	168	Fe<sup>2+</sup> efflux pump, P<sub>1B4</sub>-type ATPase, protects the cell against iron intoxication	68.3859	4.93	637	1914	protection against toxic iron	Fe<sup>2+</sup> efflux pump	no	3.6.3.5	pfeT, ykvW, zosA	BSU_13850	zosA_1451371_1453284_1	O31688	gene_detail BG13325	1,451,371  1,453,284	COG2217
0185343269B1A5523F0660C74E685F414E60375D	new_1900515_1901611	S640	168	new RNA feature, intergenic region	0	0		1097		intergenic region		null	S640	new_1900515_1901611	S640_1900515_1901611_1			1,900,515 → 1,901,611	
018C3EC5DE4F85EE96593F9C2B6C7D7D1F7251F0	BSU_25565	BSU_25565	168																
018E9DEFC7BF236E0163D1945FC7AD07531063E8	BSU_13360	ykoP	168	unknown	21.4677	10.37	183	552	unknown	unknown	no		ykoP	BSU_13360	ykoP_1400188_1400739_1	O34495	gene_detail BG13260	1,400,188  1,400,739	
01946B5ADB1B4625A5C0ABF20A9B0B9A7CB0C3E6	new_1570575_1571849	S550	168	new RNA feature, intergenic region	0	0		1275		intergenic region		null	S550	new_1570575_1571849	S550_1570575_1571849_1			1,570,575 → 1,571,849	
0197A037D2AF049B295E1DA60187D4614B2BAC51	BSU_15560	pyrE	168	orotate phosphoribosyltransferase	23.3751	5.63	216	651	pyrimidine biosynthesis	orotate phosphoribosyltransferase	no	2.4.2.10	pyrE, pyrX	BSU_15560	pyrE_1629320_1629970_1	P25972	gene_detail+BG10720	1,629,320  1,629,970	COG0461
019C077F1EC2449201CCE06DA6B183E1C1AEA240	new_3495702_3495768_c	S1306	168	new RNA feature, 5'UTR of lutA	0	0		67		5'UTR of lutA		null	S1306	new_3495702_3495768_c				3,495,702 → 3,495,768	
01AC4E8F76170E04A215C20EB6E833D3661EA49F	BSU_12110	yjfA	168	unknown	16.7367	9.49	157	474	unknown	unknown	no	null	yjfA	BSU_12110	yjfA_1282571_1283044_-1	O34554	gene_detail+BG13185	1,282,571  1,283,044	
01AED5A49ABB201EA97AA14995FCEEE1E6C75B56	BSU_28475	lysCB	168																COG0527
01B7BBC2142D54820FECA8456B49C32E20AACAC6	new_667383_667465	S220	168	new RNA feature, 5'UTR of gutB	0	0		83		5'UTR of gutB		null	S220	new_667383_667465	S220_667383_667465_1			667,383 → 667,465	
01BE35FB190DDC77BE19C013A8E0D980B132CBE1	BSU_20830	yopN	168	involved in controlling lysis/lysogeny in the SP beta phage	11.9932	7.43	105	318	control of lysis/lysogeny in the SP beta phage	unknown	no	null	yopN	BSU_20830	yopN_2208008_2208325_-1	P68581	gene_detail+BG13647	2,208,008  2,208,325	
01C43D05A53BF4B0F505D9C9CCAAFA1AF9E94F87	BSU_12170	forE1	168	essential subunit of formate:menadione oxidoreductase [[protein|E54F39E72DC4881E886159607C2B424A41DE0D01]]-[[protein|01C43D05A53BF4B0F505D9C9CCAAFA1AF9E94F87]], general stress protein, survival of ethanol and paraquat stresses	21.1264	6.72	186	561	survival of stress conditions	partner subunit of formate:menadione oxidoreductase [[protein|E54F39E72DC4881E886159607C2B424A41DE0D01]]-[[protein|01C43D05A53BF4B0F505D9C9CCAAFA1AF9E94F87]]	no	null	yjgD	BSU_12170	yjgD_1288541_1289101_1	O34681	gene_detail+BG13191	1,288,541  1,289,101	COG2427
01C7486AFE6598630BCD0E5327CA03C3F437CCCE	new_926651_926919_c	S289	168	new RNA feature, independent transcript	0	0		269		independent transcript		null	S289	new_926651_926919_c	S289_926651_926919_-1			926,651 → 926,919	
01CE4BBBEB0C0855201D396FB8036F72B64EA7DD	BSU_04430	ydbD	168	general stress protein, similar to manganese-containing catalase	30.1058	4.86	273	822	survival of ethanol stress	unknown	no		ydbD	BSU_04430	ydbD_495740_496561_-1	P80878	gene_detail BG12071	495,740  496,561	COG3546
01E26F18E410323F1DE1FAD2D1C15FBB53C072B3	BSU_21340	yomJ	168	similar to phage-related immunity protein	25.0874	6.1	227	684	unknown	unknown	no	null	yomJ, d-gene	BSU_21340	yomJ_2248417_2249100_1	O31975	gene_detail+BG13597	2,248,417  2,249,100	
01EF886D3D004EA9B22AC5E75D50FF07D8631E68	BSU_00560	spoVT	168	transcription activator and repressor of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]]-dependent genes	19.598	4.68	178	537	regulation of forespore gene expression	transcriptional regulator	no		spoVT, yabL	BSU_00560	spoVT_64099_64635_1	P37554	gene_detail BG10119	64,099 64,635	COG5845
020DBB58794BF6C450E9A654719E62B2D3B10F04	BSU_10480	yhjE	168	DedA superfamily member (COG0398), putative lipid transporter	23.1855	10.35	207	624	unknown	unknown	no	null	yhjE	BSU_10480	yhjE_1121550_1122173_1	O07559	gene_detail+BG13072	1,121,550  1,122,173	COG0398
0219624A8C4BC3394E2EF8A38C90E265DF04EF77	BSU_13290	ykzD	168	unknown	5.2812	4.19	45	138	unknown	unknown	no		ykzD	BSU_13290	ykzD_1395371_1395508_1	O34405	gene_detail+BG13332	1,395,371  1,395,508	
021A4E651903FFEFF8FDDB5AC4028ADBCFF05A0C	new_1923125_1923233	S663	168	new RNA feature, 5'UTR of ccdA	0	0		109		5'UTR of ccdA		null	S663	new_1923125_1923233	S663_1923125_1923233_1			1,923,125 → 1,923,233	
02216407B5EDB98FAF611E22B2323C819B9D58BB	BSU_26330	yqdA	168	unknown, skin element	5.1838	10.2	46	141	unknown	unknown	no	null	yqdA, yqcS	BSU_26330	yqdA_2698316_2698456_-1	P54372	gene_detail+BG11508	2,698,316  2,698,456	
0223C0E6F775D2D1963465DBCFA2D4EF20E30B87	new_2749037_2749259	S1013	168	new RNA feature, 5'UTR of yraL	0	0		223		5'UTR of yraL		null	S1013	new_2749037_2749259	S1013_2749037_2749259_1			2,749,037 → 2,749,259	
02269068E6E4282A32BB5AE0FAE27F104202E5B5	BSU_19020	yobN	168	similar to L-amino acid oxidase	50.4655	7.04	446	1341	unknown	unknown	no	1.4.3.2	yobN	BSU_19020	yobN_2074439_2075779_1	O34363	gene_detail+BG13506	2,074,439  2,075,779	COG1231
022933D89666CDD2ACE39BCBB78D349BAF8E899B	BSU_10730	yisI	168	[[protein|2C54FE2ADC82FF414D732018C90649D477A925AD]]-P phosphatase, control of the [wiki|phosphorelay]	6.5366	5.12	56	171	control of [wiki|sporulation] initiation	[[protein|2C54FE2ADC82FF414D732018C90649D477A925AD]]-P phosphatase	no		yisI	BSU_10730	yisI_1150850_1151020_-1	O06722	gene_detail BG13096	1,150,850  1,151,020	COG5804
023E4A5CEB174ABE3DA1334447A870156B8715AC	new_3208192_3208279_c	S1190	168	new RNA feature, intergenic region	0	0		88		intergenic region		null	S1190	new_3208192_3208279_c				3,208,192 → 3,208,279	
024C8AD63280696AA933581F55A6206E46B75A58	new_1192592_1192857	S398	168	new RNA feature, intergenic region	0	0		266		intergenic region		null	S398	new_1192592_1192857	S398_1192592_1192857_1			1,192,592 → 1,192,857	
0253D9B030630340551DC2D4F40B3B118DB0EC56	BSU_32790	yusG	168	unknown	8.9203	4.2	78	237	unknown	unknown	no		yusG	BSU_32790	yusG_3365831_3366067_-1	O32173	gene_detail+BG14019	3,365,831  3,366,067	
025BB89AF2AAAC5BCF780A7FE0E23042E85BB743	BSU_04020	yczH	168	unknown	20.9261	8.89	202	609	unknown	unknown	no	null	yczH	BSU_04020	yczH_454652_455260_-1	O31482	gene_detail+BG12782	454,652  455,260	COG0412
02628F274952F9AEEE9F2224B771A4CE4AAD1C8D	BSU_31740	pdeH	168	c-di-GMP degrading phosphodiesterase	47.7646	5.36	409	1230	degradation of c-di-GMP	c-di-GMP degrading phosphodiesterase	no	3.1.3.71	pdeH, yuxH, comB, yufA	BSU_31740	yuxH_3258037_3259266_-1	P14203	gene_detail+BG10377	3,258,037  3,259,266	COG3434
0264C72F95D53F0211B52753DA37B4A8C0E982D2	BSU_14071	fadG	168	fatty acid degradation	64	8.556	576	1731	fatty acid degradation	unknown	no	null	fadG, ykuG	BSU_14071	fadG_1479137_1480867_1	O34320	gene_detail+BG13291	1,479,137  1,480,867	COG3409
028428CE456E283C065756878EA7C7DB495DD10D	BSU_28800	araA	168	L-arabinose isomerase	56.3706	5.47	496	1491	arabinose utilization	L-arabinose isomerase	no	5.3.1.4	araA	BSU_28800	araA_2947385_2948875_-1	P94523	gene_detail+BG11904	2,947,385  2,948,875	COG2160
02927D2CC9F44B99DB307DDFED2DD52DE2196120	BSU_12220	yjiC	168	UDP-dependent glycosyltransferase, macrolide glycosyltransferase	43.8269	4.65	392	1179	synthesis of bacillaene	UDP-dependent macrolide glycosyltransferase	no		yjiC	BSU_12220	yjiC_1292557_1293735_1	O34539	gene_detail BG13196	1,292,557  1,293,735	COG1819
029DF23D41268D846CA846B32EBBFEBD2B6792F0	BSU_03970	ycnL	168	unknown	12.8349	9.64	117	354	unknown	unknown	no	null	ycnL	BSU_03970	ycnL_449198_449551_1	P94434	gene_detail+BG12048	449,198  449,551	
02AB87E514281E00FA23284BE1B92925A6CFD71E	new_3032765_3032908	S1130	168	new RNA feature, 5'UTR of ytsP	0	0		144		5'UTR of ytsP		null	S1130	new_3032765_3032908	S1130_3032765_3032908_1			3,032,765 → 3,032,908	
02B7941734D400B6613FB604562EA2C391ADC60E	new_1150464_1151119	S381	168	new RNA feature, independent transcript	0	0		656		independent transcript		null	S381	new_1150464_1151119	S381_1150464_1151119_1			1,150,464 → 1,151,119	
02BA02D10DFB06E51101D8CF76BCF5BED94D7CA2	BSU_19360	odhB	168	2-oxoglutarate dehydrogenase complex (dihydrolipoamide transsuccinylase, E2 subunit)	45.8267	4.86	417	1254	TCA cycle	2-oxoglutarate dehydrogenase complex	no	2.3.1.61	odhB	BSU_19360	odhB_2107505_2108758_-1	P16263	gene_detail BG10273	2,107,505  2,108,758	COG0508
02C84C9A8C0008CC253CBF13584A4B5B2D2B510C	BSU_22070	xpt	168	xanthine phosphoribosyltransferase	20.8937	5.84	194	585	purine salvage and interconversion	xanthine phosphoribosyltransferase	no	2.4.2.22	xpt	BSU_22070	xpt_2319440_2320024_-1	P42085	gene_detail BG11079	2,319,440 → 2,320,024	COG0503
02EB2C0E78B78D3485DA560CDA3107044D1675BE	new_3794010_3794074_c	S1430	168	new RNA feature, 5'UTR of tsaC	0	0		65		5'UTR of tsaC		null	S1430	new_3794010_3794074_c				3,794,010 → 3,794,074	
02F0893E814E00187D7B342990838EE5445CA78B	BSU_01170	rplD	168	ribosomal protein uL4	22.2451	10.5	207	624	translation	ribosomal protein L4 (uL4)	yes		rplD	BSU_01170	rplD_136369_136992_1	P42921	gene_detail BG11219	136,369  136,992	COG0088
02F1C926D200DE85C93A0ACEF23AD25FBD12B0BD	BSU_23380	lysA	168	diaminopimelate decarboxylase	48.4107	5.01	439	1317	biosynthesis of lysine	diaminopimelate decarboxylase	no	4.1.1.20	lysA	BSU_23380	lysA_2436947_2438266_-1	P23630	gene_detail+BG10510	2,436,947 → 2,438,266	COG0019
02FAD7D3A73CC0462D0116F4E5BA9505CBF7FCDD	BSU_28930	lytS	168	two-component sensor kinase, control of pyruvate utilization	64.6809	8.24	593	1782	control of pyruvate utilization	two-component sensor kinase	no		lytS	BSU_28930	lytS_2956486_2958267_-1	P94513	gene_detail BG11952	2,956,486  2,958,267	COG3275
0311601A6499C5B5A84690242132AC4AC1D36B26	BSU_15069	ylzH	168	unknown	7.2	10.211	61	186	unknown	unknown	-	null	ylzH	BSU_15069	ylzH_1575051_1575236_-1	C0H411		1,575,051  1,575,236	
031FDF8443A8A4D5B042B7591EBE2E6C74F07702	BSU_00950	mrnC	168	RNase Mini-III	16.0876	9.15	143	432	maturation of 23S rRNA	RNase Mini-III	no		mrnC, yazC	BSU_00950	mrnC_114854_115285_1	O31418	gene_detail BG12702	114,854  115,285	COG1939
032110CBA492D54F6494984323D12D719EAEAAD9	BSU_19030	yobO	168	similar to phage-related pre-neck appendage protein	87.5497	5.57	806	2421	unknown	unknown	no		yobO	BSU_19030	yobO_2076206_2078626_1	O34433	gene_detail+BG13507	2,076,206  2,078,626	
032269B31413ABEB2089496237123F6C728F016B	BSU_30350	yttB	168	similar to multidrug resistance protein	42.2923	9.88	397	1194	unknown	unknown	no		yttB	BSU_30350	yttB_3107232_3108425_-1	O34546	gene_detail+BG13925	3,107,232  3,108,425	COG2814
03274B80B2DFE0A2939981B0E0CB8C34A9B0B102	BSU_34910	hisD	168	histidinol dehydrogenase	46.094	4.78	427	1284	biosynthesis of histidine	histidinol dehydrogenase	no	1.1.1.23	hisD	BSU_34910	hisD_3586271_3587554_-1	O34651	gene_detail BG12599	3,586,271  3,587,554	COG0141
032BF9280D006DD6D7C7D07A983C95E1433AC88C	BSU_05610	vmlR	168	F-type ATP-binding cassette protein, allosterically dissociates antibiotics (virginiamycin M, lincomycin) from their ribosomal binding sites	62.5663	6.73	547	1644	dissociation of antibiotics (virginiamycin M, lincomycin) from the ribosome	ABCF ATPase	no		vmlR, expZ	BSU_05610	vmlR_604736_606379_-1	P39115	gene_detail BG10767	604,736  606,379	COG0488
033198A822B260AEEB27B3BD49D0AD395F1E8A2C	new_2079086_2079196	S728	168	new RNA feature, independent transcript	0	0		111		independent transcript		null	S728	new_2079086_2079196	S728_2079086_2079196_1			2,079,086 → 2,079,196	
0332BE782764D62048E0463105EB445492473B6A	new_2197860_2198069_c	S778	168	new RNA feature, intergenic region	0	0		210		intergenic region		null	S778	new_2197860_2198069_c				2,197,860 → 2,198,069	
03335DC50CED7B38E2380640AE108ADA09A2CBDF	BSU_38140	qoxD	168	cytochrome aa3 quinol oxidase (subunit IV)	13.5466	5.94	124	375	respiration	cytochrome aa3 quinol oxidase (subunit IV)	no	1.10.3.-	qoxD, ipa-40d	BSU_38140	qoxD_3914315_3914689_-1	P34959	gene_detail BG10586	3,914,315  3,914,689	COG3125
0337C7B1CFA1C59710A7E6463A370F8C39AAC8EA	BSU_21750	sco	168	accessory lipoprotein required for assembly of the Cu(A) center of [[protein|72D5442C0EF3B404F7B615366E357B68C863CEB6|cytochrome c oxidase caa3]]	21.5005	4.81	193	582	maturation of [[protein|72D5442C0EF3B404F7B615366E357B68C863CEB6|cytochrome c oxidase caa3]]	synthesis of cytochrome oxidase protein	no		sco, ypmQ	BSU_21750	scuA_2291703_2292284_-1	P54178	gene_detail+BG11622	2,291,703  2,292,284	COG1999
035154A4160F084BA1CC124D0951937B203E167D	BSU_37070	rpmE	168	ribosomal protein bL31	7.3073	9.16	66	201	translation	ribosomal protein L31 (bL31)	no		rpmE	BSU_37070	rpmEA_3803081_3803281_-1	Q03223	gene_detail BG10417	3,803,081  3,803,281	COG0254
03595BF6DB8AE79604A720A5BD85C0DB781EE306	BSU_17900	sirA	168	[[category|SW.4.2]] protein, inhibits [[category|SW.3.1.1]] initiation in cells committed to [[category|SW.4.2]], facilitates capture of <i>oriC</i> in the forespore	17.999	7.35	148	447	control of chromosome copy number	inhibitor of [[category|SW.3.1.1]]	no		sirA, yneE, yoxF	BSU_17900	yneE_1922017_1922463_1	P45707	gene_detail BG11248	1,922,017  1,922,463	
035B5486A3887FC71ACC0A8FB43ED77DC44E12EA	BSU_00600	yabP	168	required for [wiki|sporulation] at a late stage	11.2645	6.34	100	303	[wiki|sporulation]	unknown	no		yabP	BSU_00600	yabP_68216_68518_1	P37558	gene_detail+BG10123	68,216  68,518	COG5868
0362D937D985846AEE4D0DEA57B62F915E8D35E5	BSU_07430	yfmL	168	DEAD-box RNA helicase	42.0311	9.6	376	1131	RNA helicase	DEAD-box RNA helicase	no		yfmL	BSU_07430	yfmL_816113_817243_1	O34750	gene_detail+BG12963	816,113  817,243	COG0513
0383C8214ADE2FF70CFDB953A65648B37A9D3216	BSU_27710	tgt	168	tRNA-guanine transglycosylase	43.55	6.15	381	1146	tRNA modification	tRNA-guanine transglycosylase	no	2.4.2.29	tgt	BSU_27710	tgt_2832727_2833872_-1	O32053	gene_detail BG12686	2,832,727  2,833,872	COG0343
